MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-08-27 13:36:19-03,IAP,PACA-AGP,77985,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,A. Sehnem SJ,1971,04,30,,"Hatschbach, G.",26015,,1970,01,19,,,Brasil,PR,Morretes,Serra do Marumbi,-48.834400177002,-25.476900100708,,,30514,,1000,1000,,,,,,,,,Prolífera! Hábito: rupícola,PACA077985,,auto
2019-08-27 13:36:19-03,IAP,PACA-AGP,115368,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,A. Sehenm,,,,,"Sehnem, A.",7103,,1957,05,05,,,Brasil,RJ,Nova Friburgo,,-42.5311012268066,-22.2819004058838,,,33190,,1,1,,,,,,,,,Habitat: ad rupes granit.,PACA115368,,auto
2019-08-27 13:36:19-03,IAP,PACA-AGP,77983,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,A. Sehnem SJ,,,,,"Sehnem, A.",6736,,1955,01,23,,,Brasil,RJ,Nova Friburgo,Duas Pedras,-42.5311012268066,-22.2819004058838,,,33190,,1000,1000,,,,,,,,,Habitat: ad rupes granit. in dumeto,PACA077983,,auto
2019-08-27 13:36:19-03,IAP,PACA-AGP,77982,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,E. Leite,,,,,"Sehnem, A.",1114,,1941,03,03,,,Brasil,SC,Florianópolis,Morro do Antão,-48.5491981506348,-27.596700668335,,,27000,,150,150,,,,,,,,,Habitat: super rupem ad rivum,PACA077982,,auto
2021-03-24 17:09:50-03,UFES,SAMES,6231,PreservedSpecimen,Plantae,,,,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,Smith-Braga,2017,12,05,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",311,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Habito: Erva,SAMES06231,,auto
2021-05-17 16:12:59-03,UNICAMP,UEC,47748,S,Plantae,Pteridophyta,,,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,"Windisch, PG",1988,01,,,"Bernacci, LC; Grombone-Guaratini, MT; Meira Neto, JAA; Leitão Filho, HF; Tamashiro, JY",19676,,1987,06,02,,,Brazil,São Paulo,Atibaia,Fazenda Grota Funda - Pedra Grande,-46.5499992370605,-23.1100006103516,0,0,21675,,,,,,,,,,,,"Herbáceo, rupícola, folhas carnosas, nervuras conspícuas mais claras em ambas superfícies.; Crescendo onde se acumulam materiais em decomposição.",UEC076345,UEC076345,auto
2020-12-21 17:47:13-03,UFPB,JPB,17915,PreservedSpecimen,Plantae,Ferns,,Fern,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,"Santana, ES",1989,,,,"Felix, LP; Dornelas, GV",1801,,1989,03,25,,Southern America,Brasil,Pernambuco,Brejo da Madre de Deus,Fazenda Bituri,-36.3711013793945,-8.14583015441895,0,0,34231,,0,0,,,,,,,,,; DESC: Rupícola,JPB0017915,JPB0017915,auto
2021-06-30 13:25:50-03,MBM,MBM,249750,S,Plantae,,,,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,"Barros, F.C.L.",,,,,"Melo, E.; et al.; et al.",1382,,1994,11,24,,Southern America,Brazil,Bahia,Lençóis,Serra da Chapadinha,-41.3899993896484,-12.563099861145,0,0,47385,,,,,,,,,,,,,MBM249750,MBM249750,auto
2021-06-30 13:25:50-03,MBM,MBM,195813,S,Plantae,,,,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,"Smith, A.R.",,,,,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.",65219,,1996,07,06,,Southern America,Brazil,Espírito Santo,Venda Nova do Imigrante,Mata Fria,-41.1347007751465,-20.3397006988525,0,0,15909,,,,,,,,,,,,,MBM195813,MBM195813,auto
2021-06-30 13:25:50-03,MBM,MBM,4570,S,Plantae,,,,Pteridaceae,Doryopteris,rediviva,,Doryopteris rediviva,Fée,"Brade, A.C.",,,,,"Tessmann, G.",479,,1951,02,13,,Southern America,Brazil,Paraná,Morretes,Estação Marumbi,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,,MBM004570,MBM004570,auto
