MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:47-03,UFES,SAMES,1199,PreservedSpecimen,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,"Forzza,R.C.",2016,,,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.",2167,,,,,,,Brasil,Espírito Santo,Nova Venécia,Sítio Santa Rita. Propriedade do Sr. Paulo Sales.,-40.4006004333496,-18.710599899292,-407341667.0,-192922222.0,42400,,,,,,,,,,,,Planta terrestre com flores cor de abóbora. Vertente leste da Pedra do Elefante.,SAMES01199,,auto
2021-06-30 13:08:42-03,MBM,MBM,40634,S,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,"Forzza, R.C.",,,,,"Hatschbach, G.",36688,,1975,05,22,,Southern America,Brazil,Goiás,Abadiânia,"Rod. GO-060, km 84",-48.706901550293,-16.2042007446289,0,0,31693,,,,,,,,,,,,,MBM040634,MBM040634,auto
2021-06-30 13:08:42-03,MBM,MBM,62825,S,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,"Forzza, R.C.",,,,,"Hatschbach, G.",42009,,1979,03,09,,Southern America,Brazil,Goiás,Formosa,"Formosa, arredores",-47.334400177002,-15.5371999740601,0,0,113054,,,,,,,,,,,,,MBM062825,MBM062825,auto
2019-11-01 15:13:19-03,UnB,UB,208400,PreservedSpecimen,Plantae,Monocotyledonae,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,,,,,,"Rios, MNS",91,,2013,02,20,,Southern America,Brasil,Distrito Federal,Planaltina,Reserva da Embrapa Cerrados,-47.716667,-15.633333,-47.716667,-15.633333,,,,,,,,,,,,,"Projeto Década; Erva terrestre 1,4m; folhas simples, formando rosetas, pendão floral com flores alaranjadas; Cerrado sentido restrito",UB0031821,UB0031821,
2019-11-01 15:13:19-03,UnB,UB,,PreservedSpecimen,Plantae,Monocotyledonae,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,,,,,,"Rios, MNS",91,,2013,02,20,,Southern America,Brasil,Distrito Federal,Planaltina,Reserva da Embrapa Cerrados,-47.716667,-15.633333,-47.716667,-15.633333,,,,,,,,,,,,,"Projeto Década; Erva terrestre 1,4m; folhas simples, formando rosetas, pendão floral com flores alaranjadas; Cerrado sentido restrito",UB0031820,UB0031820,
2021-06-13 16:41:00-03,NY,NYBG,376546,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,G. Martinelli,,,,,H. Q. B. Fernandes,1915,,1986,04,16,,South America,Brazil,Espírito Santo,Santa Teresa,Pedra da Onça,-40.6003,-19.9358,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426125' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376546,NY00376546_01,
2021-06-25 18:18:36-03,UFV,VIC,37258,PreservedSpecimen,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,"Guarçoni, E.",2012,08,07,,"Guarçoni, E.",1833,,2012,05,07,,,Brasil,Minas Gerais,Nova Lima,"Parque Estadual da Serra do Rola Moça, Serra da Calçada, próximo ao Retiro das Pedras. Campo Rupestre Quartzítico - Afloramento rochoso.",-43.999722,-20.073889,-43.999722,-20.073889,,,,,,,,,,,,,Terrestre. Frequente. Final de floração. Indumento da inflorescência branco. Brácteas escapais inferiores suberetas.,VIC037258,VIC037258,
2021-06-25 18:18:36-03,UFV,VIC,031446,PreservedSpecimen,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,,,,,,"Guarçoni, E.",1260,,2006,07,26,,,Brasil,Minas Gerais,Brumadinho,"Parque Estadual da Serra do Rola Moça, Serra da calçada próximo a retiro das pedras.",-44.1996994018555,-20.1432991027832,0,0,26639,,,,,,,,,,,,"Campo rupestre quartizitico- terrestre em solo arenoso, folha verde, fruto castanho escuro, sementes semiorbiculares de asas obtusas.",VIC031446,VIC031446,auto
2021-06-25 18:18:36-03,UFV,VIC,031447,PreservedSpecimen,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,,,,,,"Guarçoni, E.",1303,,2007,08,01,,,Brasil,Minas Gerais,Brumadinho,"Parque Estadual da Serra do Rola Moça, Serra da calçada próximo a retiro das pedras.",-44.1996994018555,-20.1432991027832,0,0,26639,,,,,,,,,,,,"Campo rupestre quartizitico- terrestre, folha verde, escapo e raquis de tomento branco, fruto castanho escuro, sementes semiorbiculares de asas obtusas.",VIC031447,VIC031447,auto
2021-07-05 15:24:33-03,MN,R,212918,PreservedSpecimen,Plantae,,,,Bromeliaceae,Dyckia,trichostachya,,Dyckia trichostachya,Baker,"Guarçoni, E.A.E.",2012,08,29,,"Guarçoni, E.A.E.",1834,,2012,05,07,,,Brasil,Minas Gerais,Nova Lima,"Serra da Calçada, Parque Estadual Serra do Rola Moça, próximo ao Retiro das Pedras.",-43.999722,-20.073889,43°59'59W,20°4'26S,,,1289,1289,,,,,,,,,,R010005747,R010005747,
