MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:47-03,UFES,SAMES,8192,PreservedSpecimen,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B.Sm.,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",370,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes com pelos, flores roxas com pontuações maculadas, sol,rara.",SAMES08192,,auto
2021-03-24 17:08:47-03,UFES,SAMES,1155,PreservedSpecimen,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B.Sm.,,,,,,"Pinto Junior, H.V.; Covre, C.; Menezes, L.F.T.",184,,2015,09,18,,,Brasil,Espírito Santo,Vila Pavão,Pedra Tri-gêmea. Afloramento granítico.,-40.611400604248,-18.6149997711182,,,19647,,,,,,,,,,,,"Herbácea, habitando Ilha de vegetação em afloramento rochoso, folhas verdes brilosas, inflorescência amarela com flores amarelas e frutos marrons, indivíduos adultos apresentam inflorescência superior a 1,5m de comprimento e altura. A",SAMES01155,,auto
2021-06-30 13:08:43-03,MBM,MBM,392611,S,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B. Sm.,,,,,,"Forzza, R.C.; Amorim, A.M.A.; Paixão, J.L.; Gomes, L.C.J.; Amorim, A.M.A.; Paixão, J.L.; Gomes, L.C.J.",5193,,2008,07,17,,Southern America,Brazil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.443889,-18.776944,-40.443889,-18.776944,,,400,400,,,,,,,,,"Erva rupícola, muito frequente, pequena florada. Inflorescência simples a composta. Escapo castanho; brácteas do escapo e florais estramíneas. Flores com pedicelo verde; cálice amarelo e levemente castanho; pétalas amarelo-esverdeada",MBM392611,MBM392611 MBM392611_1,
2021-06-30 13:08:43-03,MBM,MBM,422805,S,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B. Sm.,"Brotto, M.L.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3469,,2019,04,06,,Southern America,Brazil,Espírito Santo,Nova Venécia,Pedra do Elefante,-40.456944,-18.766389,-40.456944,-18.766389,,,590,590,,,,,,,,,"Erva rupícola; infrutescência vermelha, frutos amarelos.; Refúgio Vegetacional Altomontano (campo de altitude e vegetação rupícola).",MBM422805,,
2021-06-30 13:08:43-03,MBM,MBM,422896,S,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B. Sm.,"Taufer, M.",2019,05,24,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3509,,2019,04,08,,Southern America,Brazil,Espírito Santo,Pancas,"Pico do Vidal, cume",-40.793333,-19.187222,-40.793333,-19.187222,,,700,700,,,,,,,,,Erva rupícola rosulada; inflorescência com 80 cm de comprimento; flores verde-claras.; Refúgio Vegetacional Altomontano (vegetação rupícola).,MBM422896,,
2021-06-30 13:08:43-03,MBM,MBM,270920,S,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B. Sm.,"Forzza, R.C.",,,,,"Forzza, R.C.; et al.; et al.",929,,1998,07,17,,Southern America,Brazil,Espírito Santo,Vila Pavão,Estrada entre Vila Pavão e Nova Venécia,-40.611400604248,-18.6149997711182,0,0,19647,,,,,,,,,,,,,MBM270920,MBM270920,auto
2020-04-27 16:09:05-03,UFES,VIES,21659,S,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B.Sm.,"Favoreto, F.C.",2012,05,,,"Favoreto, F.C.; Gava, T.",155,,2012,04,11,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,,,,,,,,,,,,VIES021659,VIES021659 VIES021659_1,auto
2019-09-27 18:04:03-03,UFES,VIES,38798,S,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B.Sm.,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Alves-Araújo, A.; Schwartsburd, P.B.; Luber, J. & Miranda, C.V.",451,,2015,09,18,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038798,VIES038798,auto
2021-04-21 22:00:02-03,US,US,1804291,PreservedSpecimen,Plantae,,Monocotyledonae,Bromeliales,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B. Sm.,,,,,,-. Mulford & R. Foster,193,,1939,7,12,,South America - Neotropics,Brazil,Espírito Santo,Vitória,,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,1,,,,,,,auto
2019-11-13 11:17:07-03,USP,SPF,205782,PreservedSpecimen,Plantae,,,,Bromeliaceae,Encholirium,horridum,,Encholirium horridum,L.B.Sm.,,,,,,"Forzza, RC",6083,,2011,02,10,,,Brasil,Espírito Santo,Vila Velha,Monumento Natural da Pedra do Penedo. Inselbergue.,-40.323889,-20.322778,-40.323889,-20.322778,,,17,17,,,,,,,,,,SPF00205782,,
