MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:36-03,PUCPR,HUCP,17725,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Kersten, RA",2007,02,27,,"Beltrami, L",075,,2007,01,26,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002904,HUCP00002904,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,20179,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Ariati, V",,,,,"Selusniaki, M; Ariati, V; Moledo, R",2542,,2009,03,23,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002614,HUCP00002614,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,20279,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Schendroski, A",,,,,"Schendroski, A; Kersten, RA",001,,2009,05,30,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002576,HUCP00002576,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,21159,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Schendroski, A",,,,,"Michelon, C",705,,2010,03,28,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002586,HUCP00002586,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,21785,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Kersten, RA",,,,,"Selusniaki, M",3034,,,,,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002560,HUCP00002560,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,24382,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Santos, TF",,,,,"Santos, TF",002,,2013,08,24,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002922,HUCP00002922,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,13024,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Kersten, RA",,,,,"Valle, AO",002,,2001,04,13,,,Brasil,Paraná,Balsa Nova,São Luiz do Purunã,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002845,HUCP00002845,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,19586,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Kersten, RA",,,,,"Michelon, C; Bianchi, J; Acra, LA; Kersten, RA; Selusniaki, M",s.n.,,2008,09,03,,,Brasil,Paraná,Balsa Nova,São Luiz do Purunã,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002998,HUCP00002998,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,24344,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Kersten, RA",,,,,"Kersten, RA",1624,,2015,12,10,,,Brasil,Paraná,Contenda,,-49.5346984863281,-25.6756000518799,0,0,22732,,,,,,,,,,,,,HUCP00002820,HUCP00002820,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,13484,S,Plantae,Monocotiledonea,,,Orchidaceae,Epidendrum,secundum,,Epidendrum secundum,Jacq.,"Santos, TM",,,,,"Santos, TM",017,,2001,03,18,,,Brasil,Paraná,Curitiba,Santa Felicidade,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00002508,HUCP00002508,auto
