MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 15:44:26-03,UNICAMP,UEC,137893,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Semir, J; Monge, M",2012,11,,,"Meireles, LD; Verola, CF; Caiafa, AN; Martins, FM",1352,,2003,04,19,,,Brazil,Minas Gerais,Ouro Preto,Lavras Novas.,-43.511611,-20.486472,-43.511611,-20.486472,,,1400,1400,,,,,,,,,"Arbusto, ca. 1,5 m, folhas discolores.",UEC123760,UEC123760,
2021-05-17 15:44:26-03,UNICAMP,UEC,138069,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Semir, J; Monge, M",2012,11,,,"Meireles, LD; Verola, CF; Caiafa, AN; Martins, FM",1367,,2003,04,19,,,Brazil,Minas Gerais,Ouro Preto,Lavras Novas.,-43.525222,-20.46675,-43.525222,-20.46675,,,1400,1400,,,,,,,,,"Arbusto, ca. 1 m, flores lilases.",UEC123759,UEC123759,
2021-05-17 15:44:26-03,UNICAMP,UEC,138256,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Loeuille, BFP",2013,,,,"Costa, IR; Verola, CF",537,,2004,10,22,,,Brazil,Minas Gerais,Santa Cruz de Minas,"Obelisco da estrada Real, estrada de Tiradentes-São João Del Rei, em frente ao Haras.",-44.204583,-21.121306,-44.204583,-21.121306,,,,,,,,,,,,,"Arbusto, 2 m, flores lilases.",UEC123762,UEC123762,
2021-05-17 15:44:26-03,UNICAMP,UEC,195067,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Monge, M",,,,,"Monge, M; Viana, PL; Silva, C; Isak, C",2148,,2013,11,14,,,Brazil,Minas Gerais,Catas Altas,Serra do Caraça. Parte baixa,-43.482611,-20.103222,-43.482611,-20.103222,,,1254,1254,,,,,,,,,"Arvoreta, 2 m de altura, capítulos novos e frutos.&nf;Planta prensada em álcool.; Campo arenoso",UEC155730,UEC155730,
2021-05-17 15:44:26-03,UNICAMP,UEC,205827,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Monge, M",2018,02,,,"Trad, RJ; Oliveira, LA",656,,2018,01,23,,,Brazil,Espírito Santo,Fundão,Estrada de subida para o parque municipal Goiapaba-açu.,-40.473139,-19.909056,-40.473139,-19.909056,,,770,770,,,,,,,,,Borda da estrada de terra.,UEC191149,UEC191149,
2021-05-17 15:44:26-03,UNICAMP,UEC,69482,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Nakajima, JN",1998,05,,,"Souza, VC; Sakuragui, CM",2065,,1992,10,12,,,Brazil,Minas Gerais,Barão de Cocais,"Serra do Caraça, Entre o Mosteiro e o Caraça - Entre Rochas.",-43.4872016906738,-19.94580078125,0,0,21378,,,,,,,,,,,,"Arbusto a arvoreta, 1,50 - 2,50 m de altura, corola lilás.; Vegetação rupestre herbáceo arbustiva-densa.",UEC123749,UEC123749,auto
2021-05-17 15:44:26-03,UNICAMP,UEC,66533,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Nakajima, JN",1998,05,,,"Stehmann, JR; Sobral, ME",1131,,1992,08,08,,,Brazil,Minas Gerais,Itambé do Mato Dentro,,-43.3210983276367,-19.414400100708,0,0,22479,,,,,,,,,,,,"Arbustiva. Canta Galo. Capítulos com flores rosadas.; Campo rupestre, formação arbustiva.",UEC123766,UEC123766,auto
2021-05-17 15:44:26-03,UNICAMP,UEC,22789,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,,,,,,"Leitão Filho, HF; Shepherd, GJ; Martins, FR; et al.",11910,,1980,12,10,,,Brazil,Minas Gerais,Itutinga,Rodovia Lavras - S. J. del Rey.,-44.6577987670898,-21.2980995178223,0,0,24458,,,,,,,,,,,,"Arvoreta até 3 m, flores lilases.; Cerrado perturbado.",UEC123750,UEC123750,auto
2021-05-17 15:44:26-03,UNICAMP,UEC,3035,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Leitão Filho, HF",1980,12,04,,"Leitão Filho, HF; Andrade, JB; Milanez, AC",7934,,1978,05,26,,,Brazil,Minas Gerais,Mariana,Rodovia Barão de Cocais.,-43.4160995483398,-20.377799987793,0,0,33524,,,,,,,,,,,,"Arbusto até 2,5 m; flores lilases-arroxeadas.; Campo rupestre.",UEC123752,UEC123752,auto
2021-05-17 15:44:26-03,UNICAMP,UEC,54926,S,Plantae,Magnoliopsida,,,Asteraceae,Eremanthus,crotonoides,,Eremanthus crotonoides,(A.DC.) Sch.Bip.,"Nakajima, JN",1998,05,,,"Marcondes-Ferreira, W; Semir, J; Martins, AB; Miotto, STS; Queiroz, LP; Martins, EF",219,,1990,03,14,,,Brazil,Minas Gerais,Santa Bárbara,Caminho para gruta do Pdre Caio.,-43.4152984619141,-19.959400177002,0,0,33136,,,,,,,,,,,,"De arbusto a arvoreta de até 3,00 m. Capítulos púrpura, crescendo nas bordas de matas e serrotes.",UEC123767,UEC123767,auto
