MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 09:46:55-03,NBC,NL-BOTANY,U 0076482,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A.St.-Hil.,,,,,,Plowman TC; Carvalho AMV de,,,1983,02,09,,Southern America,Brazil,Bahia,,,-40.483333,-13.466667,-40.483333,-13.466667,,,,,,,,,,,,Uw32381,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200076482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U0076482,,
2020-02-08 09:46:55-03,NBC,NL-BOTANY,U.1275757,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A.St.-Hil.,,,,,,Plowman TC; Carvalho AMV de,,,1983,02,09,,Southern America,Brazil,Bahia,,,-40.483333,-13.466667,-40.483333,-13.466667,,,,,,,,,,,,U 0106251,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1275757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1275757,NL-U1275757,
2021-04-02 11:40:13-03,UFPI,TEPB,23722,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A. St. Hil.,O. CANO,2008,08,00,,L. LIMA,73,,2008,01,11,,,Brasil,Piauí,Altos,FLONA de Palmares - trilha do pedestre.,-42.4599990844727,-5.03806018829346,,,37760,,,,,,,,,,,,Árvore; fruto vermenho. Ambiente: Floresta decidual mista,,,auto
2021-03-22 17:45:26-03,UFPI,TEPB,23791,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A. St. Hil.,,,,,,L. LIMA,139,,2008,03,14,,,Brasil,Piauí,Altos,Flona de Palmares - Trilha do Poço.,-42.4599990844727,-5.03806018829346,,,37760,,,,,,,,,,,,Árvore; flor branca; fruto vermelho; uso: forrageira. Ambiente: Floresta decidual mista <ll>dwc_commonname:</ll> Muta,,,auto
2021-04-02 11:40:13-03,UFPI,TEPB,23712,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A. St. Hil.,O. CANO,2021,08,08,,L. LIMA,63,,2007,12,28,,,Brasil,Piauí,Altos,Flona de Palmares - trilha dos pedestres.,-42.4599990844727,-5.03806018829346,,,37760,,,,,,,,,,,,Subarbusto; flores brancas; pouco frequente. Ambiente: Floresta decidual mista,,,auto
2021-04-02 02:00:36-03,UFPI,TEPB,6517,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A. St. -Hil.,"DEL' ARCO, M. R.",1985,06,11,,"Figueiredo, M.A",333,,1991,07,22,,,Brasil,Rio Grande do Norte,Florânia,Após povoado de Tenente Laurentino (Sa. Santana),-36.8180999755859,-6.12722015380859,,,21285,,540,540,,,,,,,,,Arbusto,,,auto
2021-03-24 17:09:02-03,UFES,SAMES,1847,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A.St.-Hil.,"Costa-Lima,J.L.",2016,02,03,,"Giaretta,A.O.; Ribeiro,M.;Menezes,L.F.T.;Rossini,J.",905,,2010,11,04,,,Brasil,Espírito Santo,Nova Venécia,"Vertente oeste na Pedra do Elefante. Próximo a uma pedreira às margens da ES 137, Elevação de 144M.",-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Arbusto de 2,5m de altura, com frutos verdes.",SAMES01847,,auto
2021-03-24 17:09:02-03,UFES,SAMES,1828,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A.St.-Hil.,"Costa-Lima,J.L.",2016,02,03,,"Giaretta,A.O.; Tesch,A.C.;Bomfim,F.R.M.;Rudio,J.A.",393,,2008,11,22,,,Brasil,Espírito Santo,São Mateus,Bairro Pedra D#?# água. Fragmento de mata de restinga seca de 2.5 hect. localizado á margem da estrada principal do bairo Liberdade. Entrada localizada após o Hospital Roberto Silvares no sentindo SM - Guriri.,-39.8588981628418,-18.716100692749,-398102778.0,-187422222.0,56510,,,,,,,,,,,,Arvore de 12m com frutos laranja.,SAMES01828,,auto
2021-03-24 17:09:02-03,UFES,SAMES,9001,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A.St.-Hil.,,,,,,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.; Cardoso, L.B.",8365,,2018,10,05,,,Brasil,Espírito Santo,Linhares,Reserva Biológica de Comboios. Restinga holocênica. Reserva Biológica de Comboios,-40.0722007751465,-19.3910999298096,-398861111.0,-196708334.0,48094,,,,,,,,,,,,"Planta com 4 metros de altura, flor alba.",SAMES09001,,auto
2021-03-24 17:09:02-03,UFES,SAMES,1689,PreservedSpecimen,Plantae,,,,Erythroxylaceae,Erythroxylum,subrotundum,,Erythroxylum subrotundum,A.St.-Hil.,,,,,,"Pinto Junior, H.V.; Covre, C.",246,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Arbusto com 2 m; folhas verdes; frutos vermelhos; abundante; coletada na trilha para a Pedra do Elefante.,SAMES01689,,auto
