MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:30-03,UFES,SAMES,3780,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,"Giaretta,A.",,,,,"Giaretta,A.O.",1170,,2012,01,24,,,Brasil,Espírito Santo,Conceição da Barra,Área de Proteção Ambiental de Conceição da Barra. Floresta de restinga seca sobre cordão arenoso.,-39.7322006225586,-18.5932998657227,-397830556.0,-186933333.0,41644,,,,,,,,,,,,Botões esverdeados. Habito: Árvore,SAMES03780,,auto
2021-03-24 17:09:30-03,UFES,SAMES,3778,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,"Giaretta,A.",2012,,,,"Giaretta,A.O.",1222,,2012,01,31,,,Brasil,Espírito Santo,Conceição da Barra,Fazenda Jequitaia. Mata seca de restinga sobre cordão arenoso.,-39.7322006225586,-18.5932998657227,-397191667.0,-184205556.0,41644,,,,,,,,,,,,Flores alvas.,SAMES03778,,auto
2021-03-24 17:09:30-03,UFES,SAMES,3777,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,,,,,,"Giaretta,A.O.",983,,2011,08,06,,,Brasil,Espírito Santo,Conceição da Barra,Parque Estadual de Itaúnas. Trilha do buraco do bicho. Restinga arbustiva fechada pós-praia.,-39.7322006225586,-18.5932998657227,,,41644,,,,,,,,,,,,Arbusto de 4m com frutos vinosos e negros.,SAMES03777,,auto
2021-03-24 17:09:30-03,UFES,SAMES,3779,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,"Giaretta,A.",,,,,"Giaretta,A.O.",1267,,2012,06,04,,,Brasil,Espírito Santo,Conceição da Barra,Próximo ao Projeto Tamar. Floresta de restinga arbórea com até 9m de altura próxima ao Projeto Tamar.,-39.7322006225586,-18.5932998657227,-397494444.0,-187250000.0,41644,,,,,,,,,,,,"Arbusto, frutos maduros roxos.",SAMES03779,,auto
2021-03-24 17:09:31-03,UFES,SAMES,9641,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.",9251,,2019,08,22,,,Brasil,Espírito Santo,Linhares,,-40.0722007751465,-19.3910999298096,-398869444.0,-196708334.0,48094,,,,,,,,,,,,"Planta com 1,80m de altura. Fruto amarelo-vinoso.",SAMES09641,,auto
2021-03-24 17:09:31-03,UFES,SAMES,9770,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",8858,,2019,01,09,,,Brasil,Espírito Santo,São Mateus,Aldeia do Coco.,-39.8588981628418,-18.716100692749,-397516667.0,-187972222.0,56510,,,,,,,,,,,,Planta com 4m de altura. Flor alba,SAMES09770,,auto
2021-03-24 17:09:30-03,UFES,SAMES,3782,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,"Giaretta,A.",,,,,"Menezes,L.F.T.",1511,,2006,09,02,,,Brasil,Espírito Santo,São Mateus,"Guriri. Vegetação de restinga, à 500 metros da praia.",-39.8588981628418,-18.716100692749,,,56510,,,,,,,,,,,,"Arbusto 0,5 metros de altura com frutos negros.",SAMES03782,,auto
2021-03-24 17:09:31-03,UFES,SAMES,9334,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,,,,,,"Barboza, L.C.; Metzker, T.P.;Moschem, J.C.;Ronchi, C.;Gama, L.G.",1,,2019,05,27,,,Brasil,Espírito Santo,São Mateus,Praia de Guriri lado Norte.,-39.8588981628418,-18.716100692749,-397533333.0,-187302778.0,56510,,,,,,,,,,,,Planta de 8m de altura com frutos jovens verdes.,SAMES09334,,auto
2021-03-24 17:09:30-03,UFES,SAMES,1900,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,,,,,,"Scheidegger,A.F.A.; Wingler,L.F.;Boa,A.P.S.;Mauri,G.",54,,2015,05,29,,,Brasil,Espírito Santo,São Mateus,Restinga holocênica próxima ao Projeto TAMAR.,-39.8588981628418,-18.716100692749,,,56510,,,,,,,,,,,,"Planta de 4,5m com frutos de cor laranja.",SAMES01900,,auto
2021-03-24 17:09:31-03,UFES,SAMES,9639,PreservedSpecimen,Plantae,,,,Myrtaceae,Eugenia,astringens,,Eugenia astringens,Cambess.,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.",9242,,2019,08,22,,,Brasil,Espírito Santo,Aracruz,,-40.2733001708984,-19.8202991485596,-399305556.0,-196975000.0,37987,,,,,,,,,,,,Planta com 2m de altura. Fruto amarelo e vinoso.,SAMES09639,,auto
