MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:02-03,UFES,SAMES,6223,PreservedSpecimen,Plantae,,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,,2016,05,26,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",328,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Habito: Arbusto,SAMES06223,,auto
2021-05-17 15:51:07-03,UNICAMP,UEC,173541,S,Plantae,Magnoliopsida,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Romão, GO",2010,,,,"Romão, GO; Ferreira, JL; Latvis, M; Gissi, DS",2723,,2010,04,11,,,Brazil,Minas Gerais,Alto Caparaó,"Parque Nacional do Caparaó, trilha entre a Tronqueira e o Pico da Bandeira.&nf;2000 - 2890m&nf;20º 25' 15'' s&nf;41º 51' 12,6'' w",-41.8683013916016,-20.4333000183105,0,0,21645,,,,,,,,,,,,"Subarbusto, 40cm alt.; corola branca, frutos imaturos verdes.; Campo rupestre.",UEC089832,UEC089832,auto
2021-05-17 15:51:07-03,UNICAMP,UEC,177509,S,Plantae,Magnoliopsida,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Romão, GO",2006,07,22,,"Romão, GO; Dantas, APT",1476,,2006,07,22,,,Brazil,Minas Gerais,Alto Caparaó,"Parque Nacional do Caparaó, trilha Tronqueira-Terreirão.",-41.8683013916016,-20.4333000183105,0,0,21645,,1970,2400,,,,,,,,,"Subarbusto, 40cm alt.; ereto, pouco ramificado; frutos imaturos verdes, maduros roxos.; Campo de altitude com afloramento rochoso, solo arenoso pedregoso. Entre rochas, em borda da microbacia do Vale Encantado, a ca.6m da trilha.",UEC002767,UEC002767,auto
2021-05-17 15:51:07-03,UNICAMP,UEC,84301,S,Plantae,Magnoliopsida,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Romão, GO",2002,05,08,,"Leoni, BS; et al.",3083,,1995,09,29,,,Brazil,Minas Gerais,Caparaó,"Caparaó-MG- Parque Nacional - Campo montano, do lado da trilha.",-41.9043998718262,-20.523099899292,0,0,15056,,2100,2100,,,,,,,,,"Planta ereta com 12-15m de altura, lenhosa, folhas alternas, inflorescência lateral e terminal, corola alva.",UEC110778,UEC110778,auto
2021-05-17 15:51:07-03,UNICAMP,UEC,59031,S,Plantae,Magnoliopsida,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Romão, GO",2002,05,08,,"Krieger, L; et al.",FPNC0412,,1988,11,19,,,Brazil,Minas Gerais,Caparaó,MG - Parque Nacional do Caparaó.,-41.9043998718262,-20.523099899292,0,0,15056,,,,,,,,,,,,"Arbusto, flores brancas.",UEC110782,UEC110782,auto
2021-05-17 15:51:07-03,UNICAMP,UEC,59030,S,Plantae,Magnoliopsida,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Romão, GO",2002,05,08,,"Krieger, L; et al.",549FPNC,,1988,11,20,,,Brazil,Minas Gerais,Caparaó,MG- Parque Nacional do Caparaó.,-41.9043998718262,-20.523099899292,0,0,15056,,,,,,,,,,,,"Nos campos altos, arbusto, flores alvas.",UEC110779,UEC110779,auto
2021-02-11 17:18:47-03,UFPR,UPCB,5384,PreservedSpecimen,Plantae,,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Silva, R.R.",1998,08,07,,"Hatschbach, G.",13141,,1965,11,18,,,Brasil,Paraná,Bocaiúva do Sul,Passa Vinte,-49.1150016784668,-25.2061004638672,,,61623,,,,,,,,,,,,"Sub-arbusto 50cm, flor alva, do campo pedregoso..",,,auto
2019-11-01 14:57:12-03,UnB,UB,18496,PreservedSpecimen,Plantae,Dicotyledoneae,,,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,"Romão, GO",2011,10,30,,"Irwin, HS; Harley, RM; Onishi, E",29456,,1971,01,30,,Southern America,Brasil,Minas Gerais,Ouro Preto,Summit of Pico do Itacolomi,-43.5080986022949,-20.2875003814697,0,0,44599,,1850,1850,,,,,,,,,.,,,auto
2021-06-13 16:41:00-03,NY,NYBG,00994644,PreservedSpecimen,Plantae,Magnoliophyta,,Ericales,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,J. W. Floyd,,,,,G. G. Hatschbach,49749,,1985,09,16,,South America,Brazil,Minas Gerais,Gouveia,"Rod. BR-259, trevo para Datas.",-43.7406,-18.4544,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069179' target='other'> <mi>dwc_moreinfo</mi></a>,NY00994644,NY00994644_01,
2021-06-13 16:41:00-03,NY,NYBG,00994643,PreservedSpecimen,Plantae,Magnoliophyta,,Ericales,Ericaceae,Gaylussacia,pallida,,Gaylussacia pallida,Cham.,J. W. Floyd,,,,,J. R. Pirani,CFCR11008,,1987,07,17,,South America,Brazil,Minas Gerais,Datas,Morro do Coco.,-43.68,-18.43,,,,,1300,1330,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069175' target='other'> <mi>dwc_moreinfo</mi></a>,NY00994643,NY00994643_01,
