MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:38-03,PUCPR,HUCP,24379,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Santos, TF",,,,,"Santos, TF",022,,2014,01,28,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002511,HUCP00002511,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,22133,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Smidt, EC",,,,,"Lozano, E; Molin, T; Ariati, V",468,,2011,01,08,,,Brasil,Paraná,Campina Grande do Sul,Morro Getúlio,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00002829,HUCP00002829,auto
2019-12-04 15:26:38-03,PUCPR,HUCP,24918,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Kersten, RA",2017,03,04,,"Kersten, RA",s.n.,,2015,08,20,,,Brasil,Paraná,Curitiba,,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,"Área alterada úmida, próxima a estrada, terrícola, herbácea. 900m s.n.m.",HUCP00024918,HUCP00024918,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,21575,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Cordeiro, J; Barboza, E",,,,,"Silva, JM",7406,,2009,07,10,,,Brasil,Paraná,Lapa,Parque Estadua do Monge,-49.7158012390137,-25.7696990966797,0,0,49965,,,,,,,,,,,,,HUCP00002847,HUCP00002847,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,23044,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Engels, M",,,,,"Bonaldi, R; Ariati, V",578,,2012,10,16,,,Brasil,Paraná,Paranaguá,,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00002443,HUCP00002443,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,22680,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Kersten, RA",,,,,"Kersten, RA",1538,,2011,05,06,,,Brasil,Paraná,Piraquara,,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,,HUCP00002442,HUCP00002442,auto
2019-12-04 15:26:36-03,PUCPR,HUCP,22265,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Kersten, RA",,,,,"Kersten, RA",1548,,2011,03,15,,,Brasil,Paraná,São José dos Pinhais,,-49.2064018249512,-25.5347003936768,0,0,45291,,,,,,,,,,,,,HUCP00002436,HUCP00002436,auto
2019-12-04 15:26:38-03,PUCPR,HUCP,24497,S,Plantae,Monocotiledonea,,,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,"Imig, D",,,,,"Imig, D",242,,2013,04,25,,,Brasil,Santa Catarina,Laguna,,-48.7807998657227,-28.4825000762939,0,0,21199,,,,,,,,,,,,,HUCP00002797,HUCP00002797,auto
2019-08-27 13:26:35-03,IAP,PACA-AGP,93570,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,K. Potter,,,,,Kphimhiand,,,1987,01,25,,,Brasil,RS,Barra do Ribeiro,Ponta da Formiga,-51.3011016845703,-30.2910995483398,,,31686,,,,,,,,,,,,HEDU 823&nf;Abundante em gramado próximo as rochas da margem da Lagoa dos Patos Habitat: Próximo as rochas Hábito: erva terrícola,PACA093570,,auto
2019-08-27 13:26:35-03,IAP,PACA-AGP,35216,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Habenaria,parviflora,,Habenaria parviflora,Lindl.,G. Pabst,1954,09,04,,"Rambo, B.",,,1947,02,14,,,Brasil,RS,Bom Jesus,Serra da Rocinha,-50.4166984558105,-28.6678009033203,,,55856,,,,,,,,,,,,Confirmado por J.A.N. Batista em setembro 2002. Habitat: In paludosis dumetosis Fenofase: flor e fruto,PACA035216,,auto
