MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:50-03,UFES,SAMES,6252,PreservedSpecimen,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",306,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Cache verde com pontuações roxas. Habitat: Habitando ilha de vegetação em afloramento rochoso. Habito: Erva,SAMES06252,,auto
2021-02-11 17:18:26-03,UFPR,UPCB,91044,PreservedSpecimen,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,"Zappi, D.",2010,,,,"Forzza, R.C. et al.",5433,,2009,01,20,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande. Mata do brejo próxima da sede. Floresta Ombrófila Densa Altomontana com inselbergues.,-41.084,-20.516,-41.084,-20.516,,,1100,1400,,,,,,,,,"Planta epífita. Flores com ovário verde; perianto amarelo, estames creme..",,,
2021-06-13 16:41:00-03,NY,NYBG,01192907,PreservedSpecimen,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,N. P. Taylor,,,,,W. W. Thomas,12617,,2001,10,25,,South America,Brazil,Bahia,Boa Nova,Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira,-40.145367,-14.39383,,,,,860,900,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267488' target='other'> <mi>dwc_moreinfo</mi></a>,NY01192907,NY01192907_01,
2021-06-13 16:41:00-03,NY,NYBG,385827,PreservedSpecimen,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,,,,,type,J. N. Rose,20348,,1915,07,22,,South America,Brazil,Distrito Federal,,"At Ilha Grande, near Rio de Janeiro",-44.234582,-23.150897,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341663' target='other'> <mi>dwc_moreinfo</mi></a>,NY00385827,NY00385827_01,
2021-06-13 16:41:00-03,NY,NYBG,385828,PreservedSpecimen,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,,,,,photo of type,J. N. Rose,20348,,1915,07,22,,South America,Brazil,Distrito Federal,,"Ilha Grande, near Rio de Janeiro",-44.234582,-23.150897,,,,,,,,,,photo,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341664' target='other'> <mi>dwc_moreinfo</mi></a>,NY00385828,,
2021-06-25 18:18:42-03,UFV,VIC,052622,PreservedSpecimen,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,,,,,,H.V. Pinto Junior,444,,2019,02,18,,,Brasil,Espírito Santo,Mimoso do Sul,"Pedra dos Pontões, Borda de mata , subida para Pedra do Cruzeiro,antropizado.",-41.3664016723633,-21.0641994476318,0,0,29430,,,,,,,,,,,,"Planta de cerca de 30 cm, ilha de vegetação, caule verde, cilindrico,abundante, sol.",VIC052622,VIC052622,auto
2021-06-10 16:17:54-03,UFES,VIES,15012,S,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,W.C. Cardoso,2021,05,17,,"Barros, P.H.D.; Firmino, A.D.; Silva, L.A. & Dutra, V.F.",216,,2013,03,02,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande.,-41.184700012207,-20.6035995483398,,,23588,,1102,1102,,,,,,,,,,VIES015012,VIES015012,auto
2020-04-27 16:09:11-03,UFES,VIES,33571,S,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,W.C. Cardoso,2019,04,05,,"Pinto Júnior, H.V.; Pereira, M.C.A.; Bernardi, U.C.S. & Ferreira, R.S.",97,,2013,08,09,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui.,-41.3664016723633,-21.0641994476318,,,29430,,977,977,,,,,,,,,,VIES033571,VIES033571,auto
2020-04-27 16:09:11-03,UFES,VIES,21740,S,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,W.C. Cardoso,2019,04,05,,"Couto, D.R.; Fontana, A.P.; Leme, E. & Kollmann, L.J.C.",913,,2008,09,05,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra dos Pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,,VIES021740,,auto
2020-04-27 16:09:11-03,UFES,VIES,30481,S,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,W.C. Cardoso,2019,04,05,,"Zorzanelli, J.P.F.; Couto, D.R.; Dias, H.M. & Perini, M.",1087,,2014,09,11,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra dos Pontões.,-41.3664016723633,-21.0641994476318,,,29430,,772,772,,,,,,,,,,VIES030481,VIES030481,auto
2019-11-13 11:17:20-03,USP,SPF,190113,PreservedSpecimen,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,"Calvente, AM",,,,,"Calvente, AM",278,,2007,01,19,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande,-41.0845,-20.526028,-41.0845,-20.526028,,,1178,1178,,,,,,,,,,SPF00190113,,
2019-11-13 11:17:20-03,USP,SPF,204272,PreservedSpecimen,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,"Gonzaga, DR",2015,07,20,,"Labiak, PH",4880,,2008,07,20,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande,-41.120556,-20.524444,-41.120556,-20.524444,,,1480,1480,,,,,,,,,,SPF00204272,,
2020-01-21 19:38:54-03,UESC,UESC,24921,S,Plantae,Angiospermae,Dicotyledoneae,Florideophycidae,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,D.C. Zappi & E.A.Rocha,2019,12,,,"Ronison R. dos Santos,",517,,2019,10,24,,,Brasil,Bahia,Camacã,,-39.565,-15.393056,39W33'54'',15S23'35'',,,815,815,,,,,,,,,Floresta montana.; Planta rupícola.,UESC0024921,,
2020-07-23 12:01:19-03,CEPLAC,CEPEC,129386,PreservedSpecimen,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,,L. Kollmann,,,,,A. P. Fontana,4801,,,,,,,Brasil,Espírito Santo,castelo,,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,auto
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,24754,,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,D.R. Gonzaga/10-06-2015,,,,,L. Kollmann; et al,7993,,2005,07,12,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande,-41.100556,-20.519167,41W6'2,20S31'9,,,,,,,,,,,,,Rupestre no sol. Flores laranjas.,MBML024754,MBML024754,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,21940,,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,D.R. Gonzaga/10-06-2015,,,,,L. Kollmann,6374,,2004,01,27,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande,-41.100556,-20.519167,41W6'2,20S31'9,,,,,,,,,,,,,Epífita na sombra. Flores amarelas.,MBML021940,MBML021940,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,35007,,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,D.R. Gonzaga/10-06-2015,,,,,A. P. Fontana; et al,4801,,2008,02,12,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande.Trilha para as piscinas,-41.083611,-20.516111,41W5'1,20S30'58,,,,,,,,,,,,,,MBML035007,MBML035007,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,36344,,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,D.R. Gonzaga/10-06-2015,,,,,P. Labiak; et al,4880,,2008,07,20,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande,-41.120556,-20.524444,41W7'14,20S31'28,,,,,,,,,,,,,,MBML036344,MBML036344,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,37195,,Plantae,,,,Cactaceae,Hatiora,cylindrica,,Hatiora cylindrica,Britton & Rose,D. C. Zappi,,,,,R. C. Forzza; et al,5433,,2009,01,20,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande,-41.083611,-20.516111,41W5'1,20S30'58,,,,,,,,,,,,,,MBML037195,MBML037195_1 MBML037195_2,
