MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 08:49:55-03,NBC,NL-BOTANY,U.1125574,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) DC.,,,,,,Andel TR van; Roberts N; Roberts M,,,1996,11,07,,Southern America,Guyana,North West District,,,-59.5,7.75,-59.5,7.75,,,,,,,,,,,,U 0066078,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1125574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1125574,NL-U1125574,
2020-02-08 08:49:55-03,NBC,NL-BOTANY,U.1126091,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) DC.,,,,,,Denslow JS,,,1924,05,07,,Southern America,Colombia,,,"Dpto. Antioquia, vic. Planta Providencia. 26 kms. s & 23 kms W9Air) of Zaragoza, in valley of Rio anori between Dos Bocas & Anori.",-75.05,7.216667,-75.05,7.216667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1126091 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1126091,NL-U1126091,
2020-02-08 08:49:55-03,NBC,NL-BOTANY,U.1126092,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) DC.,Cleef AM,,,,,Wessels Boer JG,,,1967,05,05,,Southern America,Venezuela,,,"Estado Barinas, near Barrancas, the forest of Caimital.",-70.133333,8.75,-70.133333,8.75,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1126092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1126092,NL-U1126092,
2021-03-24 17:08:41-03,UFES,SAMES,6242,PreservedSpecimen,Plantae,,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) DC.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",309,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Folhas verdes. Habito: Herbácea,SAMES06242,,auto
2021-05-17 15:44:46-03,UNICAMP,UEC,113869,S,Plantae,Magnoliopsida,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) A.DC.,"Esteves, RL",2002,04,15,,"Souza, VC; Souza, JP; Duarte, AR; Scarlon, VR",18649,,1997,07,10,,,Brazil,Mato Grosso,Juruena,Ca. 27 km WSW (em linha reta) de Juruena.,-58.783333,-10.366667,-58.783333,-10.366667,,,,,,,,,,,,,"Erva, ca. 1 m alt., capítulos creme.; Contato Floresta Ombrófila - Floresta Estacional.",UEC123159,UEC123159,
2021-05-17 15:44:46-03,UNICAMP,UEC,113915,S,Plantae,Magnoliopsida,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) A.DC.,"Esteves, RL",2002,04,15,,"Assis, MC; Árbocz, GF; Silva, MR; Zanella, J",472,,1997,07,04,,,Brazil,Mato Grosso,Aripuanã,"Aripuanã.Margem da MT-420 a 42,4 km da cidade em direção a Juruena.",-59.249167,-10.266111,-59.249167,-10.266111,,,,,,,,,,,,,"Erva ereta de 1,5 m.Flores em capítulos brancos, visitados por borboletas.; Floresta Ombrófila alterada pela retirada de madeira.Relevo plano.Solo tipo latossolo.",UEC170076,UEC170076,
2021-05-17 15:44:46-03,UNICAMP,UEC,1911,S,Plantae,Magnoliopsida,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) A.DC.,"Esteves, RL",2002,07,12,,"Benson, WW",8313,,1978,08,21,,,Brazil,Acre,Cruzeiro do Sul,,-72.6699981689453,-7.63111019134521,0,0,123037,,,,,,,,,,,,Composta de flores brancas. Até 1m.; Em floresta de várzea perturbada.,UEC123160,UEC123160,auto
2021-05-17 15:44:46-03,UNICAMP,UEC,66901,S,Plantae,Magnoliopsida,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) A.DC.,"Fernandes, AC",2013,11,,,"Hage, JL",446,,1981,01,08,,,Brazil,Bahia,Ilhéus,"Área do CEPEC (Centro de Pesquisas do Cacau), km 22 da rodovia Ilhéus/Itabuna (BR415).",-39.0494003295898,-14.7889003753662,0,0,61245,,50,50,,,,,,,,,"Planta herbácea, 1m de altura. Flores em botões cremes. &nf;Nome vulgar : Desinchadeira.; Região de Mata Higrófila Sul Baiana. Quadra H.",UEC123156,UEC123156,auto
2021-06-30 13:06:13-03,MBM,MBM,293415,S,Plantae,,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) R.M. King & H. Rob.,"Hatschbach, G.",,,,,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.",77246,,2004,03,16,,Southern America,Brazil,Mato Grosso do Sul,Bonito,Vale do Rio Sucuri,-56.4818992614746,-21.1210994720459,0,0,71352,,,,,,,,,,,,,MBM293415,MBM293415,auto
2021-06-30 13:06:13-03,MBM,MBM,156676,S,Plantae,,,,Asteraceae,Hebeclinium,macrophyllum,,Hebeclinium macrophyllum,(L.) R.M. King & H. Rob.,"Robinson, H.",,,,,"Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.",58974,,1993,02,12,,Southern America,Brazil,Mato Grosso do Sul,Iguatemi,"Serra de Maracaju, ca. 6km de Piraputanga",-54.5611000061035,-23.6802997589111,0,0,71460,,,,,,,,,,,,,MBM156676,MBM156676,auto
