MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 08:45:37-03,NBC,NL-BOTANY,U.1065303,PreservedSpecimen,Plantae,,Magnoliopsidae,Asparagales,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,Herb.,,,,,,Harley RM; et al.,,,1974,01,23,,Southern America,Brazil,,,"Estado de Bahia. Serra do Rio de Contas. Middle slopes of the Almas, ca. 25 km W.N.W. of the town of the Rio de Contas.",-41.916667,-13.533333,-41.916667,-13.533333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1065303,NL-U1065303,
2019-08-27 13:26:19-03,IAP,PACA-AGP,113635,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Liliales,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,(Ker Gawl.) Herb.,T.J.Cadorim,2010,05,06,,T.J. Cadorin,2012,,2010,05,06,,,Brasil,SC,Joinville,Serra Dona Francisca,-49.047789,-26.192511,"49°02'52,04W","26°11'33,04S",,,576,576,,,,,,,,,FURB 24997 Habitat: Interior do fragmento Ecossistema: floresta ombrófila densa,PACA113635,,
2021-05-17 15:36:00-03,UNICAMP,UEC,137430,S,Plantae,Liliopsida,,,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,(Ker Gawl.) Herb.,,,,,,"Passos, LC",s.n.,,1990,06,15,,,Brazil,São Paulo,Eldorado,Saibadela.,-48.469444,-24.6175,-48.469444,-24.6175,,,,,,,,,,,,,,UEC010160,UEC010160,
2021-05-17 15:36:00-03,UNICAMP,UEC,167090,S,Plantae,Liliopsida,,,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,(Ker Gawl.) Herb.,"Oliveira, RS",2008,05,,,"Oliveira, RS; Camargo, RP; Peixoto, M",114,,2008,05,15,,,Brazil,São Paulo,Biritiba Mirim,Fragmento de vegetação no meio de silvicultura.,-46.041111,-23.656194,-46.041111,-23.656194,,,,,,,,,,,,,,UEC040123,UEC040123,
2021-05-17 15:36:00-03,UNICAMP,UEC,151834,S,Plantae,Liliopsida,,,Amaryllidaceae,Hippeastrum,aulicum,glaucophyllum,Hippeastrum aulicum glaucophyllum,(Hook.) Herb.,"Dutilh, JHA",2014,03,,,"Goldenberg, R; Mynssen, C; Fraga, CN; Saavedra, MM",1075,,2008,05,02,,,Brazil,Espírito Santo,Castelo,"Parque Estadual do Forno Grande, Trilha das piscinas para o mirante. Floresta Om brófila Densa Altomontana com inselbergues.",-41.083611,-20.516111,-41.083611,-20.516111,,,1100,1400,,,,,,,,,"Herbácea sobre pedra. Tépalas vermelhas, anteras roxas.",UEC090258,UEC090258,
2021-05-17 15:36:00-03,UNICAMP,UEC,162153,S,Plantae,Liliopsida,,,Amaryllidaceae,Hippeastrum,aulicum,glaucophyllum,Hippeastrum aulicum glaucophyllum,(Hook.) Herb.,"Dutilh, JHA",2012,,,,"Fernandes, HQB; Boone, W",1962,,1986,05,07,,,Brazil,Espírito Santo,Santa Teresa,"Alto do Julião, 25 de julho.",-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,"Erva, formando touceiro, bulbosa, botões florais com perianto vermelho com a base verde, heliófila.; Capoeira, alto de encosta.",UEC024524,UEC024524,auto
2021-05-17 15:36:00-03,UNICAMP,UEC,162147,S,Plantae,Liliopsida,,,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,(Ker Gawl.) Herb.,"Oliveira, RS",2012,03,,,"Fernandes, HQB",2148,,1987,06,08,,,Brazil,Espírito Santo,Santa Teresa,Cabeceira do 25 de Julho.,-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,Epífita sobre tronco de árvore em frutificação. Floração nos meses de março e abril de 1988 na casa de epífitas. Flor de cálice e corola vermelho. Culta / Herb. Herborizada em 15/04/1988 por W. Boone.,UEC024530,UEC024530,auto
2021-05-17 15:36:00-03,UNICAMP,UEC,110054,S,Plantae,Liliopsida,,,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,(Ker Gawl.) Herb.,"Dutilh, JHA",2001,09,,,"Borgo, M",504,,1999,04,05,,,Brazil,Paraná,Morretes,Parque Estadual do Pico do Morumbi,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,"flor, Herbácea com flores vermelhas em substrato orgânico acumulado sobre rocha. Sub-bosque, Floresta Ombrófila Densa de Encosta.",UEC090424,UEC090424,auto
2021-06-30 13:02:49-03,MBM,MBM,386607,S,Plantae,,,,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,Herb.,"Felitto, G.",2013,10,18,,"Felitto, G.",701,,2013,09,07,,Southern America,Brazil,Paraná,Quatro Barras,"Morro Anhangava, Pedra do Almoço",-49.005044,-25.386475,-49.005044,-25.386475,,,1290,1290,,,,,,,,,"Herbácea, 60cm, sem folhas, flor vermelha, estames amarelos. Terrícola em formigueiro.; Refúgio Vegetacional Altomontano.",MBM386607,MBM386607,
2021-06-30 13:02:49-03,MBM,MBM,386607,S,Plantae,,,,Amaryllidaceae,Hippeastrum,aulicum,,Hippeastrum aulicum,Herb.,"Felitto, G.",2013,10,18,,"Felitto, G.",701,,2013,09,07,,Southern America,Brazil,Paraná,Quatro Barras,"Morro Anhangava, Pedra do Almoço",-49.005044,-25.386475,-49.005044,-25.386475,,,1290,1290,,,,,,,,,"Herbácea, 60cm, sem folhas, flor vermelha, estames amarelos. Terrícola em formigueiro.; Refúgio Vegetacional Altomontano.",MBM386607,MBM386607,
