MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:56-03,UFES,SAMES,6930,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,"Ribeiro,M.",2019,04,11,,"Coelho,R.",406,,2014,05,02,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Habito: Trepadeira,SAMES06930,,auto
2021-03-24 17:08:56-03,UFES,SAMES,1673,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,,,,,,"Pinto Junior, H.V.; Covre, C.",262,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,-400000000.0,-180000000.0,42400,,,,,,,,,,,,Liana sob vegetação rupícola; folhas verdes; frutos marrons e secos; sol.,SAMES01673,,auto
2021-03-24 17:08:56-03,UFES,SAMES,1662,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,,,,,,"Pinto Junior, H.V.; Covre, C.",239,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Liana habitando ilha de vegetação em afloramento rochoso; sob vegetação arbustiva; folhas verdes; flores lilás, antera branca, estrias na corola.",SAMES01662,,auto
2021-05-17 15:50:29-03,UNICAMP,UEC,28882,S,Plantae,Magnoliopsida,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,(Choisy) Meisn.,,,,,,?,441,,1981,07,19,,,Brazil,Bahia,Cachoeira,"Mata Barragem das Bananeiras, Vale dos Rios Paraguaçú e Jacuipe",-39.833333,-12.533333,-39.833333,-12.533333,,,40,120,,,,,,,,,"Flores, Trepadeira com flores lilases. Grupo Flora Pedra do Cavalo",,,
2021-05-17 15:50:29-03,UNICAMP,UEC,45654,S,Plantae,Magnoliopsida,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,(Choisy) Meisn.,"Pastore, M",2012,12,10,,"Weyland Vieira, MC",511,,1982,04,14,,,Brazil,Rio de Janeiro,Maricá,"Itaipuaçu, Pico do Alto Mourão.",-42.8185997009277,-22.9193992614746,0,0,20726,,,,,,,,,,,,"Cipó, flores azuis.",UEC084971,UEC084971,auto
2020-04-22 16:18:49-03,UFPB,JPB,44579,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,"Buril, MT",2011,06,,,"Santos, SO; Gomes-Costa, GA; Chagas, MA; Melo, AV de",265,,2010,10,07,,Southern America,Brasil,Alagoas,Quebrangulo,"Reserva Biológica da Pedra Talhada, Trilha do Pedra D' água.",-36.425,-9.245,-36.425,-9.245,,,773,773,,,,,,,,,; HABITAT: Borda da mata.; DESC: Trepadeira herbácea; folhas membranéceas; Pecíolo esparsamente piloso; Fores de corola roxa.,,,
2020-04-22 16:18:49-03,UFPB,JPB,44453,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,"Buril, MT",2011,05,23,,"Melo, AV de; Gomes-Costa, GA; Chagas, MA; Santos, SO",514,,2010,10,05,,Southern America,Brasil,Alagoas,Quebrangulo,"Reserva Biológica da Pedra Talhada, Trilha próxima do alojamento.",-36.43,-9.258889,-36.43,-9.258889,,,588,588,,,,,,,,,"; DESC: Trepadeira com flores azuis. Coletada na copa das árvores, a cerca de 5m do solo.",,,
2020-04-22 16:18:49-03,UFPB,JPB,50566,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,"Buril, MT",2014,08,,,"Amorim, BS; Maciel, JR; Lourenço, AR; Pessoa, EM",1358,,2012,01,11,,Southern America,Brasil,Pernambuco,Belo Jardim,Caminho para Pedra do Caboclo. beira da estrada,-36.391389,-8.246667,-36.391389,-8.246667,,,792,792,,,,,,,,,"; HABITAT: Caatinga s.l.; DESC: Trepadeira volúvel, flores azuis",JPB0050566,,
2019-11-19 14:06:07-03,UFRPE,PEUFR,32935,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,V. Santos,2000,01,13,,C.A.M. de Oliveira; A. G. da Silva; A. M. da Silva; L.M. Nascimento,5,,1999,09,14,,,Brasil,Pernambuco,Brejo da Madre de Deus,Mata do Bituri,-36.3955,-8.2075,36°23'730''W,08°12'27''S,,,920,1030,,,,,,,,,Trepadeira. Folhas pilosas. Inflorescência apresentando corola de cor lilás. Frequente.,PEUFR032935,,
2019-11-19 14:06:07-03,UFRPE,PEUFR,42166,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,M.F. Sales,1996,,,,M.C. Tschá,735,,,,,,,Brasil,Pernambuco,Brejo da Madre de Deus,Fazenda Bituri,-36.370833,-8.15,36°22'15''W,08°09'00''S,,,636,636,,,,,,,,,,PEUFR042166,,
2019-11-19 14:06:07-03,UFRPE,PEUFR,52722,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,M. T. Buril,2014,11,,,P.A. de Melo,11,,2006,05,12,,,Brasil,Bahia,Mundo Novo,Fazenda Jequitibá,-40.483333,-12.033333,40°29'00''W,12°02'00''S,,,604,604,,,,,,,,,Trepadeira. Flor azul.,PEUFR052722,,
2019-11-19 14:06:07-03,UFRPE,PEUFR,16487,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,M. T. Buril,2016,08,,,A.M. Miranda; L. P. Félix,1652,,1994,04,21,,,Brasil,Pernambuco,Lagoa dos Gatos,Chã de Panela,-35.9000015258789,-8.65832996368408,,,14934,,,,,,,,,,,,Trepadeira escandente. Caule verde-arroxeado. Folhas membranáceas. Flores lilases.,PEUFR016487,,auto
2019-11-19 14:06:07-03,UFRPE,PEUFR,14498,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,M. T. Buril,2016,08,,,A.M. Miranda; A. Bocage; M.D. Melo; B. Costa e Silva,760,,1993,05,27,,,Brasil,Pernambuco,Belo Jardim,Estrada do Araça,-36.4241981506348,-8.3355598449707,,,27307,,,,,,,,,,,,Trepadeira. Flores azuis.,PEUFR014498,,auto
2019-11-19 14:06:07-03,UFRPE,PEUFR,52751,PreservedSpecimen,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,,,,,,L.S. de Jesus,118,,2007,12,22,,,Brasil,Bahia,Mundo Novo,Fazenda Jequitibá. Mata Jequitibá.,-40.4724998474121,-11.8589000701904,,,50681,,,,,,,,,,,,Herbácea trepadeira. Flor azul.,PEUFR052751,,auto
2020-06-29 09:30:06-03,UFRRJ,RBR,7780,S,Plantae,,,,Convolvulaceae,Jacquemontia,martii,,Jacquemontia martii,Choisy,P. Leitman,2004,08,17,,H. Monteiro,3098,,1961,05,27,,,Brasil,Itaguai,Seropédica,Em um terreno baldio. CNEPA.,-43.7075004577637,-22.7439002990723,,,13730,,,,,,,,,,,,,RBR00007780,RBR00007780,auto
