MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:25:05-03,PUCPR,HUCP,16852,S,Plantae,Eudicotiledonea,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,,"Beltrami, L",,,,,"Beltrami, L",019,,2005,07,07,,,Brasil,Paraná,Curitiba,Santa Cândida,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00010043,HUCP00010043,auto
2021-06-30 13:10:23-03,MBM,MBM,424340,S,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H. Perrier,"Meyer, F.S.",2019,08,,,"Meyer, F.S.; Völtz, R.R.; Brotto, M.L.; Völtz, R.R.; Brotto, M.L.",2601,,2019,08,09,,Southern America,Brazil,Rio de Janeiro,Teresópolis,"Seio da Mulher de Pedra, Trilha que sobe para a montanha, ca. 800 metros da Araucária, próximo de uma paredão",-42.811194,-22.374917,-42.811194,-22.374917,,,,,,,,,,,,,"Erva 40-60 cm alt., rupícola, sob rochas próximo à trilha. Folhas espessas (suculentas); flores com pétalas róseas.; Floresta Ombrófila Densa Montana (Floresta Pluvial Atlântica).",MBM424340,,
2020-06-15 15:30:05-03,UNESP-RC,HRCB,13207,PreservedSpecimen,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H. Perrier,"Epiphanio, R.",1990,11,10,,"Epiphanio, R.",s.n.,,1990,10,10,,,Brasil,São Paulo,Rio Claro,Campus UNESP,-47.560001373291,-22.4099998474121,,,21773,,,,,,,,,,,,"Flor avermelhada, folhas suculentas, com margens avermelhadas",,,auto
2020-11-04 17:28:56-03,UEM,HUEM,8855,S,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H.Perrier,,,,,,"Rosa, CILF; Janunzzi, AM",34,,2001,10,17,,,Brasil,Paraná,Diamante do Norte,"Estação Ecológica do Caiuá, Sede do IAP.",-52.822778,-22.599167,-52.822778,-22.599167,,,265,367,,,,,,,,,"Herbácea até 30 cm de altura. Folhas carnosas, flores secas.",HUEM000003388,HUEM000003388,
2020-01-31 10:38:02-03,IFAM,EAFM,13017,PreservedSpecimen,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H. Perrier," Avila, J.; Valadares, K.; Zank, S.",2014,01,24,,"Avila, J.V.C.; Valadares, K. & Zank, S.",40,,2014,01,24,,,Brasil,Santa Catarina,Garopaba,"Comunidade Quilombola, Aldeia",-48.680833,-28.104722,-48.680833,-28.104722,,,0,0,,,,,,,,,,,,
2020-06-29 11:29:56-03,UFRJ,RFA,39964,PreservedSpecimen,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H.Perrier,J. M. Casanova,2014,07,27,,J. M. Casanova,2,,,,,,,Brasil,Rio de Janeiro,Barra do Piraí,Distrito de Ipiabas,-43.8255996704102,-22.4699993133545,,,27638,,,,,,,,,,,,"Herbácea, altura 40 cm, flores laranjas, sob luminosidade constante",RFA48053,,auto
2021-06-25 18:18:56-03,UFV,VIC,52653,PreservedSpecimen,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym,"Junior, H.V.P.",2019,03,25,,"Junior, H.V.P.",453,,2019,02,18,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra de Pontões,-41.3664016723633,-21.0641994476318,0,0,29430,,,,,,,,,,,,"Cerca de 30cm, folhas cinzas suculentas, borda queimada levemente escurecida, flores secas, abundante, sombra, ambiente úmido.",VIC052653,VIC052653,auto
2019-11-13 11:18:21-03,USP,SPF,13485,PreservedSpecimen,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H.Perrier,"Hoehne, W",,,,,"Hoehne, W",s.n.,,1952,08,14,,,Brasil,São Paulo,São Paulo,Alto da Lapa.,-46.6300010681152,-23.5400009155273,0,0,53584,,,,,,,,,,,,,SPF00013485,,auto
2021-05-18 11:25:20-03,UEFS,HUEFS,146442,PreservedSpecimen,Plantae,Angiospermae,Saxifraganae,Saxifragales,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H.Perrier,P.S.Neves & J.Aparicio,2018,10,,,"Silva, T.R.S.",265,,2008,09,02,,,Brasil,Bahia,Morro do Chapéu,"Cachoeira do Ferro Doido, próximo a estrada.",-41.1561012268066,-11.5500001907349,,,98143,,,,,,,,,,,,,HUEFS0146442,HUEFS0146442 HUEFS0146442_e1,auto
2021-06-24 12:21:11-03,UFG,UFG,25952,S,Plantae,,,,Crassulaceae,Kalanchoe,fedtschenkoi,,Kalanchoe fedtschenkoi,Raym.-Hamet & H. Perrier,,,,,,R.D. Tridente,142,,2001,04,28,,,Brasil,Goiás,Porangatu,,-49.1486015319824,-13.4407997131348,0,0,74366,,0,0,,,,,,,,,,UFG0025952,UFG0025952,auto
