MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:25:56-03,PUCPR,HUCP,14026,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Wunderlich, GC",,,,,"Trauczynski, L",004,,1987,09,07,,,Brasil,Paraná,Almirante Tamandaré,,-49.310001373291,-25.3246994018555,0,0,18684,,,,,,,,,,,,,HUCP00019095,HUCP00019095,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,9085,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Jaszczerski, JC",,,,,"Krul, LM",013,,1985,09,27,,,Brasil,Paraná,Almirante Tamandaré,"Semi-arbustiva nativa, ruderal, inflorescência lilás.",-49.310001373291,-25.3246994018555,0,0,18684,,,,,,,,,,,,,HUCP00019598,HUCP00019598,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,9071,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Jaszczerski, JC",,,,,"Pollato, SL",003,,1982,08,29,,,Brasil,Paraná,Araucária,Tomás Coelho,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00019085,HUCP00019085,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,9083,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Bessa, FA",,,,,"Czehaailo, C",006,,1982,09,10,,,Brasil,Paraná,Araucária,Tomás Coelho,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00019130,HUCP00019130,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,19169,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Mottin, V",,,,,"Beltrami, L",s.n.,,2007,10,06,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00018541,HUCP00018541,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,12359,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Guimarães, O",,,,,"Stellfeld, C",1623,,1966,10,03,,,Brasil,Paraná,Campina Grande do Sul,Araçatuba,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,Nº 5782.,HUCP00019265,HUCP00019265,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,3382,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Hatschbach, GG",1982,08,28,,"Nequer, LW",002,,,,,,,Brasil,Paraná,Colombo,,-49.2242012023926,-25.2917003631592,0,0,13536,,,,,,,,,,,,,HUCP00019345,HUCP00019345,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,14031,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Wunderlich, GC",,,,,"Silva, ICF",006,,1985,10,05,,,Brasil,Paraná,Colombo,Colônia Rincão,-49.2242012023926,-25.2917003631592,0,0,13536,,,,,,,,,,,,,HUCP00018712,HUCP00018712,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,14021,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Wunderlich, GC",,,,,"Cordeiro, TR",002,,1987,09,06,,,Brasil,Paraná,Contenda,Fazenda Pocinho,-49.5346984863281,-25.6756000518799,0,0,22732,,,,,,,,,,,,,HUCP00019212,HUCP00019212,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,9084,S,Plantae,Eudicotiledonea,,,Verbenaceae,Lantana,fucata,,Lantana fucata,Lindl.,"Bessa, FA",,,,,"Seraphim, A",002,,1982,08,25,,,Brasil,Paraná,Curitiba,Barreirinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00019678,HUCP00019678,auto
