MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:24:51-03,PUCPR,HUCP,19057-B,S,Plantae,Eudicotiledonea,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H. Rob.,,,,,,"Schilchting, M",s.n.,,2007,09,07,,,Brasil,São Paulo,São José do Rio Preto,,-49.3699989318848,-20.8199996948242,0,0,20305,,,,,,,,,,,,,HUCP00007872,HUCP00007872,auto
2021-03-24 17:08:41-03,UFES,SAMES,1666,PreservedSpecimen,Plantae,,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",243,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas; 'Asteraceae flor roxa'.,SAMES01666,,auto
2021-06-21 17:46:31-03,UNICAMP,UEC,133274,S,Plantae,Magnoliopsida,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Ogasawara, HA",2012,02,,,"Harley, RM",21187,,1980,04,10,,,Brazil,Bahia,Caetité,"Serra Geral de Caitité ca. 3 km from Caitité, S. along the road to Brejinhos das Ametistas.",-42.817517,-14.114522,-42.817517,-14.114522,,,1000,1000,,,,,,,,,"Subshrub to 1m, stems bare below, branched above. Leaves yellow-green above, grey beneath, phyllaries tinged purple. Florets purple.; Campos gerais. Tall scrub with shrubs & some trees.",UEC045871,UEC045871,
2021-06-21 17:46:31-03,UNICAMP,UEC,133262,S,Plantae,Magnoliopsida,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Ogasawara, HA",2012,02,,,"Harley, RM",21163,,1980,04,10,,,Brazil,Bahia,Caetité,"Serra Geral de Caitité ca. 3 km from Caitité, S. along the road to Brejinhos das Ametistas.",-42.817517,-14.114522,-42.817517,-14.114522,,,1000,1000,,,,,,,,,"Subshrub to 60 cm. Leaves thin, dull green above, pale grey-green beneath. Phyllaries purple-tinged. Flowers purple.; Campos gerais. Tall scrub with shrubs & some trees.",UEC045872,UEC045872,
2021-05-17 15:44:56-03,UNICAMP,UEC,147598,S,Plantae,Magnoliopsida,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Ogasawara, HA",2012,11,,,"Costa, IR; Verola, CF",763,,2007,04,16,,,Brazil,Bahia,Rio de Contas,"estrada para o Pico das Almas, Caminho para o Mato Grosso",-41,-13,-41,-13,,,,,,,,,,,,,"Arbusto, 1.5m, flor lilás",UEC045903,UEC045903,
2021-05-17 15:44:56-03,UNICAMP,UEC,194012,S,Plantae,Magnoliopsida,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Leitão Filho, HF",1990,,,,"Fernandes, HQB",2932,,1990,05,26,,,Brazil,Espírito Santo,Ibiraçu,,-40.626111,-20.388611,-40.626111,-20.388611,,,,,,,,,,,,,,UEC155629,UEC155629,
2021-05-17 15:44:56-03,UNICAMP,UEC,106102,S,Plantae,Magnoliopsida,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Ogasawara, HA",2012,11,,,"Silva, GP; et al.",3065,,1995,10,04,,,Brazil,Bahia,Lençóis,Margem esquerda do Rio Serrano; próximo ao salão das areias,-41.4,-12.55,-41.4,-12.55,,,450,450,,,,,,,,,"Erva ereta de 1m, flor branca, frequente; germoplasma coletado de 26 plantas; Campo rupestre; solo arenoso; relevo ondulado",UEC045900,UEC045900,
2021-05-17 15:44:56-03,UNICAMP,UEC,162942,S,Plantae,Magnoliopsida,,,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Ogasawara, HA",2012,11,,,"Paula-Souza, J; Ferrucci, MS; Duarte, AR; Rando, JG; Tsuji, R",5063,,2005,01,30,,,Brazil,Bahia,Rio de Contas,36 Km de Jussiape Próximo à entrada de Rio de Contas. Campo rupestre.,-41.799722,-13.591389,-41.799722,-13.591389,,,1080,1080,,,,,,,,,"Arbusto, flores roxas.",UEC019626,UEC019626,
2020-04-22 16:17:48-03,UFPB,JPB,44474,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,"Robinson, HE",2012,,,,"Melo, AV de; Chagas, ECO; Gomes-Costa, GA; Chagas, MA; Santos, SO",537,,2010,10,06,,Southern America,Brasil,Alagoas,Quebrangulo,"Reserva Biológica da Pedra Talhada, Trilha Valdivino.",-36.43,-9.258889,-36.43,-9.258889,,,588,588,,,,,,,,,"; DESC: Erva com até 2m de altura, com flores brancas e lilás. Coletada em área aberta, na borda da trilha.",,,
2020-04-22 16:17:48-03,UFPB,JPB,55721,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Asteraceae,Lepidaploa,cotoneaster,,Lepidaploa cotoneaster,(Willd. ex Spreng.) H.Rob.,,,,,,"Oliveira, MN; Barreto, AC; Silva, GS",175,,2011,10,21,,Southern America,Brasil,Bahia,Maracás,"Fazenda Lagoa de Dentro, 10 km da saída da cidade de Maracás, entrando logo em seguida a 1km da sede. Floresta seca.",-40.443306,-13.526361,-40.443306,-13.526361,,,0,0,,,,,,,,,"Arbusto; Folhas membranáceas, alternas, discolores na face abaxial. Flores roxas, cálice vináceo. Brácteas brancas.; HABITAT: Floresta Estacional Decidual.",JPB0055721,,
