MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-15 11:06:53-03,UFPI-MRV,HDELTA,1273,PreservedSpecimen,Plantae,,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,,,,,,"Moraes, A. C. A.",,,2008,12,28,,,Brasil,Pernambuco,Exu,Exu,-39.724167,-7.511944,"39°43'27,00''W","07°30'43,00''S",,,,,,,,,,,,,Flor amarela; folhas opostas com estípulas; presenca de gavinha,HDELTA001273,,
2020-02-08 09:30:33-03,NBC,NL-BOTANY,U.1160207,PreservedSpecimen,Plantae,,Magnoliopsidae,Lamiales,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,,,,,,Solomon JC,,,1985,11,20,,Southern America,Bolivia,,,"Dpto. La Paz, Prov. Nor Yungas, Caranavi, Disturbed places along the Rio Coroico.",-67.583333,-15.733333,-67.583333,-15.733333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1160207 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1160207,NL-U1160207,
2020-02-08 09:30:33-03,NBC,NL-BOTANY,U.1160211,PreservedSpecimen,Plantae,,Magnoliopsidae,Lamiales,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,,,,,,Agostini G; Morillo GN; Morillo B de,,,1973,07,11,,Southern America,Venezuela,,,"Estado Yaracuy: Distrito San Felipe, Municipio Veroes: Fila montanosa 5 kms S de Bella Vista.",-68.4,10.383333,-68.4,10.383333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1160211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1160211,NL-U1160211,
2020-02-08 09:30:33-03,NBC,NL-BOTANY,U.1160267,PreservedSpecimen,Plantae,,Magnoliopsidae,Lamiales,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,Lohmann LG,,,,,Prévost M-F,,,1999,09,25,,Southern America,French Guiana,,,,-53.05,5.316667,-53.05,5.316667,,,,,,,,,,,,U 0060728,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1160267 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1160267,NL-U1160267,
2021-03-24 17:08:44-03,UFES,SAMES,9346,PreservedSpecimen,Plantae,,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,,,,,,"Barboza, L.C.; Metzker, T.P.;Moschem, J.C.;Ronchi, C.;Gama, L.G.",13,,2019,05,27,,,Brasil,Espírito Santo,São Mateus,Praia de Guriri lado Norte.,-39.8588981628418,-18.716100692749,-397533333.0,-187302778.0,56510,,,,,,,,,,,,Planta trepadeira com fruto seco alongado. Habitat: Restinga holocênica. Formação florestal não inundável. Habito: Trepadeira,SAMES09346,,auto
2021-03-24 17:08:44-03,UFES,SAMES,1661,PreservedSpecimen,Plantae,,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",238,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores brancas; abundante.,SAMES01661,,auto
2021-05-17 15:47:41-03,UNICAMP,UEC,42271,S,Plantae,Magnoliopsida,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,"Gentry, A",1982,,,,"Heringer, EP; Filgueiras, TS; Mendonça, RC; Pereira, BAS",6268,,1981,02,23,,,Brazil,Distrito Federal,Brasília,Estação Biológica da UNB,-47.9296989440918,-15.7797002792358,0,0,70570,,,,,,,,,,,,"Trepadeira; folhas glabras, membranáceas; flores brancas.; Plantada em bosque.",UEC140411,UEC140411,auto
2021-05-17 15:47:41-03,UNICAMP,UEC,74937,S,Plantae,Magnoliopsida,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,"Gentry, A",,,,,"Andrade, PM; Lopes, MA",7218,,1986,03,22,,,Brazil,Minas Gerais,Caratinga,,-42.1391983032227,-19.7896995544434,0,0,49886,,,,,,,,,,,,Flor branca. Liana.; Mata Atlântica.,UEC140408,UEC140408,auto
2021-05-17 15:47:41-03,UNICAMP,UEC,746,S,Plantae,Magnoliopsida,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,"Semir, J",2015,03,,,"Leitão Filho, HF; Shepherd, GJ; Stubblebine, MT; et al.",9642,,1978,12,13,,,Brazil,Minas Gerais,Santa Bárbara,nativo em matas e campos da Serra do Caraça,-43.4152984619141,-19.959400177002,0,0,33136,,,,,,,,,,,,"trepadeira, flores brancasinternamente amarelas",UEC140410,UEC140410,auto
2020-06-18 10:56:02-03,UFRRJ,RBR,2931,S,Plantae,,,,Bignoniaceae,Lundia,corymbifera,,Lundia corymbifera,(Vahl) Sandwith,,,,,,"A. Gentry; E. Zardini, C. Farney",49658,,1985,01,18,,,Brasil,Minas Gerais,Leopoldina,33 km S of Leopoldina on road to Além-Paraíba hwy. Dry deforested slopes of Rio Paraíba Valley.,-42.75,-21.583333,42º45'W,21º35'S,,,,,,,,,,,,,,RBR00002931,RBR00002931,
