MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:24:41-03,PUCPR,HUCP,20920,S,Plantae,Eudicotiledonea,,,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,"Selusniaki, M",,,,,"Selusniaki, M",2288,,2008,11,14,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,,,auto
2019-12-04 15:24:41-03,PUCPR,HUCP,16260,S,Plantae,Eudicotiledonea,,,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,"Hatschbach, GG",,,,,"Ribas, OS",5109,,2003,02,25,,,Brasil,Paraná,Campo Magro,Morro da Palha,-49.4514007568359,-25.3686008453369,0,0,24260,,,,,,,,,,,,,,,auto
2019-12-04 15:24:41-03,PUCPR,HUCP,20800,S,Plantae,Eudicotiledonea,,,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,"Selusniaki, M",,,,,"Selusniaki, M",2601,,2009,03,18,,,Brasil,Paraná,Piraquara,Morro do Canal,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,,,,auto
2019-12-04 15:24:41-03,PUCPR,HUCP,13169,S,Plantae,Eudicotiledonea,,,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,,,,,,"Hatschbach, GG",449,,1987,12,22,,,Brasil,Paraná,São José dos Pinhais,Serra de Castelhanos,-49.2064018249512,-25.5347003936768,0,0,45291,,,,,,,,,,,,,,,auto
2020-02-08 09:17:56-03,NBC,NL-BOTANY,WAG.1608829,PreservedSpecimen,Plantae,,Magnoliopsidae,Gentianales,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,,,,,,Smith LB; Klein RM; Hatschbach GG,,,1965,01,14,,Southern America,Brazil,,,"Paraná, Mun. Balsa Nova: Rock outcrop, campo, and thicket, Serra de São Luiz by the Rodovia de Café.",-49.666667,-25.5,-49.666667,-25.5,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1608829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-WAG1608829,NL-WAG1608829,
2019-08-27 13:34:13-03,IAP,PACA-AGP,67943,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,G. Hatschbach,1985,05,,,P. I. Oliveira,864,,1985,02,04,,,Brasil,PR,Campina Grande do Sul,Serra Capivari Grande,-49.0553016662598,-25.3055992126465,,,55154,,,,,,,,,,,,"arbusto 1m, flor bordeaux Habitat: sobre rochas no alto do morro Hábito: arbusto",PACA067943,,auto
2019-08-27 13:34:13-03,IAP,PACA-AGP,86420,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,G. Hatschbach,2002,,,,J.M. Silva,3543,,2002,01,22,,,Brasil,PR,Campo Magro,Morro da Palha,-49.4514007568359,-25.3686008453369,,,24260,,,,,,,,,,,,"trepadeira lenhosa, látex alvo, flor roxa, base creme; Habitat: orla da matinha nebular",PACA086420,,auto
2019-08-27 13:34:13-03,IAP,PACA-AGP,33116,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,Emrich-Rambo,1954,05,05,,"Hatschbach, G.",175,,1946,02,,,,Brasil,PR,Piraquara,Florestal,-49.0633010864258,-25.4416999816895,,,12577,,,,,,,,,,,,Habitat: culta Fenofase: flor,PACA033116,,auto
2019-08-27 13:34:13-03,IAP,PACA-AGP,85922,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,A.J.M. Leeuwenberg,1997,,,,J.C. Cordeiro,581,,1988,11,23,,,Brasil,PR,Quatro Barras,Morro 7,-49.0769004821777,-25.3656005859375,,,17116,,,,,,,,,,,,"trepadeira, flor rosada; Habitat: em matinha nebular Hábito: trepadeira",PACA085922,,auto
2019-08-27 13:34:13-03,IAP,PACA-AGP,85110,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,atroviolacea,,Mandevilla atroviolacea,(Stadelm.) Woodson,J. Mauhs,1998,03,11,,"Mauhs, J.",,,1997,12,14,,,Brasil,RS,Canela,Canastra Alta - Pico do Canastra (cume),-50.815601348877,-29.3656005859375,,,16452,,,,,,,,,,,,Habitat: em meio da vegetação arbustiva xeromórfica,PACA085110,,auto
