MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:35-03,UFES,SAMES,1182,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,,,,,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.",2184,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,"Região do Três Pontões de Águia Branca, afloramento dissertação Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Arbusto esguio de 1,5 m de altura com flores amarelas; com látex; sob afloramento granítico.",SAMES01182,,auto
2021-03-24 17:08:35-03,UFES,SAMES,6561,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,,,,,,"Menezes,L.F.T.; Yoama,E.;Ribeiro,F.;Oliveira,S.M.",2366,,2017,05,17,,,Brasil,Espírito Santo,Águia Branca,,-40.7402992248535,-18.9831008911133,-407397222.0,-189850000.0,19701,,,,,,,,,,,,Flores amarelas Habito: Arbusto,SAMES06561,,auto
2021-03-24 17:08:35-03,UFES,SAMES,1248,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,,,,,,"Pinto Junior, H.V.; Covre, C.",158,,2015,07,23,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca; afloramento da dissertação do Herval.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores amarelas; abundante; sol pleno.,SAMES01248,,auto
2021-03-24 17:08:35-03,UFES,SAMES,8955,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,,,,,,"Menezes,L.F.T.",2576,,2019,08,25,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Flores amarelas,forma látex ao cortar o ramo.Arbusto delgado desenvolvendo-se em solo raso sobre afloramento rochoso. Habito: Arbusto",SAMES08955,,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,51708,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Sales, MF",1993,07,,,"Carvalho, AMV; Lewis, GP",897,,1981,12,05,,,Brazil,Bahia,Itamaraju,Fazenda Pau-Brasil. Pedras.,-39.5311012268066,-17.0391998291016,0,0,55932,,,,,,,,,,,,"flor, Arbusto com 2 m de altura. Flores vistosas amarelo-claras. Látex branco.",,,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,69657,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Sales, MF",1997,11,,,"Gomes, IML",1138,,1990,05,26,,,Brazil,Espírito Santo,Ibiraçu,Mosteiro Zen Budista. Morro da Vargem.,-40.369701385498,-19.8318996429443,0,0,13709,,,,,,,,,,,,"flor, Mata Atlântica. Vegetação rupestre. Flor amarela. Planta com 2 m de altura.",,,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,44957,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Amaral Junior, ALS",2018,07,27,,"Duarte, AP",9008,,1965,02,25,,,Brazil,Espírito Santo,Nova Venécia,Serra de Cima.,-40.4006004333496,-18.710599899292,0,0,42400,,,,,,,,,,,,"flor, Planta da comunidade rupestre.",UEC177613,UEC177613,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,44945,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Sales, MF",1993,07,,,"Duarte, AP",3999,,1953,11,14,,,Brazil,Espírito Santo,Nova Venécia,Serra de Cima.,-40.4006004333496,-18.710599899292,0,0,42400,,,,,,,,,,,,"flor, Planta rupestre. Flores áureas vistosíssimas, caule ereto medindo até 2,50 m.",,,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,152242,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Scudeler, AL",2018,10,10,,"Demuner, V; Bausen, E; Pizziolo, W",95,,1999,10,13,,,Brazil,Espírito Santo,Santa Teresa,"Estrada Tabocas à Várzea Alegre, Pedra Alegre.",-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,"Arbusto 3m, botões florais, flores amarelas e frutos verdes. Látex branco.; Localizada em cima da pedra do cruzeiro, ambiente aberto e ensolarado.",UEC161208,UEC161208,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,132354,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Scudeler, AL",2018,06,19,,"Kollmann, L; Bausen, E; Pizziolo, W",947,,1998,11,10,,,Brazil,Espírito Santo,Santa Teresa,Pedra do Cruzeiro.,-40.6002998352051,-19.9356002807617,0,0,23813,,900,900,,,,,,,,,Rupícula. Arbusto 2m. Flores amarelas. Seiva branca.,UEC158221,UEC158221,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,93692,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales,"Scudeler, AL",2018,10,10,,"Demuner, V; Bausen, E; Pizziolo, W; Kollmann, L",1011,,2000,05,10,,,Brazil,Espírito Santo,Santa Teresa,"São João de Petrópolis, (Barra de Santo Hilário). Paulo Zanette.",-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,"Arbusto 3m, botões florais, flores amarelas, fruto cor verde, látex branco.; sobre a rocha, aberto ensolarado.",UEC170613,UEC170613,auto
2021-06-30 13:03:37-03,MBM,MBM,422802,S,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales et al.,"Taufer, M.",2019,05,24,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3466,,2019,04,06,,Southern America,Brazil,Espírito Santo,Nova Venécia,Pedra do Elefante,-40.456944,-18.766389,-40.456944,-18.766389,,,590,590,,,,,,,,,"Arbusto com 1,5 m de altura; flor amarela.; Refúgio Vegetacional Altomontano (campo de altitude e vegetação rupícola).",MBM422802,,
2021-06-30 13:03:37-03,MBM,MBM,422895,S,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F. Sales et al.,"Barboza, E.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3508,,2019,04,08,,Southern America,Brazil,Espírito Santo,Pancas,"Pico do Vidal, cume",-40.793333,-19.187222,-40.793333,-19.187222,,,700,700,,,,,,,,,ERva ereta; flores com corola amarela.; Refúgio Vegetacional Altomontano (vegetação rupícola).,MBM422895,,
2020-04-27 16:08:36-03,UFES,VIES,5081,S,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,"Kinoshita, L.S.",1994,06,,,"Gomes, J.M.L.",1138,,1990,05,16,,,Brasil,Espírito Santo,Ibiraçu,Mosteiro Zen Budista.,-40.369701385498,-19.8318996429443,,,13709,,,,,,,,,,,,,VIES005081,VIES005081,auto
2019-09-27 18:03:32-03,UFES,VIES,41170,S,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,"Pena, N.T.L",2015,12,14,,"Pena, N.T.L.; Alves-Araújo, A; Souza, W.O; Luber, J.",231,,2015,05,05,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041170,VIES041170,auto
2020-04-27 16:08:36-03,UFES,VIES,41171,S,Plantae,,,,Apocynaceae,Mandevilla,fistulosa,,Mandevilla fistulosa,M.F.Sales et al.,"Pena, N.T.L",2015,09,18,,"Pena, N.T.L.; Alves-Araújo, A; Sossai, B.G; Silverio, A.",390,,2015,09,11,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041171,VIES041171,auto
