MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:35-03,UFES,SAMES,8177,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",355,,2017,12,08,,,Brasil,Espírito Santo,Águia Branca,REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.,-40.7402992248535,-18.9831008911133,-407122222.0,-189786111.0,19701,,,,,,,,,,,,"Folhas verdes, flores roxas,abundante sol pleno.",SAMES08177,,auto
2021-03-24 17:08:35-03,UFES,SAMES,8215,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",393,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, flores roxas, sol,abundante, habitando ilha de vegetação inselberg.",SAMES08215,,auto
2021-03-24 17:08:35-03,UFES,SAMES,1249,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Pinto Junior, H.V.; Covre, C.",159,,2015,07,23,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca; afloramento da dissertação do Herval.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas; abundante; sol pleno.,SAMES01249,,auto
2021-03-24 17:08:35-03,UFES,SAMES,1250,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.",2177,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca; afloramento da dissertação do Herval.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Arbusto esguio de 2,5 m de altura com flores azuis e base do tubo da corola avermelhado; em afloramento granítico.",SAMES01250,,auto
2021-05-17 15:41:49-03,UNICAMP,UEC,195213,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kinoshita & A.O.Simões","Shimizu, GH",2016,10,05,,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K",4710,,2016,10,05,,,Brazil,Espírito Santo,Pancas,"Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas",-41.202239,-19.459414,-41.202239,-19.459414,,,213,213,,,,,,,,,"Arbusto, 1,6 m. Flores roxas, avermelhadas no cálice. Com látex.; Inselberg, sobre rocha.",UEC149262,UEC149262,
2021-05-17 15:41:49-03,UNICAMP,UEC,195165,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kinoshita & A.O.Simões","Paula, LFA",2016,05,,,"Mauad, LP; et al.",334,,2016,04,01,,,Brazil,Minas Gerais,Carlos Chagas,"Pedra da Baleia, Fazenda de Aroldo Rangel. Próximo da BR 418.",-40.995833,-17.8275,-40.995833,-17.8275,,,365,365,,,,,,,,,"Flores de cor rosa, fruto vináceo. Contém látex. Altura 1,60m. Erva rúpicola.; Ilha de vegetação em afloramento rochoso.",UEC132080,UEC132080,
2021-05-17 15:41:49-03,UNICAMP,UEC,152234,S,Plantae,Magnoliopsida,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kinoshita & A.O.Simões","Scudeler, AL",2018,10,18,,"Kollmann, L; Bausen, E",3543,,2000,12,13,,,Brazil,Espírito Santo,Barra de São Francisco,"Córrego de Poaia, fazenda Santa Cruz.",-40.8908004760742,-18.7549991607666,0,0,36480,,,,,,,,,,,,Rupícola no sol. Arbusto 1m. Flores roxas.,UEC065671,UEC065671,auto
2021-06-30 13:03:38-03,MBM,MBM,422890,S,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F. Sales, Kin.-Gouv. & A.O. Simões","Barboza, E.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3503,,2019,04,08,,Southern America,Brazil,Espírito Santo,Pancas,"Pico do Vidal, cume",-40.793333,-19.187222,-40.793333,-19.187222,,,700,700,,,,,,,,,Arbusto rupícola; corola rósea na base até roxa no ápice.; Refúgio Vegetacional Altomontano (vegetação rupícola).,MBM422890,,
2021-06-30 13:03:38-03,MBM,MBM,54299,S,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F. Sales, Kin.-Gouv. & A.O. Simões","Sales, M.F.",,,,ISOTYPE,"Shepherd, G.J.; Semir, J.; Andrade, J.B. de; Leite, V.; Semir, J.; Andrade, J.B. de; Leite, V.",5869,,1977,09,08,,Southern America,Brazil,Espírito Santo,Colatina,"Vale de Pancas, Ca. 60 km noroeste de Colatina",-40.6305999755859,-19.539400100708,0,0,57036,,100,100,,,,,,,,,"Arbusto até 1,5 m; flores roxo/violeta; base da corola lilás.; Em encosta de rochas graníticas.",MBM054299,MBM054299,auto
2021-06-30 13:03:38-03,MBM,MBM,129316,S,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F. Sales, Kin.-Gouv. & A.O. Simões","Leeuwenberg, A.J.M.",,,,PARATYPE,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.",52278,,1988,07,20,,Southern America,Brazil,Minas Gerais,Teófilo Otoni,"Rod. BR-418, próximo ao Rio Quigeme",-41.505298614502,-17.8575000762939,0,0,62594,,,,,,,,,,,,"Arbusto delgado, 1,50m. Flor violeta, base creme. Paredões rochosos; Arbusto delgado, 1,50 m. Flor violeta, base creme.; Paredões rochosos.",MBM129316,MBM129316,auto
2021-02-23 13:21:49-03,MN,R-TIPOS,37504,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F. Sales, Kin.-Gouv. & A.O. Simões","Sales, M.F.",1993,06,24,Paratypus,"Bruno, E.A.; Mello Filho, L.E.",91,,1942,07,11,,,Brasil,Espírito Santo,Pancas,Aldeiamento dos índios,-40.8513984680176,-19.2250003814697,,,32475,,,,,,,,,,,,,R000037504,R000037504_001,auto
2021-02-23 13:21:49-03,MN,R-TIPOS,37504a,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F. Sales, Kin.-Gouv. & A.O. Simões","Sales, M.F.",1993,06,24,Isoparatypus,"Bruno, E.A.; Mello Filho, L.E.",91,,1942,07,11,,,Brasil,Espírito Santo,Pancas,Aldeiamento dos índios,-40.8513984680176,-19.2250003814697,,,32475,,,,,,,,,,,,,R000037504a,R000037504a_001,auto
2021-06-13 16:41:00-03,NY,NYBG,971017,PreservedSpecimen,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kin.-Gouv. & A.O.Simões",,,,,,G. G. Hatschbach,52278,,1988,07,20,,South America,Brazil,Minas Gerais,Teófilo Otoni,"Rod. BR-418, próximo ao Rio Quigeme.",-41.5053,-17.8578,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064060' target='other'> <mi>dwc_moreinfo</mi></a>,NY00971017,NY00971017_01,
2021-06-25 18:17:25-03,UFV,VIC,15095,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M. F. Sales,"Morales, J.F.",2000,11,,,"Valente, G.E.; Ferreira, A.A.A.",151,,1995,10,14,,,Brasil,Minas Gerais,Mantena,"Rio Preto, Fazenda Boa Vista do Sr. Antônio Ferreita Valente.",-40.9803009033203,-18.7817001342773,0,0,33996,,,,,,,,,,,,"Arbusto com cerca de 2,0 metros de altura, a pleno sol sobre laje de pedra com pouco solo. Botão rosa e flor roxa quando fresca e rosa depois de seca em estufa. Frutos imaturos verdes. Raiz com estrutura globosa de cor roxo-amarronzada",VIC015095,VIC015095,auto
2019-11-13 11:15:05-03,USP,SPF,225253,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kin.-Gouv. & A.O.Simões","Paula, LFA",2016,05,,,"Forzza, RC",8766,,2016,03,14,,,Brasil,Espírito Santo,Vila Pavão,,-40.582778,-18.643889,-40.582778,-18.643889,,,159,159,,,,,,,,,,SPF00225253,,
2021-03-15 18:24:44-03,USP,SPF,194501,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kin.-Gouv. & A.O.Simões","Morales, JF",2009,06,30,,"Kuhlmann, JG",293,,,,,,,Brasil,Espírito Santo,Colatina,Margen do Rio Pancos,-40.6305999755859,-19.539400100708,0,0,57036,,,,,,,,,,,,"Arbustinho de flores purpirinos, cresce sobre uma cera em rocha viva; raízes tuborosas.",SPF00194501,,auto
2021-05-18 10:38:49-03,UEFS,HUEFS,141184,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,A.Rapini,2010,01,,,"Monteiro, R.F.",307,,2008,01,14,,,Brasil,Espírito Santo,São Roque do Canaã,"Distrito de Santa Julia, Misterioro, Pedra dos Tres Carneiros.",-40.7575,-19.770833,40W45'27'',19S46'15'',,,632,632,,,,,,,,,Afloramento rochoso.,HUEFS0141184,HUEFS0141184 HUEFS0141184_01,
2021-05-18 10:38:49-03,UEFS,HUEFS,146918,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,A.Rapini,2010,01,,,"Monteiro, R.F.",307,,2008,01,14,,,Brasil,Espírito Santo,São Roque do Canaã,"Distrito de Santa Julia, Misterioso, Pedra dos Três Carneiros.",-40.7575,-19.770833,40W45'27'',19S46'15'',,,632,632,,,,,,,,,,HUEFS0146918,,
2021-05-18 10:38:49-03,UEFS,HUEFS,164295,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,L.Kollmann,2016,10,,,"Leal, E.S.",56,,2009,11,18,,,Brasil,Espírito Santo,Santa Teresa,"Estrada vicinal ao lado da Escola agrotécnica federal, pedra do Ruido. Inselbergue.",-40.691667,-19.821944,40W41'30'',19S49'19'',,,,,,,,,,,,,Inselberg.,HUEFS0164295,HUEFS0164295 HUEFS0164295_e1,
2021-05-18 10:38:49-03,UEFS,HUEFS,176647,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Queiroz, L.P.de",15277,,2011,05,29,,,Brasil,Espírito Santo,Colatina,Ca. 10 km S do entroncamento da ES 341 (Para Pancas) com a ES-080 (para Colatina).,-40.681389,-19.404167,40W40'53'',19S24'15'',,,103,103,,,,,,,,,Mata atlântica. Morro de gnaiss.,HUEFS0176647,HUEFS0176647,
2021-05-18 10:38:49-03,UEFS,HUEFS,210911,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,A.Rapini,2015,09,,,"Forzza, R.C.",7756,,2014,02,12,,,Brasil,Espírito Santo,,"Monumento Natural dos Pontões Capixaba. Distrito de Lajinha, Pedra do Sr. Vidal Krause.",-40.783333,-19.188611,40W47'0'',19S11'19'',,,592,592,,,,,,,,,Inselbergue com capões de mata na base e no topo.,HUEFS0210911,HUEFS0210911,
2021-05-18 10:38:49-03,UEFS,HUEFS,210914,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,A.Rapini,2015,09,,,"Forzza, R.C.",7777,,2014,02,13,,,Brasil,Espírito Santo,,Córrego do Viadinho.,-40.578889,-18.643611,40W34'44'',18S38'37'',,,315,315,,,,,,,,,Inselbergue,HUEFS0210914,HUEFS0210914,
2021-05-18 10:38:49-03,UEFS,HUEFS,228729,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Forzza, R.C.",8766,,2016,03,14,,,Brasil,Espírito Santo,Vila Pavão,"Córrego do Viadinho, 3,5 km de Vila Pavão.",-40.582778,-18.643889,40W34'58'',18S38'38'',,,159,159,,,,,,,,,Inselbergue.,HUEFS0228729,HUEFS0228729,
2021-05-18 10:38:49-03,UEFS,HUEFS,229317,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Gentianales,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F.Sales et al.,,,,,,"Azevedo, L.O.",403,,2016,03,11,,,Brasil,Espírito Santo,Pancas,Pedra da Colina.,-40.876667,-19.231111,40W52'36'',19S13'52'',,,745,745,,,,,,,,,"Ilha de vegetação, depressão rasa. Inselberg granítico com entorno florestado.",HUEFS0229317,HUEFS0229317,
2020-12-11 11:31:50-03,UFMG,BHCB,163492,PreservedSpecimen,Plantae,Dicotyledon,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F. Sales et al.,,2011,04,01,,"Paula, LFA de; Mota, NFO; Viana, PL; Jorge, TB; Burkowski, PM",153,,2011,01,08,,Southern America,Brasil,Minas Gerais,Teófilo Otoni,"Afloramento rochoso lado esquerdo da MG-418, cerca de 30km norte de Teófilo Otoni.",-41.260944,-17.855972,-41.260944,-17.855972,,,560,560,,,,,,,,,"Arbusto variando entre 1m a 3m de altura. Corola lilás, externamente na base é rosa. Látex branco.; Em ilha de vegetação de afloramento granítico.",BHCB006813,,
2021-04-23 17:16:31-03,UFMG,BHCB,163531,PreservedSpecimen,Plantae,Dicotyledon,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F. Sales et al.,,2012,04,01,,"Paula, LFA de; Paula, ALFA de; Paula, MA de",376,,2011,09,09,,Southern America,Brasil,Minas Gerais,Teófilo Otoni,"Afloramento rochoso lado esquerdo da MG-418, cerca de 30 km norte de Teófilo Otoni.",-41.260944,-17.855972,-41.260944,-17.855972,,,560,560,,,,,,,,,"Arbusto 1,5m. Botões vermelhos, flores rosas e frutos imaturos verdes.; Em afloramento granítico.",BHCB006850,,
2020-12-11 11:31:50-03,UFMG,BHCB,190317,PreservedSpecimen,Plantae,Dicotyledon,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F. Sales et al.,,2016,05,,,"Forzza, RC; Paula, LFA de; Azevedo, LO",8766,,2016,03,14,,Southern America,Brasil,Espírito Santo,Vila Pavão,"Corrégo do Viadinho, 3,5 km de Vila Pavão.",-40.582778,-18.643889,-40.582778,-18.643889,,,159,159,,,,,,,,,"Arbusto, 0,5 - 1,5m alt. Flores com cálice verde. corola rósea com lacíneos róseos.; Inselbergue.",BHCB190317,,
2020-12-11 11:31:50-03,UFMG,BHCB,190353,PreservedSpecimen,Plantae,Dicotyledon,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,M.F. Sales et al.,,2016,03,31,,"Azevedo, LO; Paula, LFA de; Mauad, LP; Porembisk, S",452,,2016,03,31,,Southern America,Brasil,Minas Gerais,Carlos Chagas,Pedra do Kaladão. Inselberg próximo ao Posto do Kaladão na BR 418.,-40.995,-17.863333,-40.995,-17.863333,,,380,380,,,,,,,,,"Arbusto Rupícula. Alt: 1,7m. Botões florais rosa-claros. Flores com corola roxa. Frutos disperando sementes de cor marrom. Folhas levemente discolores. Espécie frequente.; Em ilha de vegetação. Iselberg granítico com pequenos fragment",BHCB190353,,
2020-07-23 11:57:26-03,CEPLAC,CEPEC,147449,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,,A. P. Fontana,,,,,A. P. Fontana,5803,,2009,01,15,,,Brasil,Espírito Santo,NOVA VENÉCIA,Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo.,-40.463611,-18.785,40W27'49,18S47'6,,,,,,,,,,,,30/12/2009,,,,
2020-07-23 11:57:26-03,CEPLAC,CEPEC,675,PreservedSpecimen,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,,J. F. Morales,,,,,R. P. Belém,1622,,1965,08,14,,,Brasil,Minas Gerais,NANUQUE,Margem Rod. Nanuque/Teofilo Otoni.,-40.3539009094238,-17.8391990661621,0W0'0,0S0'0,46980,,,,,,,,,,,18/10/2007,,,,auto
2020-09-17 15:32:39-03,MBML,MBML-HERBARIO,11316,,Plantae,,,,Apocynaceae,Mandevilla,grazielae,,Mandevilla grazielae,"M.F.Sales, Kin.-Gouv. & A.O.Simões",J.F.Morales/Nov.2008,,,,,V. Demuner; et al,93,,1999,10,13,,,Brasil,Espírito Santo,Santa Teresa,Pedra Alegre,-40.824722,-19.888889,40W49'29,19S53'20,,,,,,,,,,,,,"Arbusto, botões florais, flores roxas e frutos imaturos de cor verde. Localizada em cima da Pedra Cruzeiro, ambiente aberto e ensolarado.",MBML011316,MBML011316,
