MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 15:52:00-03,UNICAMP,UEC,32891,S,Plantae,Magnoliopsida,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,"Mendoza, M",2015,10,01,,"Lima, HC",1672,,1981,12,16,,,Brazil,Espírito Santo,Linhares,Reserva Florestal da Cia. Vale do Rio Do,-40.0722007751465,-19.3910999298096,0,0,48094,,,,,,,,,,,,"flor, Arbusto ou árvore pequena, 2 - 5 m alt. Flores amarelo - esverdeadas com máculas arrouxeadas. Frequente no nativo",UEC125354,UEC125354,auto
2021-05-17 15:52:00-03,UNICAMP,UEC,4825,S,Plantae,Magnoliopsida,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,"Mendoza, M",2015,10,01,,"Gibbs, PE",s.n.,,1977,01,04,,,Brazil,São Paulo,Campinas,Cultivada na sede do Instituto Agronômic,-47.060001373291,-22.8999996185303,0,0,23900,,,,,,,,,,,,"flor, Flores femininas creme esverdeadas, exterior, margens roxas no interior - ovario avermelhado",UEC045776,UEC045776,auto
2019-11-19 14:06:59-03,UFRPE,PEUFR,52889,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,,,,,,M. L. L. Martis,2140,,2014,03,13,,,Brasil,Espírito Santo,Vila Velha,Avenida Gil Veloso,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,M187.,PEUFR052889,,auto
2021-06-30 13:12:43-03,MBM,MBM,360285,S,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,"Mendoza, M.",2018,09,21,,"Peixoto, A.L.; Lima, H.C. de; Lima, H.C. de",1741,,,,,,Southern America,Brazil,Espírito Santo,Linhares,Reserva Natural da Vale do Rio Doce,-40.0722007751465,-19.3910999298096,0,0,48094,,,,,,,,,,,,"Arbusto heliófilo com 80cm, flores amarelo esverdeado e frutos imaturos verdes.; Campo nativo.",MBM360285,,auto
2021-05-13 10:50:15-03,Cenargen,CEN,11266,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,M. Mendoza,2014,04,,,Antônio Costa Allem,3604,,1986,05,26,,,Brasil,MT,SANTA TEREZINHA,"71 km a NE de Porto Alegre, ao longo da rodovia BR-158 rumo a Vila Rica.",-51.13333,-10.16667,-51.13333,-10.16667,,,300,300,,,,Exsicatas,4,,,,"Arbusto muito ramificado, 2 m de altura, com tomento discreto nos ramos e folhas jovens. Folhas compostas, digitadas, lóbulos pandurados. Fruto glabro, liso, cônico, verde-escuro com listras brancas ao longo das suturas da cápsula. Cerca de 20 mm longo.",CEN00011266,CEN00011266,
2021-05-13 10:50:15-03,Cenargen,CEN,30476,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,M. Mendoza,2014,02,,,Antônio Costa Allem,4261,,1994,05,29,,,Brasil,PA,LIGAÇÃO DO PARÁ,"Cerca de 28,5 km a NW da cidade, ao longo da rodovia BR-010 rumo a Ulianópolis.",-47.61667,-4.03333,-47.61667,-4.03333,,,350,350,,,,Exsicatas,2,,,,"Folhas compostas e frutos glabros, lisos, redondos, grandes, indeiscentes. Antes era Gurupizinho, com a emancipação, novo nome é Ulianópolis. Local de capoeira com ervas daninhas, quase impossível de entrar.",CEN00030476,CEN00030476,
2021-05-13 10:50:15-03,Cenargen,CEN,30473,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,M. Mendoza,2014,02,,,Antônio Costa Allem,4258,,1994,05,29,,,Brasil,PA,LIGAÇÃO DO PARÁ,"Cerca de 4,7 km a N da cidade, ao longo da rodovia BR-010 rumo a Ulianópolis.",-47.7,-4.21667,-47.70000,-4.21667,,,350,350,,,,Exsicatas,4,,,,"Folhas compostas e frutos glabros, lisos, redondos, grandes, indeiscentes. Frutos imaturos colhidos de 2 indivíduos. Local de capoeira repleto de plantas ruderais, ao lado esquerdo da estrada.",CEN00030473,CEN00030473 CEN00030473_1,
2021-05-13 10:50:15-03,Cenargen,CEN,42940,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,M. Mendoza,2016,04,,,Lídio Coradin,7225,,1984,09,13,,,Brasil,PA,SANTAREM,"Rodovia Campo Alegre - divisa PA/MT(PA - 150), km 46.",-50.63333,-9.65,-50.63333,-9.65000,,,280,280,,,,Exsicatas,4,,,,,CEN00042940,CEN00042940,
2021-05-13 10:50:15-03,Cenargen,CEN,30435,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,M. Mendoza,2014,02,,,Antônio Costa Allem,4217,,1994,05,23,,,Brasil,TO,ARAGUAINA,"Exatos 10,7 km a NW da saída de Nova Olinda, ao longo da rodovia BR-153 rumo a Araguaína.",-48.33333,-7.53333,-48.33333,-7.53333,,,300,300,,,,Exsicatas,4,,,,"Arbusto tipo liana, videira, só com folhas comportando-se como Passiflora e enroscando-se no topo das árvores ao redor. Folhas compostas, simulando serem simples. Folíolos caem um a um. Folhas discolores, lóbulos inteiros. Altura da placa km 166. Cerca de 36 km antes de Araguaína. Local com mata secundária com Macaúba, Taboca, Piper, Embaúba, Desmodium etc..",CEN00030435,CEN00030435,
2021-05-13 10:50:15-03,Cenargen,CEN,30436,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Manihot,pohlii,,Manihot pohlii,Wawra,M. Mendoza,2014,02,,,Antônio Costa Allem,4219,,1994,05,25,,,Brasil,TO,ARAGUAINA,"Exatos 15,7 km a NE de Araguaína, ao longo da rodovia BR-226 rumo a Wanderlândia.",-48.13333,-7.08333,-48.13333,-7.08333,,,290,290,,,,Exsicatas,5,,,,"Volúvel no ápice, tipo liana enroscando-se na vegetação secundária. Folhas compostas, lóbulos inteiros. Encontrada somente com folhas, vista dependurada das árvores. Conta do último quebra-molas. Local de resto mata secundária, degradada, com capim Brachiaria.",CEN00030436,CEN00030436,
