MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:04-03,UFES,SAMES,8226,PreservedSpecimen,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Soler.,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",404,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes diminutas, flores roxas diminutas, sombra, abundante, habitendo ilha de vegetação inselberg.",SAMES08226,,auto
2021-05-17 16:10:04-03,UNICAMP,UEC,22240,S,Plantae,Magnoliopsida,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Soler.,"Carvalho, AF",1980,01,29,,"Semir, J",10939,,1980,01,29,,,Brazil,Minas Gerais,Padre Paraíso,km 192 da Rodovia Rio-Bahia.,-41.4844017028809,-17.0741996765137,0,0,21680,,,,,,,,,,,,"Subarbusto de 1,2m ; flores arroxeadas.",UEC082721,UEC082721,auto
2020-08-31 19:33:08-03,UFPB,JPB,65204,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Soler.,"Stehmann, JR",2003,08,,,"Leoni, LS",5293,,2003,04,,,Southern America,Brasil,Minas Gerais,Faria lemos,Fazenda Santa Rita,-42.0297012329102,-20.8083000183105,0,0,14353,,700,700,,,,,,,,,"; HABITAT: Crescendo sobre escarpa rochosa; DESC: Subarbustivo, um tanto decumbente, corola de coloração vinácea-escura",JPB0065204,,auto
2020-08-31 19:33:08-03,UFPB,JPB,65208,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Soler.,"Carvelho, LF",1977,08,,,"Sucre, D; Reitz, Pe R; Silva, JF",10695,,1974,04,16,,Southern America,Brasil,Rio de Janeiro,Rio de Janeiro,Pedra da Gávea,-43.2075004577637,-22.9027996063232,0,0,57442,,690,690,,,,,,,,,"; DESC: Heliófila, saxícola, até 1m de alt., corola roxa",JPB0065208,,auto
2021-06-30 13:27:58-03,MBM,MBM,156185,S,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Solered.,"Schinini, A.",,,,,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.",56526,,,,,,Southern America,Brazil,Bahia,Urandi,"Rod. BR-122, próximo a divisa com Ouro Branco",-42.6549987792969,-14.7714004516602,0,0,28091,,,,,,,,,,,,,MBM156185,MBM156185,auto
2021-06-30 13:27:58-03,MBM,MBM,83906,S,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Solered.,,,,,,"Hatschbach, G.",46321,,,,,,Southern America,Brazil,Minas Gerais,Medina,Rod. BR-116,-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,,MBM083906,MBM083906,auto
2021-06-30 13:27:58-03,MBM,MBM,142077,S,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Solered.,"Brade, A.C.",,,,,"Saborian, A.",284,,,,,,Southern America,Brazil,Rio de Janeiro,Rio de Janeiro,Morro dos Cabritos,-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,,MBM142077,MBM142077,auto
2021-06-30 13:27:58-03,MBM,MBM,32477,S,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Solered.,"Freire de Carvalho, L.",,,,,"Duarte, A.P.; Laboriau, L.F.G.; Laboriau, L.F.G.",284,,,,,,Southern America,Brazil,Rio de Janeiro,Rio de Janeiro,Morro dos Cabritos,-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,,MBM032477,MBM032477,auto
2021-06-30 13:27:58-03,MBM,MBM,64704,S,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Solered.,Lucia Freire de Carvalho,,,,,"Anderson, W.R.",11669,,,,,,Southern America,Brazil,Rio de Janeiro,Rio de Janeiro,Pedra da Gávea,-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,,MBM064704,MBM064704,auto
2021-06-30 13:27:58-03,MBM,MBM,142079,S,Plantae,,,,Solanaceae,Melananthus,fasciculatus,,Melananthus fasciculatus,(Benth.) Solered.,Lucia Freire de Carvalho,,,,,"Sucre, D.; et al.; et al.",10695,,,,,,Southern America,Brazil,Rio de Janeiro,Rio de Janeiro,Pedra da Gávea,-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,,MBM142079,MBM142079,auto
