MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-09-10 21:44:00-03,UNEMAT,TANG,3665,S,Plantae,,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,"Kranz, WM",1995,08,25,,"Kranz, WM",298,,1988,05,11,,,Brasil,Paraná,Congonhinhas,Imbau,-50.5536003112793,-23.5510997772217,0,0,24253,,,,,,,,,,,,,TANG000003665,,auto
2019-09-10 21:44:00-03,UNEMAT,TANG,4535,S,Plantae,,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,,,,,,"Antunes, EC; Antunes, LL",240,,2012,03,18,,,Brasil,Mato Grosso,Comodoro,,-42.266667,-13.718333,-42.266667,-13.718333,,,,,,,,,,,,,,TANG000004535,,
2018-08-28 10:13:16-03,UNEMAT,TANG,715,S,Plantae,,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,,,,,,"Koch, AK; Santos, MC",6,,2007,03,29,,,Brasil,Mato Grosso,Tangará da Serra,Serra Tapirapuã,-57.4858016967773,-14.6194000244141,0,0,175746,,,,,,,,,,,,", herbáceo",TANG000000715,,auto
2019-12-04 15:26:41-03,PUCPR,HUCP,24961,S,Plantae,Monocotiledonea,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,,,,,,"Oliveira, GC",1435,,2002,10,29,,,Brasil,Minas Gerais,Uberlândia,Fazenda Rio das Pedras,-48.2771987915039,-18.9186000823975,0,0,58223,,,,,,,,,,,,"Vereda. Herbácea ca. 0,35m de altura. Marrom arroxeada. Localizada a 300m da BR 498. na altura do Km 5 Uberlândia, MG.",HUCP00024961,HUCP00024961,auto
2019-12-04 15:26:41-03,PUCPR,HUCP,23652,S,Plantae,Monocotiledonea,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,"Dunaiski, A",,,,,"Dunaiski, A",2078,,2003,06,21,,,Brasil,Paraná,Cerro Azul,Vila Bela,-49.261100769043,-24.823600769043,0,0,32006,,,,,,,,,,,,,HUCP00006987,HUCP00006987,auto
2019-12-04 15:26:41-03,PUCPR,HUCP,23667,S,Plantae,Monocotiledonea,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,"Dunaiski, A",,,,,"Dunaiski, A",3395,,2007,06,25,,,Brasil,Paraná,Curitiba,Campus 1 FIES,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00006860,HUCP00006860,auto
2019-12-04 15:26:41-03,PUCPR,HUCP,20088,S,Plantae,Monocotiledonea,,,Poaceae,Melinis,minutiflora,,Melinis minutiflora,P. Beauv.,"Selusniaki, M",,,,,"Selusniaki, M",389,,2005,06,04,,,Brasil,Paraná,Curitiba,Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00006814,HUCP00006814,auto
2020-02-08 10:18:18-03,NBC,NL-BOTANY,L.3797630,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Gramineae,Melinis,minutiflora,,Melinis minutiflora,P.Beauv.,,,,,,Lewis M,,,1990,06,06,,Southern America,Bolivia,,,Bolivia. La Paz: Inquisivi Province. '''Rio Chekha'' - - Along the road between Circuata and Licoma Pampa where it crosses the Rio Chekha. 8 km SW of Cajuata.,-67.233333,-16.75,-67.233333,-16.75,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3797630 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3797630,NL-L3797630,
2020-02-08 10:18:18-03,NBC,NL-BOTANY,U.1508634,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Gramineae,Melinis,minutiflora,,Melinis minutiflora,P.Beauv.,,,,,,Ratter JA; Ferreira A; Castro RA de; Andrelinho,,,1968,07,06,,Southern America,Brazil,,,"Anglo/Brazilian. Close to the Base Camp of the Expedition (Base Camp, c. 270 km N. of Xavantina on the Xavantina - São Felix road).",-51.866667,-12.9,-51.866667,-12.9,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1508634,NL-U1508634,
2020-02-08 10:18:18-03,NBC,NL-BOTANY,U.1508635,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Gramineae,Melinis,minutiflora,,Melinis minutiflora,P.Beauv.,,,,,,Richards PW,,,1969,07,31,,Southern America,Brazil,,,Centeal Brazilian Plateau. State of Mato Grosso. 25 km N. of Base Camp.,-51.766667,-12.816667,-51.766667,-12.816667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1508635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1508635,NL-U1508635,
