MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:25-03,UFES,SAMES,7067,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,,,,,,"Menezes,L.F.T.",2328,,2016,09,05,,,Brasil,Espírito Santo,Águia Branca,,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Com flores roxas. Habitat: Afloramento rochoso. Habito: Arbusto,SAMES07067,,auto
2021-03-24 17:09:25-03,UFES,SAMES,1173,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,,,,,,"Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.",216,,2015,11,26,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Arbusto de 1,5 a 2 metros de altura; habitando ilhas de vegetação em afloramento granítico; folhas verdes; flores rosa claro; caule suculento; fruto redondo; abundante, sol pleno.",SAMES01173,,auto
2021-03-24 17:09:25-03,UFES,SAMES,8220,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",398,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, sol, habitando a ilha de vegetação inselberg.",SAMES08220,,auto
2021-03-24 17:09:25-03,UFES,SAMES,1184,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,,,,,,"Pinto Junior, H.V.; Covre, C.",149,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Harbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores rosa claro; frutos redondos; abundante; sol pleno.,SAMES01184,,auto
2021-05-17 16:00:54-03,UNICAMP,UEC,195215,S,Plantae,Magnoliopsida,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,,,,,,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K",4712,,2016,10,05,,,Brazil,Espírito Santo,Pancas,"Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas",-41.202239,-19.459414,-41.202239,-19.459414,,,213,213,,,,,,,,,"Arbusto rastejante. Flores roxas.; Inselberg, sobre rocha.",UEC149257,UEC149257,
2021-02-11 17:19:52-03,UFPR,UPCB,86566,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,"Goldenberg, R.",2016,,,,"Forzza, R.C. et al.",8760,,2016,03,14,,,Brasil,Espírito Santo,Águia Branca,Afloramento a 5km de Águia Branca na estrada para Vila Verde.,-40.777778,-19.006111,-40.777778,-19.006111,,,117,117,,,,,,,,,"Arvoreta em ilha de vegetação, 2-4m alt., pouco frequente. Folhas discolores. Frutos castanhos. Habitat: Inselbergue..",UPCB0014860,UPCB0014860,
2021-06-11 14:02:34-03,UFPR,UPCB,89322,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,"Fontana, A.P.",2009,01,15,,"Fontana, A.P. et al.",5797,,2009,01,15,,,Brasil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, Fazenda da Neblina, base da Pedra da Torre. Inselbergue",-40.445556,-18.786944,-40.445556,-18.786944,,,150,150,,,,,,,,,"Arbusto, ca. 1,2m. Flores lilás. Fruto, ovário e parte abaxial da folha com tricomas creme. Material em sílica..",UPCB0030986,UPCB0030986,
2021-02-11 17:19:52-03,UFPR,UPCB,96673,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,"Bochorny, T.",2016,01,,,"Bochorny, T. | Bacci, L.F. | Bolson, M.",192,,2016,01,17,,,Brasil,Espiríto Santo,Santa Teresa,Museu de Biologia Mello Leitão,-40.6,-19.936111,-40.600000,-19.936111,,,600,600,,,,,,,,,"Arbusto cultivado, 1,8m, fruto seco, no jardim interno do Museu Mello Leitão.",UPCB0047107,,
2021-02-11 17:19:52-03,UFPR,UPCB,84930,PreservedSpecimen,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,Wurdack,"Goldenberg, R.",2015,,,,"Goldenberg, R | Kollmann, L.",2124,,2015,04,13,,,Brasil,Espírito Santo,Santa Teresa,Museu Mello-Leitão. Planta Cultivada,-40.6002998352051,-19.9356002807617,,,23813,,,,,,,,,,,,"Arbusto 1,5m. Frutos maduros castanhos..",UPCB0014852,UPCB0014852,auto
2015-07-02 14:02:58-03,JBP,HPL,5059,S,Plantae,,,,Melastomataceae,Merianthera,burlemarxii,,Merianthera burlemarxii,J.J. Wurdack,H. Lorenzi,1999,09,30,,MP,21,,1999,09,30,,,Brasil,RJ,Rio de Janeiro,Coletada no Sítio R. Burle Marx.,-43.2075,-22.9028,,,57442,,,,,,,,,,,,,,,auto
