MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-02-11 17:19:56-03,UFPR,UPCB,84577,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. paniculata,,Miconia cf. paniculata,(DC.) Naudin,"Goldenberg, R.",2016,,,,"Araújo, E.A.",326,,2015,09,13,,,Brasil,Espírito Santo,Ibitirama,"Santa Marta, PARNA do Caparaó: Parcela 08, indivíduo 10.",-41.77,-20.491,-41.770,-20.491,,,,,,,,,,,,,"Árvore, flores brancas..",UPCB0016861,UPCB0016861,
2021-02-11 17:19:56-03,UFPR,UPCB,86574,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. splendens,,Miconia cf. splendens,(Sw.) Griseb.,"Goldenberg, R.",2016,,,,"Quinet, A. et al.",2757,,2011,08,19,,,Brasil,Amazonas,Barcelos,"parque Estadual da Serra do Aracá. Igarapé Preto, mata ciliar.",-63.575,0.851944,-63.575000,0.851944,,,1300,1300,,,,,,,,,"Arbusto de 3m de altura, heliófilo. Folhas discolores verdes, cartáceas. Botões florais alvos..",UPCB0020055,UPCB0020055,
2021-02-11 17:19:56-03,UFPR,UPCB,94119,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. pyrifolia,,Miconia cf. pyrifolia,Naudin,"Goldenberg, R.",2018,,,,"Costa JR, J.A.",58,,2011,09,26,,,Brasil,Rondônia,Porto Velho,"Estação Ecológica Cuniã ( ESECC), Grade PPBIO.",-63.785556,-8.156111,-63.785556,-8.156111,,,,,,,,,,,,,Floresta ombrófila aberta com abumdância de (Lepidocaryum teune) Caranaí. .,UPCB0042275,UPCB0042275,
2019-06-10 10:11:08-03,FZB-BH,BHZB,5143,S,Plantae,,,,Melastomataceae,Miconia,cf. ibaguensis,,Miconia cf. ibaguensis,,,,,,,"Rezende, S.G.",,,2004,09,01,,,Brasil,MG,Nova Lima,Vale dos Cristais,-43.8466987609863,-19.9855995178223,,,29211,,,,,,,,,,,,Doação SETE Soluções.,,,auto
2019-06-10 10:11:08-03,FZB-BH,BHZB,7202,S,Plantae,,,,Melastomataceae,Miconia,cf. latecrenata,,Miconia cf. latecrenata,,"Mendes, M.S.",,,,,"Rezende, S.G et al.",2510,,2008,02,25,,,Brasil,MG,Mariana,Região da Mina de Fabrica Nova,-43.432222,-20.197222,43W 25' 56,20S 11' 50,,,1011,1011,,,,,,,,,"Doação Sete Soluções Consultoria em Novembro de 2008. BHCB 123618. Outros coletores: Mendes, M.S. Pena, F.S.R. Neves, G.S. Lat: 20º 11' 50 S, Long: 43º 25' 56 W; Alt: 1011 m.",,,
2019-06-10 10:11:08-03,FZB-BH,BHZB,2465,S,Plantae,,,,Melastomataceae,Miconia,cf. ligustroides,,Miconia cf. ligustroides,,,,,,,"Rezende, S.G. & Werneck, M.",76,,2003,12,01,,,Brasil,MG,Nova Lima,Vale Cristais,-43.8466987609863,-19.9855995178223,,,29211,,,,,,,,,,,,,,,auto
2019-06-10 10:11:08-03,FZB-BH,BHZB,2495,S,Plantae,,,,Melastomataceae,Miconia,cf. sellowiana,,Miconia cf. sellowiana,,,,,,,"Rezende, S.G. & Werneck, M.",77,,2003,11,01,,,Brasil,MG,Nova Lima,Vale Cristais,-43.8466987609863,-19.9855995178223,,,29211,,,,,,,,,,,,,,,auto
2019-06-10 10:11:08-03,FZB-BH,BHZB,5140,S,Plantae,,,,Melastomataceae,Miconia,cf. theizans,,Miconia cf. theizans,,,,,,,"Rezende, S.G.",,,2004,09,01,,,Brasil,MG,Nova Lima,Vale dos Cristais,-43.8466987609863,-19.9855995178223,,,29211,,,,,,,,,,,,Doação Sete Soluções. Com duplicata.,,,auto
2021-05-13 10:58:20-03,Cenargen,CEN,60051,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. fallax,,Miconia cf. fallax,DC.,B. M. T. Walter,2011,10,,,Anderson Cássio Sevilha,2525,,2002,11,25,,,Brasil,PB,MAMANGUAPE,Reserva Biológica Guaribas - Área I - Capim Azul.,-35.12278,-6.6975,-35.12278,-6.69750,,,,,,,,Unicata,1,,,,,CEN00060051,CEN00060051,
2021-05-13 10:58:20-03,Cenargen,CEN,103824,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. ligustroides,,Miconia cf. ligustroides,(DC.) Naudin,B. M. T. Walter,2018,04,,,Anderson Cássio Sevilha,6825,,2017,03,24,,,Brasil,MG,SAO JOAO DO PARAISO,Sítio 18. Ponto 4.,-42.15,-15.263055,-42.15,-15.263055,,,952,952,,,,Exsicatas,4,,,,Projeto Bem Diverso.,CEN00103824,CEN00103824,
2021-05-13 10:58:20-03,Cenargen,CEN,111143,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. albicans,,Miconia cf. albicans,(Sw.) Triana,,,,,,Lutero Lerner - IFN,3042,,2018,08,07,,,Brasil,GO,IPAMERI,"Conglomerado: GO-740. Subunidade 01, subparcela 01, indivíduo 06 RN.",0,-17.819722,,-17.819722,,,,,,,,Exsicatas,5,,,,"Projeto Inventário Florestal Nacional (IFN). Árvore da base reta. Fuste da casca externa cinza, interna creme, com espessura fina, do tipo rugosa, com desprendimento esfoliante.",CEN00111143,CEN00111143,
2021-05-13 10:58:20-03,Cenargen,CEN,86924,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. ampla,,Miconia cf. ampla,Triana,B. M. T. Walter,2015,06,,,Marcelo Fragomeni Simon,1910,,2013,06,25,,,Brasil,RO,PORTO VELHO,"12 km N de Abunã, margem direita do rio Madeira. Parcela T10P2.",-65.3575,-9.5977777,-65.3575,-9.5977777,,,100,100,,,,Exsicatas,4,,,,Arvoreta. Frutos amarelados.,CEN00086924,CEN00086924,
2021-05-13 10:58:20-03,Cenargen,CEN,81723,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. argyrophylla,,Miconia cf. argyrophylla,DC.,R. Goldenberg,2013,,,,Glocimar Pereira-Silva,15917,,2011,07,21,,,Brasil,RO,PORTO VELHO,"Módulo Abunã, transecto 11, parcela 2, T11 P2 812.",-65.451944,-9.6344444,-65.451944,-9.6344444,,,90,90,,,,Exsicatas,8,,,,Arbórea. (Det. in dupl. RON).,CEN00081723,CEN00081723,
2021-05-13 10:58:20-03,Cenargen,CEN,65355,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. ciliata,,Miconia cf. ciliata,(Rich.) DC.,B. M. T. Walter,2013,05,,,Ricardo Flores Haidar,88,,2007,07,23,,,Brasil,PI,PIRACURUCA,,-41.716666,-3.8530555,-41.716666,-3.8530555,,,,,,,,Exsicatas,1,,,,Arbusto 4 x 9.,CEN00065355,CEN00065355 CEN00065355_1,
2021-05-13 10:58:20-03,Cenargen,CEN,71835,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,cf. cinerascens,,Miconia cf. cinerascens,Miq.,B. M. T. Walter,2013,05,,,Ernestino de S. Gomes Guarino,1015,,2006,04,15,,,Brasil,RS,PINHAL DA SERRA,"Estrada entre Pinhal da Serra e a Serra dos Gregórios, cerca de 5 km da serra.",-51.252222,-27.853888,-51.252222,-27.853888,,,899,899,,,,Exsicatas,4,,,,,CEN00071835,,
