MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 16:01:26-03,UNICAMP,UEC,104214,S,Plantae,Magnoliopsida,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Bacci, LF",2014,10,,,"Chamas, CC; Santos, RR",083,,1996,06,10,,,Brazil,Espírito Santo,Santa Teresa,"Valsugana Velha, Estação Biológica de Santa Lúcia, Trilha Timbuí, Mata de vale.",-40.543611,-19.956667,-40.543611,-19.956667,,,500,950,,,,,,,,,"Arbustiva, flor branca, fruto róseo alaranjado; Mata atlântica de encosta,",UEC114041,UEC114041,
2021-05-17 16:01:26-03,UNICAMP,UEC,99151,S,Plantae,Magnoliopsida,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,,,,,,"Boudet Fernandes, HQ",3196,,1997,03,04,,,Brazil,Espírito Santo,Santa Teresa,Valsugana Velha - Estação Biológica de S,-40.543611,-19.956667,-40.543611,-19.956667,,,600,600,,,,,,,,,"flor, Arbusto de 4 m de altura x 2,5 cm. Botões florais verdes com indumento castanho. Frutos jovens verdes. Mata de encosta.",UEC162659,UEC162659,
2021-05-17 16:01:26-03,UNICAMP,UEC,206237,S,Plantae,Magnoliopsida,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R",2015,,,,"Bacci, LF; Bochorny, T; Goldenberg, R",161,,2015,05,11,,,Brazil,Espirito Santo,São Roque do Canaã,"Brasil, ES, Mun. São Roque do Canaã, Luxemburgo, subida para o Alto Misterioso.",-41.206567,-20.246142,-41.206567,-20.246142,,,280,280,,,,,,,,,Árvore ca.7 m alt. Frutos imaturos verdes.,UEC178621,UEC178621,
2021-06-30 13:20:01-03,MBM,MBM,258828,S,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",,,,,"Silva, J.A.",s.n.,,1977,03,04,,Southern America,Brazil,Minas Gerais,Juiz de Fora,Reserva Biológica do Poço da Anta,-43.3502998352051,-21.7642002105713,0,0,36144,,,,,,,,,,,,,MBM258828,MBM258828,auto
2021-02-11 17:20:07-03,UFPR,UPCB,56243,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",2007,01,01,,"Amorim, A.M.",5908,,2006,04,22,,,Brasil,Minas Gerais,Santa Maria do Salto,"Povoado de Talismã, Fazenda Duas Barras, Reserva Alto Cariri, Trilha do sul que sai em Santa Maria do Salto",-40.054444,-16.403611,-40.054444,-16.403611,,,950,950,,,,,,,,,"Árvore ca. 8m, ramos ferrugíneos, folhas verdes, face superior escura, fruto jovem verde. Floresta ombrófila densa montana..",UPCB0020946,UPCB0020946,
2021-02-11 17:20:07-03,UFPR,UPCB,56260,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",2007,01,01,,"Amorim, A.M.",5562,,2006,02,08,,,Brasil,Minas Gerais,Santa Maria do Salto,"Divisa entre Bahia e Minas Gerais, Fazenda Duas Barras, Reserva do Alto Cariri, Trilha da Caixa d'Água",-40.054444,-16.406389,-40.054444,-16.406389,,,950,950,,,,,,,,,"Árvore ca. 6m, ramos castanhos, lâminas verdes concolores, raque e hipanto castanhos, pétalas alvas. Floresta ombrófila densa montana..",UPCB0020664,UPCB0020664,
2021-02-11 17:20:07-03,UFPR,UPCB,56261,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",2007,01,01,,"Amorim, A.M.",5632,,2006,02,09,,,Brasil,Minas Gerais,Santa Maria do Salto,"Divisa entre Bahia e Minas Gerais, Fazenda Duas Barras, Reserva do Alto Cariri, Trilha da Divisa Bahia-Minas Gerais",-40.054444,-16.406389,-40.054444,-16.406389,,,950,950,,,,,,,,,"Árvore ca. 12m, folhas verdes concolores, raque cinérea, hipanto castanho, pétalas e estames alvos, frutos imaturos verdes. Floresta ombrófila densa montana..",UPCB0020949,UPCB0020949,
2021-02-11 17:20:07-03,UFPR,UPCB,73184,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",2011,01,01,,"Bünger, M.O.",449,,2010,03,08,,,Brasil,Minas Gerais,Espera Feliz,"Parque Nacional do Caparaó, Pedra Roxa.",-41.736111,-20.394444,-41.736111,-20.394444,,,1085,1085,,,,,,,,,"Arbusto ca. 3m, frutos verdes passando a negros..",UPCB0021101,UPCB0021101,
2021-02-11 17:20:07-03,UFPR,UPCB,81149,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",2014,,,,"Gomes, J.M.L.",3275,,2009,04,18,,,Brasil,Espírito Santo,Castelo,Próximo Parque Estadual Forno Grande,-41.1847,-20.6036,-41.1847,-20.6036,,,,,,,,,,,,,"Arborea, fruto arroxeado..",UPCB0020663,UPCB0020663,
2021-02-11 17:20:07-03,UFPR,UPCB,83059,PreservedSpecimen,Plantae,,,,Melastomataceae,Miconia,polyandra,,Miconia polyandra,Gardner,"Goldenberg, R.",2015,,,,"Bacci, L.F.",161,,2015,05,11,,,Brasil,Espírito Santo,São Roque do Canaã,"Luxemburgo, subida para o Alto do Misterioso",-40.772,-20.319,-40.772,-20.319,,,280,280,,,,,,,,,Árvore 7m alt. Frutos imaturos verdes..,UPCB0020660,UPCB0020660,
