MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:17-03,PUCPR,HUCP,1606,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,11,02,,"Oliveira, IR",015,,,,,,,Brasil,Paraná,Almirante Tamandaré,Clube Primavera,-49.310001373291,-25.3246994018555,0,0,18684,,,,,,,,,,,,,HUCP00001568,HUCP00001568,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1550,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,10,10,,"Seraphim, AM",014,,,,,,,Brasil,Paraná,Araucária,,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00001515,HUCP00001515,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1642,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1980,08,30,,"Ferreira, C",005,,,,,,,Brasil,Paraná,Araucária,Tomás Coelho,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00001572,HUCP00001572,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1605,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,09,18,,"Chemin, JF",s.n.,,,,,,,Brasil,Paraná,Campo Largo,,-49.5283012390137,-25.4585990905762,0,0,53742,,,,,,,,,,,,,HUCP00001569,HUCP00001569,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,7268,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Hatschbach, GG",,,,,"Ribas, OS",286,,1990,03,04,,,Brasil,Paraná,Campo Largo,Taquara,-49.5283012390137,-25.4585990905762,0,0,53742,,,,,,,,,,,,,HUCP00001467,HUCP00001467,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1604,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,10,30,,"Altuater, NAMG",s.n.,,,,,,,Brasil,Paraná,Curitiba,Abranches,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00001464,HUCP00001464,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1549,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,10,12,,"Moreira, MCG",008,,,,,,,Brasil,Paraná,Curitiba,Boa Vista,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00001463,HUCP00001463,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1548,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,10,25,,"Silva, RMB",008,,,,,,,Brasil,Paraná,Curitiba,Bom retiro,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00001517,HUCP00001517,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,16465,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Selusniaki, M",,,,,"Selusniaki, M",310,,2005,04,03,,,Brasil,Paraná,Curitiba,Bosque da Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00001531,HUCP00001531,auto
2019-12-04 15:26:17-03,PUCPR,HUCP,1545,S,Plantae,Monilofita,,,Polypodiaceae,Microgramma,squamulosa,,Microgramma squamulosa,(Kaulf.) de la Sota.,"Acra, LA",1982,11,03,,"Costa, EML",008,,,,,,,Brasil,Paraná,Curitiba,Cajuru,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00001512,HUCP00001512,auto
