MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:28-03,UFES,SAMES,6228,PreservedSpecimen,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",331,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Habito: Arbusto,SAMES06228,,auto
2021-03-24 17:09:28-03,UFES,SAMES,3540,PreservedSpecimen,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,"Giaretta,A.",2010,03,03,,"Coelho,R.; Monteiro,M.M.;Giaretta,A.O.;Lobão,A.Q.",17,,2009,03,28,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Parque Estadual de Itaúnas. Mata de restinga sobre feixe de cordão arenoso. Atrás da fazenda Jequitaia.,-39.7322006225586,-18.5932998657227,-397191667.0,-184205556.0,41644,,,,,,,,,,,,Arbusto de 1m. Botão verde.,SAMES03540,,auto
2021-03-24 17:09:28-03,UFES,SAMES,3538,PreservedSpecimen,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,"Giaretta,A.",2008,10,19,,"Giaretta,A.O.; Monteiro,M.M.;Cruz,T.S.",363,,2008,10,19,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Parque Estadual de Itaúnas. Mata de restinga sobre feixe de cordão arenoso. Atrás da fazenda Jequitaia.,-39.7322006225586,-18.5932998657227,-397191667.0,-184205556.0,41644,,,,,,,,,,,,"Arbusto de 1,5m com frutos verdes.",SAMES03538,,auto
2021-03-24 17:09:28-03,UFES,SAMES,3539,PreservedSpecimen,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,"Peixoto,A.L.",2013,02,27,,"Broggio,I.S.; Giaretta,A.O.;Ribeiro,M.",170,,2011,01,25,,,Brasil,Espírito Santo,Pinheiros,"Reserva Biológica Córrego do Veado. Floresta alta de tabuleiro, mata da água limpa.",-40.2132987976074,-18.3703002929688,-401625000.0,-183627778.0,28525,,,,,,,,,,,,"Arbusto de 1,5m, com infrutescência verde.",SAMES03539,,auto
2021-03-24 17:09:28-03,UFES,SAMES,3546,PreservedSpecimen,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,"Giaretta,A.",2010,03,03,,"Monteiro,M.M.; Monteiro,M.M.;Coelho,R.;Giaretta,A.O.;Lobão,A.Q.",161,,2009,03,28,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Parque Estadual de Itaúnas. Mata de restinga sobre feixe de cordão arenoso. Atrás da fazenda Jequitaia.,-39.7322006225586,-18.5932998657227,-397191667.0,-184205556.0,41644,,,,,,,,,,,,Arbusto de 1m com frutos verdes.,SAMES03546,,auto
2021-03-24 17:09:28-03,UFES,SAMES,3541,PreservedSpecimen,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,,,,,,"Giaretta,A.O.; Monteiro,M.M.;Cruz,T.S.;Fanticelle,B.S.",269,,2008,06,14,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Vegetação de restinga sobre cordão arenoso com estrato de 18m localizado atrás da Fazenda Jequitaia. Adjacente a estrada principal da vila.,-39.7322006225586,-18.5932998657227,-397191667.0,-184205556.0,41644,,,,,,,,,,,,Planta de 2m com botões verdes.,SAMES03541,,auto
2021-05-17 16:03:08-03,UNICAMP,UEC,200200,S,Plantae,Magnoliopsida,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,,,,,,"Padgurschi, MCG; Belinello, R",M857,,2009,,,,,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,-45.183333,-23.4,,,990,1045,,,,,,,,,Parcela M - Projeto Biota-FAPESP. Árvore com 7 metros de altura. Frequência da espécie na parcela: n=2,UEC177698,,
2021-05-17 16:03:08-03,UNICAMP,UEC,200717,S,Plantae,Magnoliopsida,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,"Peixoto, AL",2010,,,,"Pereira, LS; Belinello, R; Leal, DAG",N437,,2009,11,02,,,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,-45.183333,-23.4,,,990,1045,,,,,,,,,"Parcela N - Projeto Biota-FAPESP. Árvore com 8 metros de altura, botão floral maduro amarelo, jovem verde, c/ anteras superiores escuras e inferiores claras. Frequência da espécie na parcela: n=13; Mata Atlântica",UEC158113,,
2020-06-29 09:31:13-03,UFRRJ,RBR,45893,S,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,E.J. Lirio,2018,01,29,,D. Hottz,s/n,,2014,08,20,,,Brasil,Rio de Janeiro,Macaé,"Barra do Sana. caule estriado com frestas casca laranja com buracos. Mata pertubada por agricultura, relevo montanhoso e solo argiloso. APA do Sana",-42.21,-22.32,42º12'36''W,22º19'12''S,,,745,745,,,,,,,,,,RBR00045893,,
2020-06-29 09:31:13-03,UFRRJ,RBR,8087,S,Plantae,,,,Monimiaceae,Mollinedia,glabra,,Mollinedia glabra,(Spreng.) Perkins,,,,,,O.J. Pereira,3721,,1992,08,14,,,Brasil,Espírito Santo,Aracruz,'Retiro Aracruz. Área de Aracruz Celulose S. A.',-40.2733001708984,-19.8202991485596,,,37987,,,,,,,,,,,,,RBR00008087,,auto
