MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-10-27 11:22:06-03,PUCPR,HUCP,25369,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Freitas, M.F.",2014,09,22,,E.L. Siqueira; et al.,1188,,2014,09,17,,,Brasil,Parana,Ortigueira,Morro da Pedra Branca,-51.0897,-23.9677,-51.0897,-23.9677,,,1144,1144,,,,,,,,,"Árvore heliófita, ca. 5 m. Frutos imaturos verdes. Solo: Argissolo. Relevo: montanhoso.",HUCP00025369,,
2020-10-27 11:22:06-03,PUCPR,HUCP,25413,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Freitas, M.F.",2016,11,22,,E.L. Siqueira; et al.,1188,,2014,10,17,,,Brasil,Parana,Ortigueira,Morro da Pedra Branca,-51.089722,-23.96778,-51.089722,-23.96778,,,1144,1144,,,,,,,,,"Árvore heliófita, ca. 5 m. Frutos imaturos verdes. Solo: argilosso. Relevo: montanhoso.",HUCP00025413,HUCP00025413,
2019-12-04 15:25:43-03,PUCPR,HUCP,22241,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Felitto, G",,,,,"Felitto, G; Santos, EL; Roher, D",323,,2012,07,25,,,Brasil,Paraná,Boa Ventura de São Roque,,-51.627498626709,-24.8689002990723,0,0,29022,,,,,,,,,,,,,HUCP00017277,HUCP00017277,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,16706,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Selusniaki, M",,,,,"Selusniaki, M; Moledo, R",458,,2005,06,26,,,Brasil,Paraná,Curitiba,"Augusta, Próximo ao Parque Passaúna.",-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00014905,HUCP00014905,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,16707,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Selusniaki, M",,,,,"Selusniaki, M; Moledo, R",459,,2005,06,26,,,Brasil,Paraná,Curitiba,"Augusta, Próximo ao Parque Passaúna.",-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00014654,HUCP00014654,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,18024,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Selusniaki, M",,,,,"Selusniaki, M",1070,,2006,05,,,,Brasil,Paraná,Curitiba,Bosque do Trabalhador,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00015013,HUCP00015013,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,12169,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Freitas, MF",,,,,"Paro, FE",037,,1986,10,23,,,Brasil,Paraná,Londrina,Parque Estadual Mata dos Godoy,-51.1627998352051,-23.3103008270264,0,0,63728,,,,,,,,,,,,,HUCP00014957,HUCP00014957,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,16209,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,,,,,,"Strowbeck, ML",s.n.,,,,,,,Brasil,Paraná,Pontal do Paraná,Rio Boguaçú,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00014666,HUCP00014666,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,19918,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Brotto, M",,,,,"Brotto, M",161,,2008,06,29,,,Brasil,Paraná,Quatro Barras,,-49.0769004821777,-25.3656005859375,0,0,17116,,,,,,,,,,,,,HUCP00014571,HUCP00014571,auto
2019-12-04 15:25:43-03,PUCPR,HUCP,23087,S,Plantae,Eudicotiledonea,,,Primulaceae,Myrsine,umbellata,,Myrsine umbellata,Mart.,"Selusniaki, M",,,,,"Perret, L",s.n.,,2012,01,,,,Brasil,Paraná,Telêmaco Borba,,-50.6156005859375,-24.3239002227783,0,0,35037,,,,,,,,,,,,,HUCP00014575,HUCP00014575,auto
