MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:16-03,PUCPR,HUCP,17532,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Kersten, RA",2008,07,29,,"Wojcik, F",008,,2002,08,23,,,Brasil,Paraná,Contenda,,-49.5346984863281,-25.6756000518799,0,0,22732,,,,,,,,,,,,"Temperatura de mais ou menos 24ºC, tempo seco, altura do substrato mais ou menos 1,5M alt, planta associada com outras pteridófitas.",HUCP00001096,HUCP00001096,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,12788,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Kersten, RA",2006,07,28,,"Rieteu, SM",011,,1982,11,04,,,Brasil,Paraná,Curitiba,Água Verde,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00000524,HUCP00000524,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,12792,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Kersten, RA",2006,07,28,,"Sprada, ER",s.n.,,,,,,,Brasil,Paraná,Curitiba,Ahú,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00000595,HUCP00000595,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,15140,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Kersten, RA",2006,07,28,,"Souza, AR",015,,2000,05,28,,,Brasil,Paraná,Curitiba,"Boqueirão, Quartel.",-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00000592,HUCP00000592,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,9880,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,,,,,,"Johnsson, MCM",005,,1996,05,14,,,Brasil,Paraná,Curitiba,Parolim,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00000578,HUCP00000578_1 HUCP00000578_2 HUCP00000578_3,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,15296,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Weinschutz, HC; Boldrini, LM",2003,05,14,,"Weinschutz, HC",010,,2003,05,12,,,Brasil,Paraná,Curitiba,Seminário,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,Em vaso com outras três espécies.,HUCP00000571,HUCP00000571,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,12080,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Kersten, RA",2008,07,28,,"Arruda, JK",012,,1988,11,14,,,Brasil,Paraná,Curitiba,Seminário,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00000589,HUCP00000589,auto
2019-12-04 15:26:16-03,PUCPR,HUCP,17533,S,Plantae,Monilofita,,,Lomariopsidaceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott.,"Kersten, RA",2006,07,28,,"Pina, JV",018,,2002,10,05,,,Brasil,Paraná,Morretes,Estrada da Graciosa,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,"Temperatura de mais ou menos 20ºC, tempo com neblina, altura do substrato de aproximadamente 80cm.",HUCP00000521,HUCP00000521,auto
2021-03-12 01:35:59-03,UFPI,TEPB,27224,PreservedSpecimen,Plantae,,,,Oleandraceae,Nephrolepis,exaltata,,Nephrolepis exaltata,Schott,,,,,,F.Dias,31,,2010,05,23,,,Brasil,Piauí,Altos,Bairro Centro,-42.4599990844727,-5.03806018829346,,,37760,,,,,,,,,,,,Herbácea de uso ornamental <ll>dwc_commonname:</ll> alfinete de noiva,,,auto
2021-03-13 02:22:03-03,UFPI,TEPB,31551,PreservedSpecimen,Plantae,,,,Oleandraceae,Nephrolepis,exaltata,,Nephrolepis exaltata,(L.) Schott,,,,,,KAREN VELOSO RIBEIRO,,,,,,,,Brasil,Piauí,Amarante,,-42.8546981811523,-6.24110984802246,,,54144,,,,,,,,,,,,Ambiente: Caatinga,,,auto
