MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-10-25 11:39:21-03,IECOS,HBRA,9179,S,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W. R. Anderson,V. S. Silva Jr. (MG),2018,11,01,,A. R. Silva,191,,2014,11,09,,América do Sul,Brasil,Pará,Bragança,"área de retirada de areia nas proximidades da comunidade Atoleiro, aprox. 7,4 km ao noroeste de Bragança",-46.82169444,-1.02483333,-46.82169444,-1.02483333,,,,,,,,exsicata,,,,,Liana. Flores amarelas,HBRA0003953,HBRA0003953,
2021-03-24 17:09:21-03,UFES,SAMES,3083,PreservedSpecimen,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,"Amorim,A.M.A.",2012,02,14,,"Araújo,D.S.D.",10983,,2007,07,02,,,Brasil,Bahia,Caravelas,"Distrito da Barra. Vegetação de restinga arbustiva, Vila de Grauçá.estrada para a Praia de Iemanjá.",-39.2658004760742,-17.7318992614746,,,106553,,,,,,,,,,,,"Escabdebte, heliófilo. Folres amarelas. Frutos verdes-claros.",SAMES03083,,auto
2021-03-24 17:09:22-03,UFES,SAMES,9941,PreservedSpecimen,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",8860,,2019,01,10,,,Brasil,Espírito Santo,Conceição da Barra,,-39.7322006225586,-18.5932998657227,-397363889.0,-186252778.0,41644,,,,,,,,,,,,Flor amarela Habitat: Restinga Holocênica. Formação florestal não inundável Habito: Trepadeira,SAMES09941,,auto
2021-03-24 17:09:21-03,UFES,SAMES,1672,PreservedSpecimen,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,,,,,,"Pinto Junior, H.V.; Covre, C.",237,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores amarelas; abundante.,SAMES01672,,auto
2021-03-24 17:09:22-03,UFES,SAMES,9881,PreservedSpecimen,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",8747,,2018,12,11,,,Brasil,Espírito Santo,São Mateus,Aldeia do Coco.,-39.8588981628418,-18.716100692749,-397488889.0,-187950000.0,56510,,,,,,,,,,,,"Escandente, flor amarela",SAMES09881,,auto
2021-03-24 17:09:22-03,UFES,SAMES,9409,PreservedSpecimen,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",8552,,2018,11,21,,,Brasil,Espírito Santo,São Mateus,Aldeia do Coco.,-39.8588981628418,-18.716100692749,-397569444.0,-187988889.0,56510,,,,,,,,,,,,"Trepadeira. Flor amarela, fruto creme. Habitat: Restinga Holocênica. Formação florestal não inundável. Habito: Trepadeira",SAMES09409,,auto
2021-03-24 17:09:21-03,UFES,SAMES,10176,PreservedSpecimen,Plantae,,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",9306,,2019,09,17,,,Brasil,Espírito Santo,Linhares,Cacimbas. Restinga Holocênica.,-40.0722007751465,-19.3910999298096,-397377777.0,-194794445.0,48094,,,,,,,,,,,,Trepadeira. Fruto seco.,SAMES10176,,auto
2021-05-17 15:59:28-03,UNICAMP,UEC,67344,S,Plantae,Magnoliopsida,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,"Almeida, RF",2013,06,,,"Kim, AC",30080,,1993,11,14,,,Brazil,São Paulo,Ubatuba,Praia do Cedro.,-45.333333,-23.466667,-45.333333,-23.466667,,,,,,,,,,,,,"Flor, Liana. Flores amarelas, beira da estrada. Encosta.",UEC051753,,
2021-05-17 15:59:28-03,UNICAMP,UEC,130017,S,Plantae,Magnoliopsida,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,"Almeida, RF",2013,,,,"Souza, VC; Souza, JP; Scalon, VR; Astorino, A",10400,,1996,01,24,,,Brazil,São Paulo,Avaré,Ca 5km da Cidade em direção a Itaí. Entrada de hotéis Península e Berro d' Água.,-48.964694,-23.185194,-48.964694,-23.185194,,,,,,,,,,,,,"Escandente, frutos imaturos verdes claros.; Cerradão.",UEC099576,UEC099576,
2021-05-17 15:59:28-03,UNICAMP,UEC,150847,S,Plantae,Magnoliopsida,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,"Almeida, RF",2013,06,,,"Silva, SCCC",60,,2003,12,27,,,Brazil,Piauí,Teresina,CCA / UFPI.,-42.780583,-5.045361,-42.780583,-5.045361,,,,,,,,,,,,,"Arbusto, flor rosa, fruto vermelho, folha simples oposta cruzada.; Mata ciliar. Solo arenoso.",UEC069846,,
2021-05-17 15:59:28-03,UNICAMP,UEC,72173,S,Plantae,Magnoliopsida,,,Malpighiaceae,Niedenzuella,acutifolia,,Niedenzuella acutifolia,(Cav.) W.R.Anderson,"Almeida, RF",2013,06,,,"Leitão Filho, HF; Rodrigues, RR; Kim, AC; Fonseca, RCB; Galvão, JC; Arzolla, FARDP",32806,,1995,02,12,,,Brazil,São Paulo,Pariquera-Açu,"E. E. I. A . C,",-47.9,-24.608333,-47.9,-24.608333,,,,,,,,,,,,,"Fruto, Borda de mata. Liana. Frutos maduros verdes.",UEC051750,,
