MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:38-03,PUCPR,HUCP,24465,S,Plantae,Monocotiledonea,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Santos, TF",,,,,"Santos, TF; Kersten, RA",073,,2015,03,23,,,Brasil,Paraná,Morretes,,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,,HUCP00003423,HUCP00003423,auto
2019-12-04 15:26:38-03,PUCPR,HUCP,24225,S,Plantae,Monocotiledonea,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Santos, TF",,,,,"Santos, TF",085,,2015,05,01,,,Brasil,Paraná,Paranaguá,,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00003430,HUCP00003430,auto
2019-12-04 15:26:38-03,PUCPR,HUCP,21005,S,Plantae,Monocotiledonea,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Lemos, JV",,,,,"Lemos, JV",070,,2008,03,23,,,Brasil,Paraná,Pontal do Paraná,Rio Guaraguaçu,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00003383,HUCP00003383,auto
2019-12-04 15:26:38-03,PUCPR,HUCP,21199,S,Plantae,Monocotiledonea,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Lemos, JV",,,,,"Lemos, JV",054,,2008,12,10,,,Brasil,Paraná,Pontal do Paraná,Rio Guaraguaçu,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00003335,HUCP00003335,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,115547,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Endres Jr., D.",2012,04,14,,"Rocha, L.D.",30,,2012,04,14,,,Brasil,RS,Caraá,nascente do Rio dos Sinos,-50.291056,-29.706944,50º17'27.8W,29º42'25.0S,,,,,,,,,,,,,Habitat: epífito,PACA115547,,
2019-08-27 13:26:38-03,IAP,PACA-AGP,118247,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Gaio, J.",2015,09,17,,"Gonzatti, F.",1862,,2015,04,21,,,Brasil,RS,Osório,fazenda do arroio,-50.212778,-29.973611,50º12'46w,29º58'25s,,,3,3,,,,,,,,,epifita rizomatosa com flores alvas&nf;hucs 44277 Habitat: próximo a lagoa da emboaba,PACA118247,,
2019-08-27 13:26:38-03,IAP,PACA-AGP,47437,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Forster, W.",2008,,,,G. Pabst,566,,1950,03,06,,,Brasil,RS,Osório,Faz. do Arroio,-50.2696990966797,-29.8866996765137,,,27350,,,,,,,,,,,,"Habitat: In silva campestri, epiphytica Fenofase: flor",PACA047437,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,26862,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,G. Pabst,1954,09,04,,"Emrich, K.",,,1938,05,12,,,Brasil,RS,Porto Alegre,Pedra Redonda,-51.2299995422363,-30.0331001281738,,,29946,,,,,,,,,,,,"Revisado por W. Forster em 2008. Habitat: In silvula campestri, epiphytica Fenofase: flor",PACA026862,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,26894,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,G. Pabst,1954,09,04,,P. Buck SJ,,,1944,,,,,Brasil,RS,Porto Alegre,Vila Manresa,-51.2299995422363,-30.0331001281738,,,29946,,,,,,,,,,,,"Revisado por W. Forster em 2008 Habitat: In silva campestri, epiphytica Fenofase: flor",PACA026894,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,30105,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,G. Pabst,1954,09,04,,"Rambo, B.",,,1945,,,,,Brasil,RS,Porto Alegre,Vila Manresa,-51.2299995422363,-30.0331001281738,,,29946,,,,,,,,,,,,"Revisado por W. Forster em 2008. Habitat: In silva campestri, epiphytica Fenofase: flor",PACA030105,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,2706,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,G Pabst,1954,09,04,,C. Orth SJ,,,1936,02,27,,,Brasil,RS,São Leopoldo,Portão,-51.1472015380859,-29.7602996826172,,,10287,,,,,,,,,,,,"Revisado por W. Foster em 2008. Habitat: In silva campestri, epiphytica Fenofase: flor",PACA002706,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,93585,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,K. Potter,,,,,K. Potter,,,,,,,,Brasil,RS,Viamão,Morro do Coco,-51.0233001708984,-30.0811004638672,,,41667,,,,,,,,,,,,HEDU 786&nf;OAS 9667,PACA093585,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,31973,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,G. Pabst,1954,09,04,,"Reitz, R.",1705,,1945,05,17,,,Brasil,SC,Araranguá,Sombrio,-49.4858016967773,-28.934700012207,,,19353,,,,,,,,,,,,"Habitat: In silvula, epiphytica Fenofase: flor",PACA031973,,auto
2019-08-27 13:26:38-03,IAP,PACA-AGP,66106,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,G. Pabst,1954,,,,Reitz & Klein,1874,,1954,07,02,,,Brasil,SC,Itajaí,Morro da Fazenda,-48.6618995666504,-26.9078006744385,,,27253,,,,,,,,,,,,HBR 7981&nf;Revisado por W. Forster em 2008. Habitat: Epífita da mata,PACA066106,,auto
2021-03-24 17:09:42-03,UFES,SAMES,6246,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",284,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Flores amarelas. Habito: Erva,SAMES06246,,auto
2021-05-17 15:38:38-03,UNICAMP,UEC,206513,S,Plantae,Liliopsida,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Forster, W",2018,06,,,"Nunes, CEP",2014/56,,2014,05,31,,,Brazil,São Paulo,São Luiz do Paraitinga,"Trilha da Pirapitinga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar",-45.133333,-23.316667,-45.133333,-23.316667,,,80,1200,,,,,,,,,Erva epífita.; Floresta Ombrófila Densa Sub-Montana.,UEC128317,UEC128317,
2021-05-17 15:38:38-03,UNICAMP,UEC,133386,S,Plantae,Liliopsida,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Forster, W",2008,09,,,"Corrêa, AM; Hoch, AM; Prado, J; Costa, CB; Proença, SL; Silva, E; Galante, O",64,,1996,05,22,,,Brazil,São Paulo,Iporanga,Fazenda Intervales. Caminho para Barra Grande. Área muito alterada com bastante bambu e eucalipto (área particular). Fazenda Santa Rita.,-48.5900001525879,-24.5799999237061,0,0,38740,,,,,,,,,,,,Epífita flores amarelas sobre tronco caído sobre barranco ca. 10m.,UEC026634,UEC026634,auto
2021-06-30 13:23:05-03,MBM,MBM,397438,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Ariati, V.",,,,,"Roher, D.; Daniel, V.; Daniel, V.",s.n.,,2013,05,13,,Southern America,Brazil,Paraná,Guaratuba,"APA de Guaratuba, Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",-48.954967,-25.865953,-48.954967,-25.865953,,,,,,,,,,,,,Ecótono entre Floresta Ombrófila Mista e Floresta Ombrófila Densa. Área próxima ao Morro dos Perdidos/Guaratuba.,MBM397438,,
2021-06-30 13:23:05-03,MBM,MBM,406428,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Marinero, F.",2016,10,04,,"Marinero, F.; Lozano, E.D.; Bonaldi, R.A.; Machnicki, M.; Lozano, E.D.; Bonaldi, R.A.; Machnicki, M.",446,,2015,09,19,,Southern America,Brazil,Paraná,Paranaguá,Tinguçú,-48.530556,-25.410556,-48.530556,-25.410556,,,100,100,,,,,,,,,Epífita.; Floresta Ombrófila Densa Submontana.,MBM406428,,
2021-06-30 13:23:05-03,MBM,MBM,413809,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Antoniuk-Bonato, R.G.",2018,07,16,,"Brotto, M.L.; Antoniuk-Bonato, R.G.; Antoniuk-Bonato, R.G.",2641,,2018,06,21,,Southern America,Brazil,Paraná,Morretes,"Parque Estadual Pico do Marumbi, trilha Frontal",-48.921944,-25.451389,-48.921944,-25.451389,,,1170,1170,,,,,,,,,Erva epífita; flores amareladas/beges.; Floresta Ombrófila Densa Altomontana.,MBM413809,MBM413809,
2021-06-30 13:23:05-03,MBM,MBM,423574,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Marinero, F.; Barboza, E.",2019,10,01,,"Marinero, F.; Brotto, M.L.; Mattos, F.B.; Brotto, M.L.; Mattos, F.B.",1266,,2019,06,28,,Southern America,Brazil,Paraná,Morretes,"Parque Estadual do Pau Oco, arredores",-48.918611,-25.579444,-48.918611,-25.579444,,,800,800,,,,,,,,,Epífita; flores amarelas.; Floresta Ombrófila Densa Montana,MBM423574,,
2021-06-30 13:23:05-03,MBM,MBM,6235,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Pabst, G.",,,,,"Hatschbach, G.",16466,,1967,05,21,,Southern America,Brazil,Paraná,Campina Grande do Sul,Caminho ao Cerro Verde,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,MBM006235,,auto
2021-06-30 13:23:05-03,MBM,MBM,397436,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,,,,,,"Ariati, V.",826,,2013,06,07,,Southern America,Brazil,Paraná,Curitiba,Resgate de flora LT 230 kv Joinville Norte - Curitiba C2,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,"Epífita. Flore amarelo, centro do labelo cor vinho.; Cultivada até florir.",MBM397436,MBM397436,auto
2021-06-30 13:23:05-03,MBM,MBM,49998,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Hoehne, F.C.",,,,,"Hatschbach, G.",2249,,1951,05,01,,Southern America,Brazil,Paraná,Paranaguá,Rio Cachoeirinha,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,MBM049998,,auto
2021-06-30 13:23:05-03,MBM,MBM,49999,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Pabst, G.",,,,,"Hatschbach, G.",1406,,1949,05,01,,Southern America,Brazil,Paraná,Piraquara,Rio do Corvo,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,,MBM049999,,auto
2021-06-30 13:23:05-03,MBM,MBM,6182,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Pabst, G.",,,,,"Koczicki, C.",57,,1968,02,21,,Southern America,Brazil,Paraná,Quatro Barras,Rio Taquari,-49.0769004821777,-25.3656005859375,0,0,17116,,,,,,,,,,,,,MBM006182,,auto
2021-06-30 13:23:05-03,MBM,MBM,113241,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Waechter, J.L.",,,,,"Hagelund, K.",11212,,1977,04,19,,Southern America,Brazil,Rio Grande do Sul,Torres,Colônia São Pedro,-49.7268981933594,-29.3353004455566,0,0,20837,,,,,,,,,,,,,MBM113241,,auto
2021-06-30 13:23:05-03,MBM,MBM,390792,S,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Ariati, V.",2014,05,26,,"Ariati, V.",981,,2014,05,26,,Southern America,Brazil,Santa Catarina,Joinville,,-48.8456001281738,-26.3043994903564,0,0,37150,,,,,,,,,,,,"Epífita, flor amarela com mancha vinho no interior do labelo. Cultivada até florir.; Floresta Ombrófila Densa.",MBM390792,,auto
2021-02-11 17:20:58-03,UFPR,UPCB,85880,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,aff. crassifolia,,Octomeria aff. crassifolia,Lindl.,"Smidt, E.C.",2012,09,01,,"Caglioni, E. et al.",245,,2012,05,26,,,Brasil,Santa Catarina,Blumenau,Floresta Ombrófila Densa,-49.078,-27.059,-49.078,-27.059,,,320,320,,,,,,,,,"Epífito em floresta secundária, com flores de pétalas memebranáceas, amarelas e labelo com pontos marrom. Parque Nacional da Serra do Itajaí..",,,
2021-02-11 17:20:58-03,UFPR,UPCB,58894,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Brotto, M.L.",2008,05,08,,"Brotto, M.L. | Marineiro, F.",131,,2008,03,08,,,Brasil,Paraná,Morretes,Serra da Igreja.,-48.869444,-25.597778,-48.869444,-25.597778,,,900,900,,,,,,,,,"Floresta Ombrófila Densa Montana. Epífita, flores branco-amareladas.",UPCB0037157,UPCB0037157,
2021-02-11 17:20:58-03,UFPR,UPCB,73266,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Santos, T.F.",2019,08,28,,"Schmitt, J.L.",527,,2009,11,02,,,Brasil,Santa Catarina,Benedito Novo,Fazanda Campo do Zinco.,-49.497778,-26.909722,-49.497778,-26.909722,,,788,788,,,,,,,,,Epífita. Florística IFFSC e689a (acima de 4m). Floresta ombrófila densa/mista..,UPCB0037137,UPCB0037137,
2021-02-11 17:20:58-03,UFPR,UPCB,77851,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Smidt, E.C.",2012,09,01,,"Caglioni, E.",269,,2012,08,09,,,Brasil,Santa Catarina,Blumenau,Parque Nacional da Serra do Itajaí. Floresta Ombrófila Densa. Alt.: 320m.,-49.078244,-27.059083,-49.078244,-27.059083,,,,,,,,,,,,,"Epífito em floresta secundária, florescimento em cultivo, flores membranáceas de coloração creme..",UPCB0037158,UPCB0037158,
2021-02-11 17:20:58-03,UFPR,UPCB,86741,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Caglioni, E.",2014,10,25,,"Caglioni, E. | Junckes, A.R.",545,,2014,10,25,,,Brasil,Santa Catarina,Ilhota,Parque Botânico Morro do Baú,-48.9308,-26.799808,-48.93080,-26.799808,,,810,810,,,,,,,,,Epífito com flores membranáceas amarelas e labelo com detalhes vináceos. Coletado em subosque de floresta. Floresta Ombrófila Densa..,,,
2021-02-11 17:20:58-03,UFPR,UPCB,89652,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Caglioni, E.",2015,11,12,,"Caglioni, E. | Lazzaris, J.",404,,2014,06,24,,,Brasil,Santa Catarina,Ilhota,Parque Botânico Morro do Baú,-48.933889,-26.803333,-48.933889,-26.803333,,,540,540,,,,,,,,,"Floresta Ombrófila Densa. Epífito em forófito caído, em floresta em estágio avançado de regeneração; Flores membranáceas de coloração creme..",UPCB0029530,UPCB0029530,
2021-02-11 17:20:58-03,UFPR,UPCB,89679,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Caglioni, E.",2015,04,16,,"Caglioni, E. | Junckes, A.R.",527,,2015,04,16,,,Brasil,Santa Catarina,Ilhota,Parque Botânico Morro do Baú,-48.930556,-26.799722,-48.930556,-26.799722,,,810,810,,,,,,,,,Floresta Ombrófila Densa. Epífito com flores membranáceas amarelas e labelo com detalhes vináceos. Coletado em subosque de floresta..,UPCB0029557,UPCB0029557,
2021-02-11 17:20:58-03,UFPR,UPCB,89694,PreservedSpecimen,Plantae,,,,Orchidaceae,Octomeria,crassifolia,,Octomeria crassifolia,Lindl.,"Caglioni, E.",2016,03,15,,"Caglioni, E. | Junckes, A.R.",595,,2016,03,15,,,Brasil,Santa Catarina,Ilhota,Parque Botânico Morro do Baú,-48.930556,-26.799722,-48.930556,-26.799722,,,810,810,,,,,,,,,"Floresta Ombrófila Densa. Epífito coletado em subosque de floresta, com flores membranáceas de coloração amarelo claro, com detalhe vináceo no labelo..",UPCB0029639,UPCB0029639,
