MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-01-06 11:42:39-03,UFPI-MRV,HDELTA,1243,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,Lindl.,,,,,,"Silva, M. F. S.",723,,2014,08,25,,,Brasil,Piauí,Caxingó,Fazenda do Prentes,-41.742306,-3.359028,"41°44'32,30W","03°21'32,50S",,,,,,,,,,,,,(Projeto Phytobios),HDELTA001243,,
2021-01-06 11:42:39-03,UFPI-MRV,HDELTA,4106,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,Lindl.,"Andrade, I.M.",2012,03,26,,"Andrade, I. M.; Santos, A.S.; Melo, L.M.B.; Silva, M.F.S.; Nascimento, M.G.P..",4279,,2012,03,26,,,Brasil,Ceará,Pacujá,,-40.6974983215332,-3.98805999755859,,,6701,,,,,,,,,,,,,HDELTA004106,,auto
2020-02-08 08:46:37-03,NBC,NL-BOTANY,U.1458918,PreservedSpecimen,Plantae,,Magnoliopsidae,Asparagales,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,(Lindl.) Lindl.,,,,,,Harley RM; et al.,,,1974,03,21,,Southern America,Brazil,,,"Estado de Bahia. Coastal Zone. Fonte dos Protomartires do Brasil, Porto Seguro. Coastal rain forest with small river and clearings with disturbed ground.",-39.083333,-16.433333,-39.083333,-16.433333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458918 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1458918,NL-U1458918,
2021-04-26 11:56:21-03,UFPI,TEPB,13570,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,L.,A. P. Fontana,2010,09,20,,"BARROS, R.",910,,2000,08,25,,,Brasil,Piauí,Piracuruca,"PARNA Sete Cidades, próximo à Piscina do Bacuri, à sombra das Mangueiras",-41.710833,-4.100833,41°42'39W,04°06'03S,,,,,,,,,,,,,"Erva cerca de 3cm, muito frequente, solo arenoso, folhas crassas. Ambiente: Cerrado típico",,,
2021-03-12 01:36:02-03,UFPI,TEPB,27317,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,Lindl.,"Nascimento-Júnior, J. E.",2007,12,18,,"Lemos, I. C.",35,,2006,07,22,,,Brasil,Paraíba,Conde,Praia Jacarapé,-34.9075012207031,-7.25971984863281,,,17858,,,,,,,,,,,,Erva. Flores alvas e internamente lilases Ambiente: Restinga,,,auto
2021-03-24 17:09:42-03,UFES,SAMES,1703,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,(Lindl.) Lindl.,,,,,,"Pinto Junior, H.V.; Luber, J.",231,,2016,03,17,,,Brasil,Espírito Santo,Águia Branca,Córrego Jabuticaba. Propriedade de Rosângela Fausti.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando interior de mata de encosta; folhas verde maculatas; flor com pétalas rosa; terrestre.,SAMES01703,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4445,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,(Lindl.) Lindl.,"Giaretta,A.",2011,02,04,,"Coelho,R.; Giaretta,A.O.;Monteiro,M.M.;Lobão,A.Q.",12,,2009,03,28,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.,-39.7322006225586,-18.5932998657227,,,41644,,,,,,,,,,,,"Haste verde, folhas rajadas (verde claro e verde escuro), lisas, flor levemente rosa, frutos imaturos verdes. Terrestre. Habito: Erva",SAMES04445,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4444,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,(Lindl.) Lindl.,,,,,,"Monteiro,M.M.; Giaretta,A.O.;Cruz,T.S.;Fanticelle,B.S.",16,,2008,06,14,,,Brasil,Espírito Santo,Conceição da Barra,"Itaúnas. Mata seca de restinga sobre cordão arenoso com estrato de 18m localizado atrás da fazenda Jequitaia, de propriedade da mesma. Adjacente à entrada principal da Vila de Itaúnas.",-39.7322006225586,-18.5932998657227,-397191667.0,-184205556.0,41644,,,,,,,,,,,,Frutos verdes. Habito: Herbácea terrestre,SAMES04444,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4447,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,(Lindl.) Lindl.,,,,,,"Giaretta,A.O.; Martins,R.F.A.;Araújo-Filho,P.B.",136,,2007,10,06,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Vegetação de restinga não inundável localizada à beira da estrada principal de Itaúnas. Mata sobre proteção do PEI.,-39.7322006225586,-18.5932998657227,,,41644,,,,,,,,,,,,Frutos verdes.,SAMES04447,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4446,PreservedSpecimen,Plantae,,,,Orchidaceae,Oeceoclades,maculata,,Oeceoclades maculata,(Lindl.) Lindl.,,,,,,"Monteiro,M.M.; Giaretta,A.O.;Assunção,M.;Pascoalini,S.",220,,2010,04,25,,,Brasil,Espírito Santo,São Mateus,"Guriri. Mata seca de restinga, localizado próximo ao projeto tamar, formação arbórea de 10m.",-39.8588981628418,-18.716100692749,-397597222.0,-187438889.0,56510,,,,,,,,,,,,Flores creme. Habito: Erva terrestre,SAMES04446,,auto
