MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:47-03,UFES,SAMES,8183,PreservedSpecimen,Plantae,,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,"PintoJunior,H.V.",2019,01,15,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",361,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, inflorecência branca, sol, abundante.",SAMES08183,,auto
2021-03-24 17:08:47-03,UFES,SAMES,943,PreservedSpecimen,Plantae,,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,R.C.Forzza,2019,09,03,,"Menezes,L.F.T.; Fanticelle,B.S.;Coelho,R.;Scheidegger,A.F.A.",2129,,,,,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Topo da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Planta terrestre desenvolvendo-se em bosque, no topo de pedra.",SAMES00943,,auto
2021-03-24 17:08:47-03,UFES,SAMES,9603,PreservedSpecimen,Plantae,,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,,,,,,"Cavalcanti, D.; Nepomuceno, A. & Pena, T.",925,,2019,10,02,,,Brasil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental (APA) da Pedra do Elefante, Pedra que fica atrás da Pedra do Elefante, Ponto mais alto da Pedra, Indivíduos encontrados na sombra e no sol.",-40.4006004333496,-18.710599899292,-404625000.0,-187777778.0,42400,,,,,,,,,,,,"Erva terrícola (solo raso sobre afloramento rochoso), folhas verdes e pétalas alvas. Habito: Erva",SAMES09603,,auto
2021-03-05 16:09:36-03,MN,R-TIPOS,32448a,PreservedSpecimen,Plantae,,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B. Sm.,"Louzada, R.B.",2010,08,,Isotypus,"Foster, M.B. ; Foster, R.",288,,1939,07,27,,,Brasil,Espírito Santo,Santa Teresa,,-40.6002998352051,-19.9356002807617,,,23813,,2550,2550,,,,,,,,,,R000032448a,R000032448a_001,auto
2021-03-05 16:09:36-03,MN,R-TIPOS,32448,PreservedSpecimen,Plantae,,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B. Sm.,"Louzada, R.B.",2010,08,,Isotypus,"Foster, M.B. ; Foster, R.",288,,1939,07,27,,,Brasil,Espírito Santo,Santa Teresa,,-40.6002998352051,-19.9356002807617,,,23813,,2550,2550,,,,,,,,,,R000032448,R000032448_001 R000032448_002,auto
2021-06-13 16:41:00-03,NY,NYBG,376855,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,L. B. Smith,,,,,R. P. Belém,3832,,1968,07,09,,South America,Brazil,Espírito Santo,Ibiraçu,Margem da Rodovia Colatina-Vitória. 45 km leste de Colatina,-40.3694,-19.8319,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654761' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376855,NY00376855_01,
2021-06-13 16:41:00-03,NY,NYBG,376856,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,L. B. Smith,,,,,R. P. Belém,3832,,1968,07,09,,South America,Brazil,Espírito Santo,Ibiraçu,Margem da Rodovia Colatina-Vitória. 45 km leste de Colatina,-40.3694,-19.8319,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654762' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376856,NY00376856_01,
2021-06-13 16:41:00-03,NY,NYBG,376857,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,L. B. Smith,,,,,S. A. Mori,12185,,1979,07,13,,South America,Brazil,Bahia,Jequié,"BR 116, a 15 km ao N de Jequié",-40.0833,-13.8578,,,,,600,600,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654763' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376857,NY00376857_01,
2021-03-30 12:51:42-03,EAO,IAN,106672,PreservedSpecimen,Plantae,Monocotiledônea,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,"Smith, LB",1965,06,,,"Magalhães, MG",17402,,1958,08,,,Southern America,Brasil,Minas Gerais,Teófilo Otoni,caatinga em disposição (afloramento). Local: Pedro Vessiani.,-41.505298614502,-17.8575000762939,0,0,62594,,,,,,,,,,,,Herba no humus depositado na rocha. Em 3 grupos. Flor alva.,IAN106672,,auto
2021-03-30 12:51:42-03,EAO,IAN,106672,PreservedSpecimen,Plantae,Monocotiledônea,,,Bromeliaceae,Orthophytum,foliosum,,Orthophytum foliosum,L.B.Sm.,"Smith, LB",1965,06,,,"Magalhães, MG",17402,,1958,08,,,Southern America,Brasil,Minas Gerais,Teófilo Otoni,caatinga em disposição (afloramento). Local: Pedro Vessiani.,-41.505298614502,-17.8575000762939,0,0,62594,,,,,,,,,,,,Herba no humus depositado na rocha. Em 3 grupos. Flor alva.,IAN106672,,auto
