MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:13-03,UFES,SAMES,1223,PreservedSpecimen,Plantae,,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,(Ker Gawl.) Benth.,,,,,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.",2182,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Arbusto de 1,5 m de altura com flores verdes; sobre afloramento granítico.",SAMES01223,,auto
2021-03-24 17:09:13-03,UFES,SAMES,6251,PreservedSpecimen,Plantae,,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,(Ker Gawl.) Benth.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",293,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Trilha para o mirante.,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Flores verdes com máculas. Habitat: Afloramento rochoso Habito: Herbácea,SAMES06251,,auto
2021-05-17 15:57:04-03,UNICAMP,UEC,197823,S,Plantae,Magnoliopsida,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,Benth. & Hook.f.,,2020,04,,,"Monge, M",1331,,2012,09,25,,,Brazil,Espírito Santo,Santa Teresa,"Brazil, Espírito Santo, Santa Teresa, Pedra do Rúdio. São João de Petrópolis. Sítio do Sr. Joãozinho.",-40.602778,-19.955556,-40.602778,-19.955556,,,,,,,,,,,,,"Arbusto, 2 m de altura , botões florais verdes com máculas negras.; Afloramento rochoso, moita de vegetação.",UEC154668,UEC154668,
2021-05-17 15:57:04-03,UNICAMP,UEC,113858,S,Plantae,Magnoliopsida,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,Benth. & Hook.f.,,,,,,"San Martin-Gajardo, I",012,,2000,07,14,,,Brazil,Espírito Santo,Santa Teresa,Coletado na beira da estrada para o 25 de Julho.,-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,"Arbusto rupícola (1,5 a 2m de altura).&nf;Flores verdes com pintas marrom violáceo na parte externa da corola.&nf;Abertura dos botões crepuscular.; Rupícola",UEC076666,UEC076666,auto
2021-05-17 15:57:04-03,UNICAMP,UEC,113857,S,Plantae,Magnoliopsida,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,Benth. & Hook.f.,,,,,,"San Martin-Gajardo, I",013,,2000,07,17,,,Brazil,Espírito Santo,Santa Teresa,Coletado no Museu de Biologia Mello Leitão.,-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,"Arbusto rupícola (1,5 a 3m de altura).&nf;Flores verdes com pintas marrom violáceo na parte externa da corola.&nf;Abertura dos botões no crepúsculo.; Rupícola",UEC076663,UEC076663,auto
2021-05-17 15:57:04-03,UNICAMP,UEC,29337,S,Plantae,Magnoliopsida,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,Benth. & Hook.f.,"Chautems, A",1990,,,,"Sazima, M",14056,,1982,07,26,,,Brazil,Espírito Santo,Vitória,Campus da UFES,-40.3377990722656,-20.3194007873535,0,0,15291,,,,,,,,,,,,"flor, Arbusto com até 2 m de altura. Flores abrem ao anoitecer (18:30 h), exalam odor ligeiramente desagradável. Cor esverdeada. Em beira de mata, sobre pedras.",UEC135199,UEC135199,auto
2021-06-30 13:15:56-03,MBM,MBM,421155,S,Plantae,,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,(Ker Gawl.) Benth.,"Mazziero, F.F.F.",2019,02,01,,"Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.",4223,,2019,01,28,,Southern America,Brazil,Minas Gerais,Aimorés,,-40.971944,-19.501667,-40.971944,-19.501667,,,69,69,,,,,,,,,"Arbusto 1,5 m de altura. Flores com pétalas esverdeadas com máculas vináceas.; Vegetação secundária média/avançada",MBM421155,,
2021-06-30 13:15:56-03,MBM,MBM,422508,S,Plantae,,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,(Ker Gawl.) Benth.,"Barboza, E.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3324,,2019,03,28,,Southern America,Brazil,Espírito Santo,Cachoeiro de Itapemirim,"Pedra do Cabrito, final da trilha",-41.321944,-20.621389,-41.321944,-20.621389,,,995,995,,,,,,,,,"Arbusto com 1,2 m de altura; corola vermelha.; Refúgio Vegetacional Altomontano (campo de altitude).",MBM422508,,
2021-06-30 13:15:56-03,MBM,MBM,236338,S,Plantae,,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,(Ker Gawl.) Benth.,"Chautems, A.",,,,,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.",69163,,,,,,Southern America,Brazil,Espírito Santo,Castelo,Forno Grande,-41.184700012207,-20.6035995483398,0,0,23588,,,,,,,,,,,,,MBM236338,MBM236338,auto
2021-06-30 13:15:56-03,MBM,MBM,121078,S,Plantae,,,,Gesneriaceae,Paliavana,prasinata,,Paliavana prasinata,(Ker Gawl.) Benth.,"Chautems, A.",,,,,"Hatschbach, G.; Cervi, A.C.; Cervi, A.C.",51354,,,,,,Southern America,Brazil,Espírito Santo,Domingos Martins,"Rod. BR-262, Bica de Água",-40.6591987609863,-20.3633003234863,0,0,48150,,,,,,,,,,,,,MBM121078,MBM121078,auto
