MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480453,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Harley RM; et al.,,,1980,05,25,,Southern America,Brazil,,,"Brazil: Estado Da Bahia, Serras dos Lençois, Serra da Larguinha, ca. 2 km N.E. of Caeté-Açu (Capao Grande), west facing ridge with sandstone outcrops and summit plateau.",-41.483333,-12.6,-41.483333,-12.6,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480453,NL-U1480453,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480456,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Harley RM; et al.,,,1980,05,22,,Southern America,Brazil,,,"Brazil: Estado Da Bahia, Serras dos Lençois, Serra do Brejao ca. 14 km N.W. of Lençois, Município of Lençois.",-41.45,-12.45,-41.45,-12.45,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480456 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480456,NL-U1480456,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480925,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Hahn WJ; Grifo FT,,,1989,01,04,,Southern America,Venezuela,Táchira,,Venezuela. Estado Táchira Region: Paramo Zumbador.,-72.083333,7.966667,-72.083333,7.966667,,,,,,,,,,,,U 0120781,Open Paramo vegetation and cloud forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480925,NL-U1480925,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480926,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Solomon JC,,,1986,03,14,,Southern America,Bolivia,,,"Dpto. La Paz: Prov. Sud Yungas, 19.8 km E of pass between Mururata and Illimani.",-67.75,-16.627778,-67.75,-16.627778,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480926 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480926,NL-U1480926,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480931,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Solomon JC,,,1983,01,24,,Southern America,Bolivia,,,"Dpto. La Paz, Prov. Nor Yungas, 4.5 km below Yolosa, then 14 km W on road up Río Huarinilla, along old, abandoned road to Hacienda Sandillan; on south side of river.",-67.833333,-16.2,-67.833333,-16.2,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480931,NL-U1480931,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480932,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Solomon JC,,,1988,01,12,,Southern America,Bolivia,,,"Dpto. La Paz: Prov. Sud Yungas, 5.2 km al SE de Lambate.",-67.683333,-16.616667,-67.683333,-16.616667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480932,NL-U1480932,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480933,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,Callejas Posada R,,,,,Betancur JC; Roldán FJ; Castaño I,,,1988,10,15,,Southern America,Colombia,Antioquia,,,-75.685833,5.538889,-75.685833,5.538889,,,,,,,,,,,,U 0225731,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480933,NL-U1480933,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480937,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Solomon JC,,,1983,03,05,,Southern America,Bolivia,,,"Dpto. La Paz, Prov. Murillo, 20.3 km N of (below) dam at Lago Zongo.",-68.133333,-16.166667,-68.133333,-16.166667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480937,NL-U1480937,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480938,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Luteyn JL; Cotton E,,,1985,02,13,,Southern America,Peru,,,"Peru, Amazonas: 25 km SW of Leimebamba along road towards Balsas.",-77.833333,-6.833333,-77.833333,-6.833333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480938,NL-U1480938,
2020-02-08 10:10:02-03,NBC,NL-BOTANY,U.1480940,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,galioides,,Peperomia galioides,Kunth,,,,,,Holst BK,,,1987,03,27,,Southern America,Venezuela,,,"Edo. Bolivar: Dist. Piar, Aparaman-tepui, westernmost of 4 tepuis in the Aparaman range.",-62.116667,5.9,-62.116667,5.9,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1480940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1480940,NL-U1480940,
