MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:46-03,UFES,SAMES,1663,PreservedSpecimen,Plantae,,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",240,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas verdes suculentas; inflorescência marrom claro.,SAMES01663,SAMES01663,auto
2021-03-24 17:09:46-03,UFES,SAMES,1211,PreservedSpecimen,Plantae,,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.",165,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes, parte abaxial verde claro; inflorescência verde claro; sol pleno.",SAMES01211,SAMES01211,auto
2021-05-17 16:05:45-03,UNICAMP,UEC,59227,S,Plantae,Magnoliopsida,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,"Carvalho-Silva, M",2006,10,21,,"Meirelles, ST",23209,,1989,06,12,,,Brazil,Rio de Janeiro,Rio de Janeiro,"Morro do Rangel, Recreio dos Bandeirantes.",-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,Sobre rocha de gnaisse,UEC149489,UEC149489,auto
2021-06-30 13:23:48-03,MBM,MBM,131809,S,Plantae,,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw) Hooker,"Ribas, O.S.",2010,04,,,"Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.",53340,,1989,09,14,,Southern America,Brazil,Minas Gerais,Medina,"Riod. BR 116, próx. a Medina",-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,"Base dos paredões, local sombrio. Junto a Allamanda, Tibouchina, Stillingia, etc.",MBM131809,MBM131809,auto
2021-06-30 13:23:48-03,MBM,MBM,82692,S,Plantae,,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw) Hooker,"Callejas, R.",1983,12,08,,"Hatschbach, G.",46328,,,,,,Southern America,Brazil,Minas Gerais,Medina,Rod. BR-116,-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,Paredões rochoso,MBM082692,MBM082692,auto
2020-10-01 14:25:37-03,JBB,HEPH,25885,S,Plantae,Magnoliid,,Piperales,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,"Guimarães, EF",2006,,,,"Saavedra, MM",320,,2006,04,29,,Southern America,Brasil,Rio de Janeiro,Niterói,Trilha para o Pico do Mourão,-43.024167,-22.966389,-43.024167,-22.966389,,,250,250,,,,,,,,,,,,
2021-03-03 13:56:26-03,UFF,NIT,NIT10419,PreservedSpecimen,Plantae,,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,E.F. Guimarães,2019,,,,T. Fernandes,278,,2018,07,09,,,Brasil,Rio de Janeiro,Niterói,Parque Estadual da Serra da Tiririca. Trilha para Pedra do Elefante/Alto Mourão.,-43.1035995483398,-22.88330078125,,,14785,,,,,,,,,,,,"Erva terrestre, folhas crassas e pilosas. Espiga com frutos verdes. Tricomas esbranquiçados.",NIT00001653,,auto
2021-05-13 11:01:16-03,Cenargen,CEN,51592,PreservedSpecimen,Plantae,,,,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,T. G.Yuncker,1960,,,,Oswaldo Handro,s/n,,1942,01,00,,,Brasil,SP,SAO PAULO,Cultivada no Jardim Botânico de São Paulo,-46.6300010681152,-23.5400009155273,,,53584,,,,,,,Exsicatas,1,,,,Doação Insitituto de Botânica de São Paulo - SP,CEN00051592,CEN00051592,auto
2021-06-13 16:41:00-03,NY,NYBG,559352,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,A. C. Brade,,,,,A. P. Duarte,250,,1946,09,05,,South America,Brazil,Rio de Janeiro,Rio de Janeiro,Morro dos Cabritos,-43.197333,-22.970143,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686526' target='other'> <mi>dwc_moreinfo</mi></a>,NY00559352,NY00559352_01,
2021-06-13 16:41:00-03,NY,NYBG,00956944,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,incana,,Peperomia incana,(Haw.) Hook.,R. Callejas Posada,,,,,G. G. Hatschbach,46328,,1983,05,13,,South America,Brazil,Minas Gerais,Medina,Rod. BR-116,-41.4767,-16.2225,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083833' target='other'> <mi>dwc_moreinfo</mi></a>,NY00956944,NY00956944_01,
