MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:07-03,PUCPR,HUCP,6785,S,Plantae,Magnoliidae,,,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth.,"Acra, LA",,,,,"Helenice, HM",006,,1987,11,02,,,Brasil,Paraná,Colombo,,-49.2242012023926,-25.2917003631592,0,0,13536,,,,,,,,,,,,,HUCP00016530,HUCP00016530,auto
2019-12-04 15:26:07-03,PUCPR,HUCP,3657,S,Plantae,Magnoliidae,,,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth.,Machado-Silva,2017,10,16,,"Souza, WS; Britez, RM",012/708,,,,,,,Brasil,Paraná,Paranaguá,"Ilha do Mel, Reserva Ecológica 1.",-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00016415,HUCP00016415,auto
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481480,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Hoff M,,,1989,11,20,,Southern America,French Guiana,Bassin du Sinnamary,,,-52.9,4.45,-52.9,4.45,,,,,,,,,,,,U 0098452,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481480,NL-U1481480,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481366,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Ek RC,,,1993,01,26,,Southern America,Guyana,Central Demerara,,,-58.616667,5.016667,-58.616667,5.016667,,,,,,,,,,,,U 0085542,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481366 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481366,NL-U1481366,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481368,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Jansen-Jacobs MJ,,,2002,04,14,,Southern America,Surinam,Saramacca,,,-56.183333,4.683333,-56.183333,4.683333,,,,,,,,,,,,U 0069738,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481368,NL-U1481368,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481360,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Jansen-Jacobs MJ; Welle BJH ter; Gopaul D; James V,,,1991,02,01,,Southern America,Guyana,Rupununi District,,Rupununi District. Kuyuwini Landing. Kuyuwini River.,-59.25,2.166667,-59.25,2.166667,,,,,,,,,,,,U 0120752,Forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481360 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481360,NL-U1481360,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481367,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Andel TR van; Roberts N; George N,,,1996,11,06,,Southern America,Guyana,North West District,,,-59.5,7.75,-59.5,7.75,,,,,,,,,,,,U 0061239,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481367,NL-U1481367,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481369,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Jansen-Jacobs MJ,,,1999,09,20,,Southern America,Guyana,Upper Essequibo Region,,,-58.533333,3.133333,-58.533333,3.133333,,,,,,,,,,,,U 0067356,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481369,NL-U1481369,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481482,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,Clarke HD,,,1997,02,18,,Southern America,Guyana,Upper Takutu - Upper Essequibo,,,-58.583333,2.983333,-58.583333,2.983333,,,,,,,,,,,,U 0098454,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481482,NL-U1481482,
2020-02-08 10:10:20-03,NBC,NL-BOTANY,U.1481372,PreservedSpecimen,Plantae,,Magnoliopsidae,Piperales,Piperaceae,Peperomia,rotundifolia,,Peperomia rotundifolia,(L.) Kunth,,,,,,UVS; Raghoenandan UPD; Pinas L,,,1998,04,12,,Southern America,Surinam,,,,-54.583333,2.966667,-54.583333,2.966667,,,,,,,,,,,,U 0087617,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1481372,NL-U1481372,
