MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 16:05:46-03,UNICAMP,UEC,41800,S,Plantae,Magnoliopsida,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,A.DC.,"Callejas, R",1985,,,,"Hatschbach, G",47691,,1984,04,07,,,Brazil,Espírito Santo,Domingos Martins,"Pedra Azul, Rod. BR-262, sobre matações de rochas. na mata sombria",-40.6591987609863,-20.3633003234863,0,0,48150,,,,,,,,,,,,,UEC149625,UEC149625,auto
2021-06-30 13:23:50-03,MBM,MBM,89705,S,Plantae,,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C. DC.,"Callejas, R.",,,,,"Hatschbach, G.",47664,,,,,,Southern America,Brazil,Paraná,Cerro Azul,Rio Piedade,-49.261100769043,-24.823600769043,0,0,32006,,,,,,,,,,,,,MBM089705,MBM089705,auto
2019-06-10 10:11:25-03,FZB-BH,BHZB,12102,S,Plantae,,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,,,,,,,"Ferreira Junior, C.A. et al.",1483,,2014,12,17,,,Brasil,MG,Catas Altas,"RPPN Caraça - Gruta de Lourdes, Serra do Caraça",-43.4075012207031,-20.0746994018555,,,11966,,,,,,,,,,,,com duplicata. Doação duplicata p/ RB em Fev. 2018,,,auto
2021-05-13 11:01:17-03,Cenargen,CEN,51623,PreservedSpecimen,Plantae,,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C.DC.,E. G. Gonçalves,2001,06,,,Júlio Antônio Lombardi,1442,,1996,10,31,,,Brasil,MG,MATOZINHOS,Fazenda Cauaia.,-44.0814018249512,-19.5578002929688,,,20503,,,,,,,Exsicatas,1,,,,Inflorescência verde. Carnosa. Doação.,CEN00051623,CEN00051623,auto
2019-11-01 15:07:53-03,UnB,UB,,PreservedSpecimen,Plantae,Dicotyledoneae,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C. DC.,,,,,,"Ferreira Junior, CA; et al.",1483,,2014,12,17,,Southern America,Brasil,Minas Gerais,Catas Altas,,-43.4075012207031,-20.0746994018555,0,0,11966,,,,,,,,,,,,,,,auto
2019-11-01 15:07:53-03,UnB,UB,190452,PreservedSpecimen,Plantae,Dicotyledoneae,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C. DC.,"Posada, RC",1984,,,,"Eiten, G",6938,,1965,11,28,,Southern America,Brasil,Minas Gerais,Ouro Preto,Northeastern outskirts of city of Ouro Preto. Morro de São João. About 2.5 km ENE of center of city,-43.5080986022949,-20.2875003814697,0,0,44599,,1300,1300,,,,,,,,,"Piperaceae, epiphyte on trunk of a low tree in open field along road",,,auto
2021-06-13 16:41:00-03,NY,NYBG,00555498,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C.DC.,R. Callejas Posada,,,,,G. Eiten,6938,,1965,11,28,,South America,Brazil,Minas Gerais,Ouro Preto,Northeastern outskirts of city of Ouro Preto. Morro de Sao Joao. About 2.5 km ENE of center of city,-43.5081,-20.2878,,,,,1300,1300,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355682' target='other'> <mi>dwc_moreinfo</mi></a>,NY00555498,NY00555498_01,
2021-06-13 16:41:00-03,NY,NYBG,555496,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C.DC.,R. Callejas Posada,,,,,G. G. Hatschbach,47691,,1984,04,07,,South America,Brazil,Espírito Santo,Domingos Martins,"Rod. BR-262, Pedra Azul",-40.975816,-20.404052,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355683' target='other'> <mi>dwc_moreinfo</mi></a>,NY00555496,NY00555496_01,
2021-06-13 16:41:00-03,NY,NYBG,555497,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C.DC.,R. Callejas Posada,,,,,G. G. Hatschbach,46664,,1983,03,23,,South America,Brazil,Paraná,Bocaiúva do Sul,Serra de S'Ana,-49.115,-25.2061,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355684' target='other'> <mi>dwc_moreinfo</mi></a>,NY00555497,NY00555497_01,
2021-04-21 22:00:02-03,US,US,3076570,PreservedSpecimen,Plantae,,Dicotyledonae,Piperales,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C. DC.,,,,,,G. Hatschbach & R. Kummrow,47691,,1984,4,7,,South America - Neotropics,Brazil,Espírito Santo,Domingos Martins,"Pedra Azul, Rod. BR-262",-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,1,,,,,,,auto
2020-12-11 11:40:10-03,UFMG,BHCB,33117,PreservedSpecimen,Plantae,Dicotyledon,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C.DC.,,2001,07,,,"Lombardi, JA",1442,,1996,10,31,,Southern America,Brasil,Minas Gerais,Matozinhos,Fazenda Cauaia,-44.0814018249512,-19.5578002929688,0,0,20503,,0,0,,,,,,,,,"Erva rupícola, carnosa, inflorescências verdes.; Afloramento de calcário.",BHCB052430,BHCB052430,auto
2020-07-23 12:18:02-03,CEPLAC,CEPEC,1682,PreservedSpecimen,Plantae,,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,,R. Callejas,,,,,R. P. Belém,1,,1964,12,10,,,Brasil,Distrito Federal,BRASÍLIA,Fercal. Região do calcário.,-47.9296989440918,-15.7797002792358,,,70570,,,,,,,,,,,30/12/1983,,,,auto
2019-06-10 10:10:38-03,FZB-BH,CVJBFZB,3910,S,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,cf. warmingii,,Peperomia cf. warmingii,,Carlos Alberto,2016,10,02,,Carlos Alberto; Fernando Campos,CAF1624,,2016,11,02,,,Brasil,MG,Caeté,"Pousada Canela de Ema, Pedra da Cambota, Trilha das Pedras Caídas",-43.6697006225586,-19.8799991607666,,,22051,,,,,,,,0,,,,254,,,auto
2019-06-10 10:10:38-03,FZB-BH,CVJBFZB,3558,S,Plantae,Magnoliophyta,,Piperales,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C. DC.,Carlos A. Ferreira Jr.,2014,12,,,Carlos Alberto Ferreira Júnior; Juliana Ordones,CAF1483,,2014,12,17,,,Brasil,Minas Gerais,Catas Altas,"Campo rupestre antes da Gruta de Lourdes, Serra do Caraça.",-43.4075012207031,-20.0746994018555,,,11966,,,,,,,,2,,,,254,,,auto
2019-09-04 19:07:29-03,F,FMNH-SEEDPLANTS,,PreservedSpecimen,Plantae,Spermatophyta,Dicotyledoneae,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,,,,,,Type [status unknown],J. E. B. Warming,,,,,,,South America,Brazil,,,,-52.8731,-10.8339,,,,,,,,,,,,,,,,,,
2014-09-23 11:02:08-03,G,G-DC,G00326020,S,Plantae,,,,Piperaceae,Peperomia,warmingii,,Peperomia warmingii,C. DC.,CAT.HERB.PRODR.,2013,01,01,SYNTYPUS of Peperomia warmingii C. DC.,"Warming, J. E. B.",,,1870,,00,,AMERIQUE DU SUD,Brazil,Minas Gerais,,,-45.44222222,-18.78777778,-45.44222222,-18.78777778,,,,,,,,,,,,,Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site,G00326020,,
