MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-01-06 11:42:00-03,UFPI-MRV,HDELTA,5204,PreservedSpecimen,Plantae,,,,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,,,,,,,s.n.,,2018,04,,,,Brasil,São Paulo,Botucatu,,-48.440278,-22.880556,"48º26'25,00W","22°52'50,00S",,,,,,,,,,,,,<ll>dwc_commonname:</ll> Ora-pro-nobis,HDELTA005204,,
2021-01-06 11:42:00-03,UFPI-MRV,HDELTA,5886,PreservedSpecimen,Plantae,,,,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,,,,,,"Siqueira, J. I. A.; Lemos, J.R.",132,,2019,02,15,,,Brasil,Piauí,Cocal,,-41.5574989318848,-3.47194004058838,,,30836,,,,,,,,,,,,<ll>dwc_commonname:</ll> Ora-pro-nobis,HDELTA005886,,auto
2019-12-04 15:24:59-03,PUCPR,HUCP,23873,S,Plantae,Eudicotiledonea,,,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,"Dunaiski, A",,,,,"Dunaiski, A",2054,,2003,04,22,,,Brasil,Paraná,Curitiba,,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,,,auto
2019-12-04 15:24:59-03,PUCPR,HUCP,24189,S,Plantae,Eudicotiledonea,,,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,"Adenesky, E",,,,,"Ariati, V",536,,2012,01,,,,Brasil,Paraná,Telêmaco Borba,,-50.6156005859375,-24.3239002227783,0,0,35037,,,,,,,,,,,,,,,auto
2020-02-08 08:54:54-03,NBC,NL-BOTANY,L.3743316,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,,,,,,Maas PJM; et al.,,,2009,05,07,,Southern America,Brazil,,,"Brazil, Espírito Santo, Linhares, Reserva do Vale de Rio Doce, Estrada Aceiro Aelindinho. Mussununga forest, white sand, roadside.",-40.033333,-19.116667,-40.033333,-19.116667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3743316 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3743316,NL-L3743316,
2020-02-08 08:54:54-03,NBC,NL-BOTANY,U.1180591,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,Leuenberger BE,,,,,Mexia YEJ,,,1929,12,19,,Southern America,Brazil,Minas Gerais,,"Viçosa, Agricultural College lands. Experimental garden.",-42.876638,-20.756822,-42.876638,-20.756822,,,,,,,,,,,,U 0246340,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1180591,NL-U1180591,
2020-02-08 08:54:54-03,NBC,NL-BOTANY,U.1180592,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,Leuenberger BE,,,,,Mexia YEJ,,,1930,06,27,,Southern America,Brazil,Minas Gerais,,"Viçosa, road to Sao Miguel, km 4.5.",-42.876638,-20.756822,-42.876638,-20.756822,,,,,,,,,,,,U 0246339,Tall woods on slope; northeast border woods in partial shade.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1180592,NL-U1180592,
2021-04-10 13:10:08-03,UFPI,TEPB,2858,PreservedSpecimen,Plantae,,,,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,,,,,,"Vasconcelos, J. R.",,,1982,04,22,,,Brasil,Piauí,Floriano,,-43.0224990844727,-6.76694011688232,,,78338,,,,,,,,,,,,Ambiente: Caatinga <ll>dwc_commonname:</ll> Folha de carne,,,auto
2019-08-27 13:28:39-03,IAP,PACA-AGP,42387,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Caryophyllales,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,Emrich-Rambo,1954,05,19,,"Rambo, B.",,,1949,07,05,,,Brasil,RS,Novo Hamburgo,ad montem Ferrabraz,-51.1305999755859,-29.6783008575439,,,20722,,,,,,,,,,,,VULNERÁVEL Habitat: in silva primaeva Fenofase: fs,PACA042387,,auto
2019-08-27 13:28:39-03,IAP,PACA-AGP,41779,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Caryophyllales,Cactaceae,Pereskia,aculeata,,Pereskia aculeata,Mill.,Emrich-Rambo,1954,05,19,,"Rambo, B.",,,1949,05,25,,,Brasil,RS,Novo Hamburgo,Schwabenschneis,-51.1305999755859,-29.6783008575439,,,20722,,,,,,,,,,,,VULNERÁVEL Habitat: in silva primaeva Fenofase: fs,PACA041779,,auto
