MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:38-03,UFES,SAMES,1474,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Valadares,R.T.",2020,03,12,,"Pinto Junior, H.V.; Covre, C.",151,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes com pecíolo roxo; sem inflorescência; abundante; sol pleno.,SAMES01474,,auto
2021-03-24 17:08:38-03,UFES,SAMES,8184,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Valadares,R.T.",2020,03,12,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",362,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404575000.0,-187638889.0,42400,,,,,,,,,,,,"Folhas verdes pilosa, urticante, fruto seco, sombra, abundante.",SAMES08184,,auto
2021-03-24 17:08:38-03,UFES,SAMES,1701,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Valadares,R.T.",2020,03,12,,"Pinto Junior, H.V.; Luber, J.",229,,2016,03,16,,,Brasil,Espírito Santo,Águia Branca,Santa Luzia. Antiga propriedade do Sr. Ciro Ferreira; afloramento próximo a cachoeira do Arco-íris.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verde claro; sol pleno; abundante.,SAMES01701,,auto
2021-03-24 17:08:38-03,UFES,SAMES,6241,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Valadares,R.T.",2020,03,12,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",287,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Folhas verdes. Habito: Herbácea,SAMES06241,,auto
2021-03-24 17:08:38-03,UFES,SAMES,446,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Valadares,R.T.",2020,03,12,,"Giaretta,A.O.; Ribeiro,M.;Menezes,L.F.T.;Rossini,J.",907,,2010,11,04,,,Brasil,Espírito Santo,Nova Venécia,"Vertente oeste na Pedra do Elefante. Próximo a uma pedreira às margens da ES 137, Elevação de 144M.",-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Erva terrestre, base interna da sépala vinosa, exsudade alaranjado.",SAMES00446,,auto
2021-03-24 17:08:38-03,UFES,SAMES,1471,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Valadares,R.T.",2020,03,12,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.;",193,,2015,09,18,,,Brasil,Espírito Santo,Vila Pavão,Pedra Tri-gêmea. Afloramento granítico.,-40.611400604248,-18.6149997711182,,,19647,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento granítico; folhas verdes; abundante; sol pleno.,SAMES01471,,auto
2019-11-01 15:12:54-03,UnB,UB,,PreservedSpecimen,Plantae,Monocotyledonae,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,"Gonçalves, EG",2000,02,,,"Gonçalves, EG; Salviani, ER; Leoni, LS; Peixoto, M",726,,2001,02,01,,Southern America,Brasil,Minas Gerais,Alto Caparaó,"Parque Nacional do Caparaó, Vale Verde",-41.8683013916016,-20.4333000183105,0,0,21645,,1100,1100,,,,,,,,,"Rupícola. Caule até 5 cm de diâmetro. Entrenós até 3 cm de comprimento. Pecíolo canaliculado adaxialmente, com vários nectários e um anel vináceo no ápice. Nervuras não proeminentes",UB0001391,UB0001391,auto
2020-06-29 11:29:00-03,UFRJ,RFA,37022,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,L.S.B. Calazans,2011,06,27,,L.S.B. Calazans; M.O.O. Pellegrini,45,,2010,07,05,,,Brasil,Rio de Janeiro,Petrópolis,"Vale das Videiras, Cume do Morro do Cuca",-43.162222,-22.250556,43º9'44''W,22º15'2''S,,,1703,1703,,,,,,,,,"Pequena população rupícola, sob forte luminosidade direta, formando uma pequena moita em conjunto com orquídeas, bromélias e antúrio. Folhas sub-coriáceas. Inflorescência fechada",RFA23757,,
2020-06-29 11:29:00-03,UFRJ,RFA,37023,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,L.S.B. Calazans,2019,06,27,,L.S.B. Calazans; M.O.O. Pellegrini,44,,2010,07,05,,,Brasil,Rio de Janeiro,Petrópolis,"Vale das Videiras, Mirante do Morro do Cuca",-43.173889,-22.252222,43º10'26''W,22º15'8''S,,,1280,1280,,,,,,,,,"Pequena população rupícola. Profilo persistente ou decíduo, de coloração clara com nuances vináceas, fracamente bicarenado. Folhas com nectários roxos na nervural central; ápice do pecíolo com anel roxo bem marcado, ligeiramente intumes",RFA23758,,
2020-06-29 11:29:00-03,UFRJ,RFA,37024,PreservedSpecimen,Plantae,,,,Araceae,Philodendron,edmundoi,,Philodendron edmundoi,G.M.Barroso,L.S.B. Calazans,2010,06,27,,L.S.B. Calazans; M.O.O. Pellegrini,43,,2010,07,05,,,Brasil,Rio de Janeiro,Petrópolis,"Vale das Videiras, Mirante do Morro do Cuca",-43.173889,-22.252222,43º10'26''W,22º15'8''S,,,1280,1280,,,,,,,,,"Pequena população rupícola. Folhas discolores, lados ligeiramente assimétricos; pecíolo verde-arroxeado a fortemente roxo, com nectários vináceos até a nervura central. Profilo arroxeado, persistente. Espata com constrição média, verde",RFA23759,,
