MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:50-03,UFES,SAMES,1288,PreservedSpecimen,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso,W.C.",2014,07,24,,"Monteiro,M.M.; Menezes,L.F.T.;Giaretta,A.O.;Cruz,T.S.",56,,2008,08,25,,,Brasil,Espírito Santo,São Mateus,Bairro Litorâneo. Mata seca de restinga sobre cordão arenoso.,-39.8588981628418,-18.716100692749,,,56510,,,,,,,,,,,,Planta com flor alba.,SAMES01288,,auto
2021-03-24 17:08:50-03,UFES,SAMES,8219,PreservedSpecimen,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",397,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Flores begras, sol abundante, habiatando ilha de vegetação inselberg.",SAMES08219,,auto
2021-03-24 17:08:50-03,UFES,SAMES,8197,PreservedSpecimen,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",375,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, flores roxas, abundante, sol, coletada na ilha de vegetação em afloramento granítico (inselberg).",SAMES08197,,auto
2021-05-17 15:48:28-03,UNICAMP,UEC,110232,S,Plantae,Magnoliopsida,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Zappi, DC",1999,,,,"Zappi, DC; Costa, CB; Aona, LYS; Belinello, R",473,,1999,11,27,,,Brazil,Rio de Janeiro,Rio das Ostras,"A Nordeste da cidade, Faz. Bela Vista.",-41.902778,-22.476667,-41.902778,-22.476667,,,50,100,,,,,,,,,"Planta 2m, estéril, 4-5 costelas.; Restinga arbórea, subosque humoso com bromélias crescendo no solo, com Brasiliopuntia brasiliensis, Cereus fernambucensis e Pilosocereus arrabideae.",UEC041080,UEC041080,
2021-05-17 15:48:28-03,UNICAMP,UEC,110220,S,Plantae,Magnoliopsida,,,Cactaceae,Pilosocereus,brasiliensis,ruschianus,Pilosocereus brasiliensis ruschianus,(Buining & Brederoo) Zappi,"Zappi, DC",1999,,,,"Zappi, DC; Costa, CB; Aona, LYS; Belinello, R",417,,1999,11,24,,,Brazil,Espírito Santo,Itarana,Estrada para Praça Oito.,-40.812222,-19.926111,-40.812222,-19.926111,,,400,400,,,,,,,,,"Plantas até 2m de altura, pouco ramificadas, ramos eretos ou decumbentes. Flores velhas e frutos verdes. Cult.; Sobre rochas, beira da estrada.",UEC041077,UEC041077,
2021-05-17 15:48:28-03,UNICAMP,UEC,105654,S,Plantae,Magnoliopsida,,,Cactaceae,Pilosocereus,brasiliensis,ruschianus,Pilosocereus brasiliensis ruschianus,(Buining & Brederoo) Zappi,"Aona, LYS",,,,,"Aona, LYS",99/81,,1999,02,22,,,Brazil,Minas Gerais,Teófilo Otoni,"BR 418, afloramento rochoso na altura do Km 137.",-41.505298614502,-17.8575000762939,0,0,62594,,,,,,,,,,,,,UEC041078,UEC041078,auto
2020-06-15 15:29:44-03,UNESP-RC,HRCB,13504,PreservedSpecimen,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,,,,,,"Taylor, N. P.",777,,1990,12,15,,,Brasil,Minas Gerais,Conselheiro Pena,,-41.4721984863281,-19.1721992492676,,,46509,,100,100,,,,,,,,,"Arbusto ramificado na base, frutos vináceos com plopa funicular magenta",,,auto
2020-06-15 15:29:44-03,UNESP-RC,HRCB,13484,PreservedSpecimen,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,,,,,,"Taylor, N. P.",770,,1990,12,15,,,Brasil,Minas Gerais,Galiléia,,-41.5374984741211,-18.9993991851807,,,32192,,125,125,,,,,,,,,"Arbustiva, até 4m alt., as vezes apresentando um tronco curto, frequemtemente parcialmente decumbente, costelas 4-6, epiderme verde escura a glauca. Flores surgindo em diversas porções dos ramos e ent",,,auto
2020-06-15 15:29:44-03,UNESP-RC,HRCB,12072,PreservedSpecimen,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Zappi, D.C.",1990,05,,,"Pereira, O.J.",2120,,1990,05,21,,,Brasil,Espírito Santo,Vila Velha,Restinga de Jacaranema,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,"Arbusto muito ramificado 4-5 cost, botão floral obtuso",,,auto
2021-06-13 16:41:00-03,NY,NYBG,645524,PreservedSpecimen,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,D. C. Zappi,,,,,J. N. Rose,20705,,1915,08,08,,South America,Brazil,Rio de Janeiro,,"Vicinity of Cabo Frio, Rio de Janeiro",-42.032149,-22.874703,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769053' target='other'> <mi>dwc_moreinfo</mi></a>,NY00645524,NY00645524_01,
2020-04-27 16:09:11-03,UFES,VIES,37411,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2014,07,24,,"Machado, J.O.; Souza, W.O. & Alves-Araújo, A.",135,,2013,08,15,,,Brasil,Espírito Santo,Conceição da Barra,Parque Estadual de Itaúnas. Área das Dunas.,-39.701944,-18.403333,39º42'7''W,18º24'12''S,,,,,,,,,,,,,,VIES037411,VIES037411,
2020-04-27 16:09:11-03,UFES,VIES,39462,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2013,03,17,,"Cardoso, W.C.; Iglesias, D.T.",243,,2013,03,17,,,Brasil,Espírito Santo,Serra,APA Mestre Álvaro. Trilha para as Três Marias.,-40.315,-20.151667,40º18'54''W,20º9'6''S,,,167,167,,,,,,,,,,VIES039462,VIES039462,
2020-04-27 16:09:11-03,UFES,VIES,39463,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2015,03,15,,"Cardoso, W.C.; Firmino, A.D.; Fardin, L.C.",330,,2015,03,15,,,Brasil,Espírito Santo,Serra,APA Mestre Álvaro. Trilha principal. Afloramento rochoso gnaissico entre a Pedra do Papagaio e o Vale do Eco.,-40.308889,-20.159444,40º18'32''W,20º9'34''S,,,,,,,,,,,,,,VIES039463,VIES039463,
2020-04-27 16:09:11-03,UFES,VIES,38142,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2015,01,28,,"Mayer, M.",1209,,2014,11,28,,,Brasil,Espírito Santo,Itaguaçu,,-40.855598449707,-19.8019008636475,,,26990,,,,,,,,,,,,,VIES038142,VIES038142,auto
2020-04-27 16:09:11-03,UFES,VIES,8556,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2012,07,18,,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.",2568,,1992,01,08,,,Brasil,Espírito Santo,Linhares,Comboios.,-40.0722007751465,-19.3910999298096,,,48094,,,,,,,,,,,,,VIES008556,VIES008556,auto
2020-09-10 15:32:59-03,UFES,VIES,41067,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,W.C. Cardoso,2020,07,15,,"Pena, N.T.L.; Alves-Araújo, A;Miranda, V.S.",660,,2016,07,26,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041067,VIES041067,auto
2020-09-10 15:32:59-03,UFES,VIES,38992,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,W.C. Cardoso,2020,07,15,,"Pena, N.T.L.; Alves-Araújo, A. & Sossai, B.G.",538,,2015,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038992,VIES038992,auto
2020-09-10 15:32:59-03,UFES,VIES,38803,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,W.C. Cardoso,2020,07,15,,"Pena, N.T.L.; Souza, W.O.",270,,2015,06,18,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038803,VIES038803,auto
2020-04-27 16:09:11-03,UFES,VIES,26400,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2011,06,03,,"Cardoso, W.C.; Valadares, R.T.",4,,2011,06,03,,,Brasil,Espírito Santo,Vila Velha,Morro do Moreno.,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,,VIES026400,VIES026400,auto
2019-06-27 10:24:26-03,UFES,VIES,4329,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,,,,,,"Pereira, O.J.",2120,,1990,05,21,,,Brasil,Espírito Santo,Vila Velha,Reserva Biológica de Jacarenema.,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,,VIES004329,VIES004329,auto
2020-04-27 16:09:11-03,UFES,VIES,22152,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2012,08,06,,"Cardoso, W.C.; Firmino, A.D.",175,,2012,08,06,,,Brasil,Espírito Santo,Vitória,Campus da UFES.,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,,,,,,VIES022152,VIES022152,auto
2019-06-27 10:24:26-03,UFES,VIES,22089,S,Plantae,,,,Cactaceae,Pilosocereus,brasiliensis,,Pilosocereus brasiliensis,(Britton & Rose) Backeb.,"Cardoso, W.C.",2012,,,,"Cardoso, W.C.",56,,2012,01,,,,Brasil,Espírito Santo,Vitória,Campus da UFES.,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,,,,,,VIES022089,VIES022089,auto
