MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-30 13:08:44-03,MBM,MBM,392614,S,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Sm.,,,,,,"Forzza, R.C.; Fraga, C.N.; Kollmann, L.; Fontana, A.P.; Labiak, P.H.; Fraga, C.N.; Kollmann, L.; Fontana, A.P.; Labiak, P.H.",4977,,2008,02,12,,Southern America,Brazil,Espírito Santo,Castelo,"Parque Estadual do Forno Grande, trilha para o Forninho",-41.083611,-20.516111,-41.083611,-20.516111,,,1100,1400,,,,,,,,,"Rupícola, frequente. Escapos, brácteas do escapo, brácteas florais e flores vermelhos; estames amarelos.; Floresta Ombrófia Densa Altomontana com inselbergues.",MBM392614,MBM392614,
2021-06-30 13:08:44-03,MBM,MBM,24562,S,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Sm.,"Smith, L.B.",,,,,"Hatschbach, G.; Ahumada, L.Z.; Ahumada, L.Z.",31364,,1973,02,07,,Southern America,Brazil,Espírito Santo,Domingos Martins,Aracê,-40.6591987609863,-20.3633003234863,0,0,48150,,,,,,,,,,,,,MBM024562,MBM024562,auto
2021-06-13 16:41:00-03,NY,NYBG,02711704,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Sm.,,,,,,D. P. Saraiva,67,,2011,02,09,,South America,Brazil,Minas Gerais,Mutum,Localidadfe de Imbiruçú. Estrada de imburiçú para BR 262. Pedra Santa. Inselberg.,-41.432222,-20.175,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2998326' target='other'> <mi>dwc_moreinfo</mi></a>,NY02711704,NY02711704_01,
2021-06-13 16:41:00-03,NY,NYBG,376847,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Sm.,,,,,,G. G. Hatschbach,31364,,1973,02,07,,South America,Brazil,Espírito Santo,Domingos Martins,Aracê,-40.6592,-20.3633,,,,,800,1000,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72547' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376847,NY00376847_01,
2021-06-13 16:41:00-03,NY,NYBG,376848,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Sm.,,,,,,G. G. Hatschbach,31364,,1973,02,07,,South America,Brazil,Espírito Santo,Domingos Martins,Aracê,-40.6592,-20.3633,,,,,800,1000,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72548' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376848,NY00376848_01,
2020-06-29 11:29:40-03,UFRJ,RFA,30890,PreservedSpecimen,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Sm.,T. Wendt,2000,12,05,,L. Kollmann; E. bausen; W. Pizziolo,2339,,1999,03,31,,,Brasil,Espírito Santo,Santa Teresa,Terreno do Boza. Vale do Canãa,-40.6002998352051,-19.9356002807617,,,23813,,800,800,,,,,,,,,Rupícola. Planta 1 m. Flores avermelhadas. Herb/Cultivo,RFA51229,,auto
2021-06-25 18:18:36-03,UFV,VIC,24852,PreservedSpecimen,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L. B. Smith,"Goldschmidt, A.; de Paula, C.C.",2000,05,05,,"Goldschmidt, A.; Paula, C.C. de",30,,2000,05,05,,,Brasil,Minas Gerais,Araponga,"Parque Estadual da Serra do Brigadeiro, serra das cabeças, em área de campo de Altitude.",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,plantas saxícolas e heliófilas. Inúmeras populações na área.,VIC024852,VIC024852,auto
2021-06-25 18:18:36-03,UFV,VIC,19331,PreservedSpecimen,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L. B. Smith,"Fontana, A.P.",2011,03,29,,"Da Silva, A.F.",2496,,2006,02,16,,,Brasil,Minas Gerais,Araponga,"Parque Estadual da Serra do Brigadeiro, Trilha da Laje.",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,"Flores vermelhas, bractéolos vinosos, anteras amarelas.",VIC019331,VIC019331,auto
2021-06-25 18:18:36-03,UFV,VIC,13839,PreservedSpecimen,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L. B. Smith,Leme E.M.C.,1995,10,,,"de Paula, C.C.",1011,,1995,02,03,,,Brasil,Minas Gerais,Araponga,"Parque Estadual da Serra do Brigadeiro, Trilha do pico do boné, laje de pedra a aprox. 1km da casa do sr. Eugênio.",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,"Terrestre, cresce nas fendas das pedras onde há solo, flores vermelhas.",VIC013839,VIC013839,auto
2021-06-25 18:18:36-03,UFV,VIC,052709,PreservedSpecimen,Plantae,,,,Bromeliaceae,Pitcairnia,decidua,,Pitcairnia decidua,L.B.Smith,,,,,,"Caiafa, A.N.",48,,2001,01,16,,,Brasil,Minas Gerais,Araponga,"PESB Serra das cabeças, 3° cabeça.",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,,VIC052709,VIC052709,auto
