MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:25-03,PUCPR,HUCP,21796,S,Plantae,Monocotiledonea,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Kersten, RA",,,,,"Kersten, RA",1401,,2009,10,30,,,Brasil,Paraná,Piraquara,,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,,HUCP00004961,HUCP00004961,auto
2019-12-04 15:26:25-03,PUCPR,HUCP,20912,S,Plantae,Monocotiledonea,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Kersten, RA",,,,,"Selusniaki, M; Kersten, RA",2887,,2009,10,30,,,Brasil,Paraná,Piraquara,Morro do Canal,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,,HUCP00004731,HUCP00004731,auto
2019-12-04 15:26:25-03,PUCPR,HUCP,18721,S,Plantae,Monocotiledonea,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Kersten, RA",,,,,"Selusniaki, M; Beltrami, L",1700,,2007,11,15,,,Brasil,Paraná,Piraquara,Morro do Canal,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,,HUCP00004853,HUCP00004853,auto
2019-08-27 13:25:16-03,IAP,PACA-AGP,51141,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Bromeliales,Bromeliaceae,Pitcairnia,flammea,var. floccosa,Pitcairnia flammea var. floccosa,L. B. Smith,L. B. Smith,1950,,,,"Hatschbach, G.",1758,,1950,01,15,,,Brasil,PR,Morretes,Pico Olimpo,-48.834400177002,-25.476900100708,,,30514,,,,,,,,,,,,Flor vermelha com anteras amarelas. Habitat: Ad rupes. Fenofase: flor Hábito: rupícola,PACA051141,,auto
2019-08-27 13:25:16-03,IAP,PACA-AGP,87100,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Bromeliales,Bromeliaceae,Pitcairnia,flammea,var. floccosa,Pitcairnia flammea var. floccosa,L. B. Smith,G. Hatschbach,2002,,,,J.M. Silva,3744,,2002,10,29,,,Brasil,PR,Paranaguá,Morro Inglês,-48.5092010498047,-25.5200004577637,,,24916,,,,,,,,,,,,Habitat: Paredões rochosos próximo ao alto do morro. Fenofase: flor vermelha,PACA087100,,auto
2021-05-17 15:36:23-03,UNICAMP,UEC,72644,S,Plantae,Liliopsida,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Wanderley, MDGL",2001,08,,,"Garcia, RJF; Ferreira, GMP; Neves, LF",532,,1995,02,13,,,Brazil,São Paulo,Capivari,"Parelheiros. Fazenda a Sabesp, ao final",-46.680278,-23.955556,-46.680278,-23.955556,,,,,,,,,,,,,"fruto, Epífita , no interior da mata. Flores vermelhas, pedúnculos vermelho-alaranjados, frutos verdes e vermelho-alaranjados.",UEC057689,UEC057689,
2021-05-17 15:36:23-03,UNICAMP,UEC,197781,S,Plantae,Liliopsida,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Monge, M",,,,,"Monge, M; Leoni, LS; Scatigna, AV",1252,,2012,09,20,,,Brazil,Minas Gerais,Alto Caparaó,"P.N. Caparaó. Vale Verde, Rio Caparaó",-41.883333,-20.433333,-41.883333,-20.433333,,,,,,,,,,,,,"Erva, ereta, pupicola, frutos velhos.; Rupicola, margem de rio.",UEC170959,UEC170959,
2021-05-17 15:36:23-03,UNICAMP,UEC,88238,S,Plantae,Liliopsida,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Wanderley, MDGL",2001,08,,,"Kinoshita, LS; Koch, I",959,,1995,04,06,,,Brazil,São Paulo,Lavrinhas,"12km ao norte de Lavrinhas, vale do Ribe",-44.880833,-22.465833,-44.880833,-22.465833,,,,,,,,,,,,,"fruto, Mata. Erva rupícola de 40cm de altura. Frutos imaturos esverdeados.",UEC057688,UEC057688,
2021-05-17 15:36:23-03,UNICAMP,UEC,121175,S,Plantae,Liliopsida,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,,,,,,"Meireles, LD",651,,2002,10,16,,,Brazil,Minas Gerais,Camanducaia,"Monte Verde, Afloramento da Pedra Redonda",-46.1446990966797,-22.7553005218506,0,0,22140,,,,,,,,,,,,"Erva com flores vermelhas, anteras amarelas, sob substrato, em moitas.",UEC087204,UEC087204,auto
2021-05-17 15:36:23-03,UNICAMP,UEC,124662,S,Plantae,Liliopsida,,,Bromeliaceae,Pitcairnia,flammea,,Pitcairnia flammea,Lindl.,"Forzza, RC",2005,,,,"Meireles, LD",706,,2001,10,31,,,Brazil,Minas Gerais,Camanducaia,"Monte Verde, Pedra Redonda",-46.1446990966797,-22.7553005218506,0,0,22140,,,,,,,,,,,,"Erva, flores vermelhas, estames com filetes brancos e anteras amarelas, estilete e estugma vermelhos,",UEC087250,UEC087250,auto
