MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:19-03,PUCPR,HUCP,21613,S,Plantae,Monilofita,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota.,"Michelon, C",,,,,"Michelon, C",s.n.,,2008,12,28,,,Brasil,Santa Catarina,Imbituba,Praia da Vila,-48.6702995300293,-28.2399997711182,0,0,18719,,,,,,,,,,,,,,,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,20846,S,Plantae,Monilofita,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota.,"Michelon, C",,,,,"Michelon, C",s.n.,,2008,12,28,,,Brasil,Santa Catarina,Imbituba,Praia da Vila,-48.6702995300293,-28.2399997711182,0,0,18719,,,,,,,,,,,,,HUCP00001629,HUCP00001629,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,21512,S,Plantae,Monilofita,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota.,"Kersten, RA",,,,,"Ostrowski, NMAT",s.n.,,2010,06,06,,,Brasil,Santa Catarina,São Francisco do Sul,Praia Grande,-48.6380996704102,-26.2432994842529,0,0,23627,,,,,,,,,,,,,HUCP00001714,HUCP00001714,auto
2019-08-27 13:35:56-03,IAP,PACA-AGP,100965,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,F. Gonzatii,2015,01,15,,Joege e Gabriela,,,1999,11,20,,,Brasil,SC,Garopaba,,-48.6133003234863,-28.0233001708984,,,11115,,,,,,,,,,,,HASU 7773,PACA100965,,auto
2019-08-27 13:35:56-03,IAP,PACA-AGP,90067,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,F. Gonzatii,2015,01,15,,N. Bitencourt Jr.,,,1998,09,26,,,Brasil,SC,Garopaba,,-48.6133003234863,-28.0233001708984,,,11115,,,,,,,,,,,,HASU 8859. Habitat: Dunas.,PACA090067,,auto
2019-08-27 13:35:56-03,IAP,PACA-AGP,85128,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,F. Gonzatii,2015,01,15,,"Mauhs, J.",,,1998,01,09,,,Brasil,SC,Içara,Baln. Rincao,-49.2999992370605,-28.7133007049561,,,18492,,,,,,,,,,,,Habitat: no subosque da matinha sobre duna,PACA085128,,auto
2021-06-07 16:26:23-03,UNICAMP,UEC,63368,S,Plantae,Pteridophyta,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,"Prado, J",2009,08,,,s/ coletor,s.n.,,1940,03,05,,,Brazil,Minas Gerais,Brumadinho,,-44.1996994018555,-20.1432991027832,0,0,26639,,,,,,,,,,,,Herbáceo. Muito frequente.; Nas pedras e canga.,UEC067560,UEC067560,auto
2021-05-17 16:12:55-03,UNICAMP,UEC,63349,S,Plantae,Pteridophyta,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,"Prado, J",2009,08,,,"Guimarães, JCG; Sander",s.n.,,1985,04,06,,,Brazil,Minas Gerais,Caeté,Serra da Piedade,-43.6697006225586,-19.8799991607666,0,0,22051,,,,,,,,,,,,Herbáceo. Epífita.; Campo rupestre.,UEC067561,UEC067561,auto
2021-05-17 16:12:55-03,UNICAMP,UEC,17850,S,Plantae,Pteridophyta,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,"Prado, J",2009,08,,,"Davis, PH; Shepherd, GJ",D61005,,1976,09,19,,,Brazil,Paraná,Ponta Grossa,Vila Velha,-50.1618995666504,-25.0949993133545,0,0,46557,,150,150,,,,,,,,,"Erect, grey.; On sandstone. Rocky ground at foot of cliffs.",UEC067558,UEC067558,auto
2021-05-17 16:12:55-03,UNICAMP,UEC,55891,S,Plantae,Pteridophyta,,,Polypodiaceae,Pleopeltis,lepidopteris,,Pleopeltis lepidopteris,(Langsd. & Fisch.) de la Sota,"Prado, J",2009,08,,,"Jarenkow, JA; Waechter, JL",471,,1986,09,29,,,Brazil,Rio Grande do Sul,Capão do Leão,Horto botânico Ir. Teodoro Luiz.,-52.4838981628418,-31.7632999420166,0,0,28605,,,,,,,,,,,,Terrícola.; Borda da mata.,UEC067559,UEC067559,auto
