MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-30 13:25:25-03,MBM,MBM,386736,S,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Schwartsburd, P.B.",2009,06,,,"Schwartsburd, P.B.; Hirai, R.Y.; Luis, J.; Hirai, R.Y.; Luis, J.",1645,,2008,05,27,,Southern America,Brazil,Minas Gerais,Ouro Preto,"São Sebastião, Camarinhas",-43.507778,-20.37,-43.507778,-20.37,,,1370,1370,,,,,,,,,Rupícola.; Campo rupestre e mata associada. Do interior da mata.,MBM386736,MBM386736,
2021-06-30 13:25:25-03,MBM,MBM,386739,S,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Schwartsburd, P.B.",2009,06,,,"Schwartsburd, P.B.; Hirai, R.Y.; Peralta, D.F.; Palu, P.e.L.; Hirai, R.Y.; Peralta, D.F.; Palu, P.e.L.",1687,,2008,05,30,,Southern America,Brazil,MInas Gerais,Catas Altas,"Cadeia do Espinhaço, Serra da Caraça, RPPN Caraça, Capelinha",-43.482778,-20.095833,-43.482778,-20.095833,,,1450,1450,,,,,,,,,"Rupícola.; Campo Rupestre e Floresta Atlântica, de área aberta.",MBM386739,MBM386739,
2021-06-30 13:25:25-03,MBM,MBM,414362,S,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Dittrich, V.A.O.",2010,08,,,"Dittrich, V.A.O.; Novais, T.C.; Novais, T.C.",1686,,2010,04,25,,Southern America,Brazil,Bahia,Jacaraci,Morro do Chapéu,-42.513056,-14.896667,-42.513056,-14.896667,,,1300,1300,,,,,,,,,Rupícola.; Em campo rupestre.,MBM414362,,
2020-09-04 16:38:11-03,FVD,FVD,59,MachineObservation,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,T.E. Almeida,2010,08,,,,,,2010,04,25,,,Brasil,Bahia,Jacaraci,Morro do Chapéu,-42.513056,-14.896667,42°30'47W,14°53'48S,,,1300,1300,,,,,,,,,Rupícola. Altitude e coordenadas geográficas aproximadas.; Domínio fitogeográfico: Cerrado; Vegetação: Campo rupestre,FVD00059,FVD00059_v1 FVD00059_v2 FVD00059_v3,
2021-03-30 12:51:02-03,EAO,IAN,79110,PreservedSpecimen,Plantae,Fern,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Almeida, TE",2011,07,14,,"Williams, LO",6397,,1945,03,30,,Southern America,Brasil,Minas Gerais,Nova Lima,Serra do Cural.,-43.8466987609863,-19.9855995178223,0,0,29211,,1300,1300,,,,,,,,,Fern in campo.,IAN079110,,auto
2021-06-25 18:21:26-03,UFV,VIC,043116,PreservedSpecimen,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,,,,,,"Schwarstburd, P.B.; A.P.Fortuna-Perez",2953,,2014,01,24,,,Brasil,Minas Gerais,Ouro Preto,Cachoeira das Andorinhas,-43.5080986022949,-20.2875003814697,0,0,44599,,,,,,,,,,,,Epífita da matinha.,VIC043116,,auto
2018-09-12 14:48:28-03,UNIOESTE,UNOP,756,S,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Lautert, M.; Salino, A.",2012,03,23,,"Rocha, M.J.R.; Pereira, A.F.S.; Lautert, M.; Salino, A.; Pereira, A.F.S.; Lautert, M.; Salino, A.",426,,2012,03,21,,,Brasil,Minas Gerais,Rio Pardo de Minas,"Parque Estadual de Serra Nova, Trilha do Escorregador, próximo a curso d'água.",-42.737778,-15.615833,-42.737778,-15.615833,,,,,,,,,,,,,"Terrestre, cresce em solo com serrapilheira sobre rochas.",,,
2018-09-12 14:48:28-03,UNIOESTE,UNOP,8310,S,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Salino, A.",2011,10,,,"Lombardi, J.A.; Temponi, L.G.; Saka, M.N.; Coan, A.I.; Temponi, L.G.; Saka, M.N.; Coan, A.I.",8721,,2011,10,12,,,Brasil,Paraná,Céu Azul,Parque Nacional do Iguaçu. Trilha da Cachoeira Jacutinga.,-53.82175,-25.239833,-53.82175,-25.239833,,,658,658,,,,,,,,,Amostra em sílica. Floresta Estacional Semidecídua. Epífita em tronco caído.,,,
2021-04-21 22:00:02-03,US,US,2137433,PreservedSpecimen,Plantae,,Pteridophyte,Polypodiales,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,,,,,,L. Smith,6998,,1952,4,29,,South America - Neotropics,Brazil,Minas Gerais,,"Minas Gerais, Municipio Jaboticatubas, Serra do Cipo, 6 km ao norte do Palacio",-43.58,-19.17,,,,,1200,,,,,,1,,,,,US01599659,US01599659_01,
2021-03-15 18:29:34-03,USP,SPF,211172,PreservedSpecimen,Plantae,,,,Polypodiaceae,Pleopeltis,minarum,,Pleopeltis minarum,(Weath.) Salino,"Schwartsburd, PB",2010,09,,,"Zappi, DC",2691,,2009,11,30,,,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Rio das Pedras, propriedade do Sr Luiz, acesso por Inhame.",-43.750051,-19.02325,-43.750051,-19.02325,,,,,,,,,,,,,Samambaias com tricomas ferrugíneos.; Afloramentos de rocha perto do rio.,SPF00211172,,
