MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:25-03,UFES,SAMES,1708,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb",H.V.PintoJunior,2019,01,15,,"Pinto Junior, H.V.; Covre, C.",264,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Arbusto de 1,5 metros habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas; sol; abundante.",SAMES01708,,auto
2021-03-24 17:09:25-03,UFES,SAMES,8204,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb",H.V.PintoJunior,2019,01,15,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.",382,,2018,03,20,,,Brasil,Espírito Santo,Águia Branca,REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.,-40.7402992248535,-18.9831008911133,-407122222.0,-189786111.0,19701,,,,,,,,,,,,"Flores roxas, sol, habitando ilha de vegetação em inselberg granítico, abundância.",SAMES08204,,auto
2021-06-30 13:20:13-03,MBM,MBM,422796,S,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S. Mey., Fraga & R. Goldenb.","Meyer, F.S.",2019,06,,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3460,,2019,04,06,,Southern America,Brazil,Espírito Santo,Nova Venécia,Pedra do Elefante,-40.456944,-18.766389,-40.456944,-18.766389,,,590,590,,,,,,,,,"Arbusto com 1 m de altura; pétalas roxas, estames um pouco avermelhados, centro das pétalas vermelhas.; Refúgio Vegetacional Altomontano (campo de altitude e vegetação rupícola).",MBM422796,,
2021-02-11 17:20:17-03,UFPR,UPCB,92789,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R. Goldenb.","Meyer, F.S.",2018,05,,Paratype,"Azevedo, L.O. | Paula, L.F.A. | Forzza, R.C.",447,,2016,03,17,,,Brasil,Espírito Santo,São Gabriel da Palha,Afloramento ao lado de uma laticínio,-40.468889,-18.803889,-40.468889,-18.803889,,,289,289,,,,,,,,,"Habitat: em ilha de vegetação, depressão rasa. Inselberg granítico com pequenos fragmentos florestados.. Flores com corola roxa, com a base das pétalas brancas. Frutos imaturos verdes. Folhas discolores. Hábito:/forma de vida: arbust",UPCB0035155,UPCB0035155,
2021-02-11 17:20:17-03,UFPR,UPCB,86716,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,Paratype,"Pinto Junior, H.V. | Covre, C.",264,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,"Pedra do Elefante, Vertente leste da Pedra do Elefante.",-40.768611,-19.290833,-40.768611,-19.290833,,,,,,,,,,,,,"Arbusto de 1,5metros habitanto ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas; sol; abundante..",UPCB0035176,UPCB0035176,
2021-02-11 17:20:17-03,UFPR,UPCB,82684,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.","Goldenberg, R.",2015,,,Paratype,"Assis, A.M.",2465,,2010,04,26,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante - Pedra do Elefante,-40.458,-18.767,-40.458,-18.767,,,630,630,,,,,,,,,Rupícola; flores roxas.,UPCB0035175,UPCB0035175,
2021-02-11 17:20:17-03,UFPR,UPCB,88906,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.","Goldenberg, R.",2014,,,Paratype,"Pellegrini, M.O.O. et al.",383,,2013,04,24,,,Brasil,Espírito Santo,Nova Venécia,"APA as Pedra do Elefante, inselbergue",-40.457778,-18.766944,-40.457778,-18.766944,,,626,626,,,,,,,,,"Arbusto ca. 1,5-2m alt., em topo de inselbergue. Brácteas florais cuculadas, verde-rosadas. Cálice verde-claro, nervura central expessada, margens hialinas. Pétalas roxas, base alva durante a antese, vermelha na pós antese. Filetes e calos rosados, anter",,,
2021-02-11 17:20:17-03,UFPR,UPCB,92790,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R. Goldenb.","Meyer, F.S.",2018,05,,Paratype,"Paula, L.F.A. | Azevedo, L.O. | Forzza, R.C.",945,,2016,03,16,,,Brasil,Espírito Santo,Nova Venécia,APA da Pedra do Elefante,-40.456667,-18.769167,-40.456667,-18.769167,,,620,620,,,,,,,,,"Habitat: em ilha de vegetação sobre inselberg.. Corola roxa, cálice verde; folhas discolores. Altura: 1,5 m. Frequente nas ilhas de vegetação.",UPCB0035177,UPCB0035177,
2021-02-11 17:20:17-03,UFPR,UPCB,92792,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R. Goldenb.","Meyer, F.S.",2018,05,,Paratype,"Paula, L.F.A. | Azevedo, L.O. | Forzza, R.C.",943,,2016,03,16,,,Brasil,Espírito Santo,Nova Venécia,APA da Pedra do Elefante,-40.456667,-18.769167,-40.456667,-18.769167,,,620,620,,,,,,,,,"Habitat: em ilha de vegetação sobre inselberg. Frequente nas ilhas de vegetação.. Corola roxa, cálice verde; folhas discolores. Altura: 1,5 m. Hábito/forma de vida: arbusto.",UPCB0035179,UPCB0035179,
2021-02-11 17:20:17-03,UFPR,UPCB,92791,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R. Goldenb.","Meyer, F.S.",2018,05,,Paratype,"Azevedo, L.O. | Paula, L.F.A. | Forzza, R.C.",444,,2016,03,17,,,Brasil,Espírito Santo,São Gabriel da Palha,Afloramento ao lado de uma laticínio,-40.468889,-18.803889,-40.468889,-18.803889,,,289,289,,,,,,,,,"Habitat: em ilha de vegetação, depressão rasa. Inselberg granitico com pequenos fragmentos florestados em seu entorno.. Flores com corola roxa e com base das pétalas brancas. Botões circundados por brácteas verdes. Folhas levemente d",UPCB0035180,UPCB0035180,
2020-07-06 14:30:00-03,MO,MOBOT,101202414,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S. Mey., Fraga & R. Goldenb.",fide Guimarães et al.,,,,Holotype,Ludovic Kollmann|C.N. Fraga|A.P. Fontana,Kollmann 10701,,2008,2,19,,South America,Brazil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental—APA da Pedra do Elefante,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,1,,,,,,,auto
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,34343,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,C. N. de Fraga; et al,1895,,2008,02,18,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.446389,-18.782778,40W26'47,18S46'58,,,,,,,,,,,,,,MBML034343,MBML034343,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,34434,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,C. N. de Fraga; et al,1908,,2008,02,19,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.457778,-18.766944,40W27'28,18S46'1,,,,,,,,,,,,,,MBML034434,MBML034434,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,34858,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,A. P. Fontana; et al,5235,,2008,05,09,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.466667,-18.75,40W27'60,18S45'0,,,,,,,,,,,,,,MBML034858,MBML034858,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,34987,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,R. Goldenberg; et al,1143,,2008,05,10,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.457778,-18.766944,40W27'28,18S46'1,,,,,,,,,,,,,,MBML034987,MBML034987,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,35030,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,"L. Kollmann; A.P. Fontana, E. Leme & M. Zanoni",11011,,2008,04,29,,,Brasil,Espírito Santo,Nova Venécia,"Serra de Baixo, APA da Pedra do Elefante, Pedra da Torre",-40.432778,-18.7825,40W25'58,18S46'57,,,,,,,,,,,,,"Arbusto 2m, rupestre no sol. Flores lilás.",MBML035030,MBML035030,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,37489,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,"P. Labiak; P.B.Schawartsburd, A.P.Fontana & L.J.C.Kollmann.",5109,,2009,01,14,,,Brasil,Espírito Santo,Nova Venécia,APA da Pedra do Elefante. Afloramento rochoso à direita na subida para a Pedra do Elefante. Afloramento rochoso.,-40.4475,-18.770278,40W26'51,18S46'13,,,300,300,,,,,,,,,"Arbusto lenhoso, em local exposto ao sol. Flores violáceas.",MBML037489,MBML037489,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,38732,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,C. N. de Fraga; R.C.Forzza,2534,,2009,04,15,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo. Pedra da Torre. Inselberg.,-40.446389,-18.782778,40W26'47,18S46'58,,,420,420,,,,,,,,,"Arbusto ca. 2m, heliófila. Folhas com face adaxial verde escuro, face adaxial verde claro, nervuras amareladas recoberta com indumento ceríceo. Inflorescência vinácea, ramificações secundárias tirsoides recoberta por brácteas em forma",MBML038732,MBML038732,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,44843,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,A. M. Assis; M. D. S. Demuner & M. B. Redighieri,2465,,2010,04,26,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante,-40.457611,-18.767,"40W27'27,4","18S46'1,2",,,630,630,,,,,,,,,"Rupícola, flores roxas",MBML044843,MBML044843,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,47714,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,M.O.O. Pellegrini; R.C. Forzza & J.A. Oliveira,383,,2013,04,24,,,Brasil,Espírito Santo,Nova Venécia,"APA Pedra do Elefante. Serra de Baixo, Pedra do Elefante, inselbergue",-40.457778,-18.766944,40W27'28,18S46'1,,,626,626,,,,,,,,,"Arbusto ca 1,5-2m alt., em topo de Inselbergue. Brácteas florais cuculadas, verde-rosadas. Cálice verde-claro, nervura central expessada, margens hialinas. Pétalas roxas, base alva durante a antese, vermelha na pós-antese. Filetes e ca",MBML047714,MBML047714,
2020-07-10 09:47:32-03,MBML,MBML-HERBARIO,50840,,Plantae,,,,Melastomataceae,Pleroma,cucullatum,,Pleroma cucullatum,"F.S.Mey., Fraga & R.Goldenb.",,,,,PARATIPO,"L. Kollmann; C.N.Fraga, C.Fraga e M.F.O.Siva",13252,,2016,12,15,,,Brasil,Espírito Santo,Nova Venécia,"APA da Pedra do Elefante, pedra das torres",-40.444444,-18.781111,40W26'40,18S46'52,,,,,,,,,,,,,"Arbusto 3m rupicola ao sol, caule e folhas verdes, inflorescencia avermelhada, bracteas brancas avermelhadas, sepalas verdes, petalas lilas, centro branco quando nova ficando avermelhado, hipanto verde branco.",MBML050840,MBML050840,
