MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-30 13:20:13-03,MBM,MBM,320852,S,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank & Mart. ex DC.,"Woodzyer, E.",2006,,,,"Pirani, J.R.; Mello-Silva, R.; Lovo, J.; Farinaccio, M.A.; Oliveira, P.D.; Mello-Silva, R.; Lovo, J.; Farinaccio, M.A.; Oliveira, P.D.",5384,,2004,04,01,,Southern America,Brazil,Bahia,Rio de Contas,"Povoado de Mato Grosso, 14 km além da represa do rio Brumado em direção a Mato Grosso e 3,5 k maquém do arraial",-41.852778,-13.475278,-41.852778,-13.475278,,,1100,1100,,,,,,,,,Arvoreta 4m alt. Pétalas e estames roxos.; Encosta rochosa com vegetação herbáceo-arbustiva com Eremanthus e veloziáceas. Em capão em meio a campo rupestre.,MBM320852,MBM320852,
2021-06-30 13:20:13-03,MBM,MBM,414321,S,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank & Mart. ex DC.,"Justino, L.L.",2015,02,25,,"Justino, L.L.; Ribeiro, J.H.C.; Mota, M.C.A.; Pastore, J.F.B.; Ribeiro, J.H.C.; Mota, M.C.A.; Pastore, J.F.B.",143,,2015,02,25,,Southern America,Brazil,Minas Gerais,Rio Preto,trilha para o pasto do Ninho da Égua,-43.8278007507324,-22.0891990661621,0,0,20815,,,,,,,,,,,,Árvore 3 m. Flores com pétalas e estames roxos.; Na beira da estrada.,MBM414321,,auto
2021-06-07 16:25:51-03,UFPR,UPCB,91289,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,(Schrank & Mart. ex DC.) Gardner,"Meyer, F.S.",2021,06,,,"Barbosa-Silva, R.G. et al.",548,,2016,07,13,,,Brasil,Rio de Janeiro,Rio de Janeiro,Parque Nacional da Tijuca. Trilha da Mesa do Imperador para o Morro do Queimado,-43.256667,-22.965833,-43.256667,-22.965833,,,588,588,,,,,,,,,"Mata Ombrófila alterada. Árvore frequente, ca. De 3m de alt., folhas discolores, fruto com tricomas castanhos.",UPCB0034114,UPCB0034114,
2021-06-07 16:25:51-03,UFPR,UPCB,91300,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,(Schrank & Mart. ex DC.) Gardner,"Meyer, F.S.",2021,06,,,"Martinelli, G. et al.",19458,,2016,08,12,,,Brasil,Rio de Janeiro,Nova Friburgo,RPPN Sítio Bacchus,-4.495833,-22.491667,-4.495833,-22.491667,,,1350,1350,,,,,,,,,"Mata atlântica de altitude. Arvoreta 8m; folhas verdes, marca damente; frutos maduros castanho-vinosos.",UPCB0034122,UPCB0034122,
2021-05-13 10:58:35-03,Cenargen,CEN,57498,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank et Mart. ex DC.,B. M. T. Walter,2020,08,,,G. L. Farias - Pau-Brasil,153,,1988,03,07,,,Brasil,BA,PORTO SEGURO,Próximo a Casa do guarda.,-39.0647010803223,-16.4496994018555,,,68835,,,,,,,Exsicatas,1,,,,"Municipal. Doação do Banco Genético do Pau Brasil. Registro nº 350. Coleção de Referência. EMBRAPA, CEPLAC, VERACEL.",CEN00057498,CEN00057498,auto
2021-05-13 10:58:35-03,Cenargen,CEN,46616,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank et Mart. ex DC.,B. M. T. Walter,2020,08,,,Henrique Pimenta Velloso,388,,1943,04,09,,,Brasil,RJ,TERESOPOLIS,"Fazenda da Boa Fé, Picada Davis.",-42.9655990600586,-22.4122009277344,,,38539,,,,,,,Exsicatas,1,,,,Habitat: na mata.&nf;Doação do Museu Nacional Rio de Janeiro - Cat. geral Nº 38576.,CEN00046616,CEN00046616,auto
2021-06-25 18:20:42-03,UFV,VIC,30280,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank & Mart. ex DC.,"Goldeberg, R.",2006,,,,"Silva, A.F.; et al.",2563,,2006,04,21,,,Brasil,Minas Gerais,Ervália,Careço P.E. Serra do Brigadeiro,-42.6571998596191,-20.8400001525879,0,0,19783,,,,,,,,,,,,"Árvore de 8m, flores de pétalas roxas , cálice avermelhado externamente e roxo internamente , anteras vermelhas, filetes roxos.",VIC030280,VIC030280,auto
2021-06-25 18:20:42-03,UFV,VIC,30274,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank & Mart. ex DC.,"Goldeberg, R.",2006,,,,"Silva, A.F.; et al.",2557,,2006,04,21,,,Brasil,Minas Gerais,Ervália,Careço P.E. Serra do Brigadeiro,-42.6571998596191,-20.8400001525879,0,0,19783,,,,,,,,,,,,"Árvore de 8m, folhas ligeiramente discolores, flores de pétalas roxas , filetes lilazes com a base branca.",VIC030274,VIC030274,auto
2021-06-25 18:20:42-03,UFV,VIC,30278,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank & Mart. ex DC.,"Goldeberg, R.",2006,,,,"Silva, A.F.; et al.",2561,,2006,04,21,,,Brasil,Minas Gerais,Ervália,Careço P.E. Serra do Brigadeiro,-42.6571998596191,-20.8400001525879,0,0,19783,,,,,,,,,,,,"Árvore de 13m, pétalas roxas, receptáculo e cálice róseo - avermelhados ; anteras vermelhas.",VIC030278,VIC030278,auto
2021-06-17 11:44:02-03,CVRD,CVRD,14108,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Pleroma,fissinervium,,Pleroma fissinervium,Schrank et Mart. ex DC,Geovane S. Siqueira,2019,06,11,,J.R. Stehmann,4739,,2007,02,08,,América do Sul,BRASIL,ES,Linhares,Curso de Taxonomia UFMG,-40.0865,-19.147778,"40°05'11,4W","19°08'52,0S",,,,,,,,,,,,,Árvore em área antrpiada. Flores liláses. <ll>dwc_commonname:</ll> Quaresma,CVRD014108,,
