MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-30 13:20:13-03,MBM,MBM,415740,S,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D. Don) D. Don,"Cordeiro, J.",2019,02,05,,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.",5555,,2018,11,05,,Southern America,Brazil,Minas Gerais,Santana do Riacho,"Lapinha da Serra, trilha do Pico da Lapinha",-43.676389,-19.099722,-43.676389,-19.099722,,,1425,1425,,,,,,,,,Arbusto com 1 m de altura; pétalas roxas.; Campo rupestre e matinha ciliar.,MBM415740,,
2021-06-30 13:20:13-03,MBM,MBM,426541,S,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D. Don) D. Don,"Duarte, E.",2014,12,19,,"Duarte, E.",327,,2014,12,04,,Southern America,Brazil,Paraná,Dois Vizinhos,"UFTPR, Trilha próxima a agroindústria",-53.098611,-25.6925,-53.098611,-25.6925,,,,,,,,,,,,,"Arbusto, 2,5 m, flores roxas.",MBM426541,,
2020-10-01 14:23:48-03,JBB,HEPH,34545,S,Plantae,Dicotyledon,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D. Don) D.Don,"Quaresma, AS",2017,07,05,,"Quaresma, AS; Oliveira, CT",787,,2017,05,24,,Southern America,Brasil,Minas Gerais,Conceição do Mato Dentro,,-43.4375,-19.0625,-43.4375,-19.0625,,,,,,,,,,,,,,,,
2021-01-29 16:15:20-03,JBB,HEPH,37392,S,Plantae,Dicotyledon,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D. Don) D.Don,Flora do Brasil,2020,,,,"Nakajima, JN; Romero, R; Andrade, T; Casarotti, SN; Machado, AB; Rocha, FA",3824,,2004,09,14,,Southern America,Brasil,Minas Gerais,Delfinópolis,Trilha da Escada de Pedras,-46.7925,-20.331389,-46.7925,-20.331389,,,841,841,,,,,,,,,,,,
2021-02-11 17:20:17-03,UFPR,UPCB,93393,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D. Dom),"Goldenberg, R.",2018,,,,"Boscolo, D.",24,,2016,01,26,,,Brasil,São Paulo,Nazaré Paulista,Area do interior da floresta secundaria com pasto não manejado adjacente em propriedades particular.,-46.273333,-23.211667,-46.273333,-23.211667,,,830,830,,,,,,,,,"Arvore. Pedicelos apresentandotricomas. Flor com corola pentâmera com petalas roxas, estames com anteras falciformes.",UPCB0039083,UPCB0039083,
2020-12-28 10:31:31-03,ICAUFMG,MCCA,3926,S,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,,,,,"Rangel, E.B.; Mendes, P.D.; Fonseca, R.S.; Iglesias, D.T.",116,,2019,08,28,,,Brasil,Minas Gerais,Rio Pardo de Minas,Área próxima a sede. Área próxima a sede. Parque Estadual de Serra Nova e Talhado,-42.5396995544434,-15.6097002029419,-427394444.0,-156472222.0,62891,,,,,,,,,,,,,MCCA04350,MCCA04350 MCCA04350_01 MCCA04350_02,auto
2021-05-13 10:58:35-03,Cenargen,CEN,55603,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,D.Don,B. M. T. Walter,2020,08,,,Tatiana Sendulsky,993,,1968,07,16,,,Brasil,SP,SAO PAULO,Jardim Botânico e Parque do Estado.,-46.6300010681152,-23.5400009155273,,,53584,,,,,,,Exsicatas,1,,,,Doação do Instituto de Botânica - SP. São Paulo.,CEN00055603,CEN00055603,auto
2021-03-25 13:52:41-03,UNIVILLE,JOI,18414,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,"Vieira, F.C.S.",2019,06,21,,"Vieira, F.C.S.",2607,,2019,05,06,,,Brasil,Santa Catarina,Joinville,Arataca.,-48.908056,-26.309167,48º54'29''W,26º18'33''S,,,25,25,,,,,,,,,,JOI018414,JOI018414,
2019-07-02 15:55:59-03,UEM,HUEM,32911,S,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,D.Don(D.Don),R.Pacifico,2018,06,,,R.Pacifico; C.A.Rossi; D.L.Estevam,188,,2016,08,31,,,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó., Afloramentos rochosos logo atrás da estátua do Juquinha.",-43.5325,-19.261861,-43.5325,-19.261861,,,1368,1368,,,,,,,,,Arbusto ereto.,HUEM000016206,HUEM000016206,
2020-11-04 17:29:48-03,UEM,HUEM,10256,S,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,D.Don(D.Don),In Flora do Brasil,2018,05,08,,"Arrias, RL",28,,2003,04,20,,,Brasil,Paraná,Faxinal,,-51.3194007873535,-24.0002994537354,0,0,22912,,,,,,,,,,,,Arvoreta; aproximadamente 2 m de altura; flores de coloração lilás escuro; folhas muitos pilosas e suculentas.,HUEM000007360,HUEM000007360,auto
2021-03-19 17:33:22-03,UEL,FUEL,45488,PreservedSpecimen,Plantae,Tracheophyta,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,2021,03,,,"Gasper, AL; Brogni, E",1552,,2008,02,28,,,Brasil,Santa Catarina,Taió,sentido Fazenda Bretzke,-50.22,-27.0925,-50.22,-27.0925,,,802,802,,,,,,,,,UTM 577317 7003080. Florística IFSC 566.,FUEL005728,,
2021-03-19 17:33:22-03,UEL,FUEL,28862,PreservedSpecimen,Plantae,Tracheophyta,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,2021,03,,,"Nunes, LM; et al.",s.n.,,1997,04,30,,,Brasil,Paraná,Ibiporã,Fazenda Doralice,-51.0480995178223,-23.2691993713379,0,0,20625,,0,0,,,,,,,,,,FUEL005729,,auto
2021-03-19 17:33:22-03,UEL,FUEL,10193,PreservedSpecimen,Plantae,Tracheophyta,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,2021,03,,,"Pires, LA; Carneiro, D; Cunha, PD",s.n.,,1992,12,07,,,Brasil,Paraná,Londrina,Campus da UEL,-51.1627998352051,-23.3103008270264,0,0,63728,,0,0,,,,,,,,,,FUEL005731,,auto
2021-03-19 17:33:22-03,UEL,FUEL,1687,PreservedSpecimen,Plantae,Tracheophyta,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,2021,03,,,"Corsini, E",s.n.,,1985,12,05,,,Brasil,Paraná,Londrina,Campus da Universidade Estadual de Londrina,-51.1627998352051,-23.3103008270264,0,0,63728,,0,0,,,,,,,,,,FUEL005730,,auto
2021-03-19 17:33:22-03,UEL,FUEL,50989,PreservedSpecimen,Plantae,Tracheophyta,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,2021,03,,,"Gonzatti, F",528,,2012,06,11,,,Brasil,Rio Grande do Sul,Balneário Pinhal,Distrito de Magistério,-50.2327995300293,-30.2474994659424,0,0,17849,,10,10,,,,,,,,,,FUEL005727,,auto
2021-03-19 17:33:22-03,UEL,FUEL,37291,PreservedSpecimen,Plantae,Tracheophyta,,Myrtales,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,2021,03,,,"Silva, JS",241,,1974,01,31,,,Brasil,São Paulo,São Paulo,Jardim Botânico e Parque do Estado,-46.6300010681152,-23.5400009155273,0,0,53584,,0,0,,,,,,,,,,FUEL005898,,auto
2021-06-25 18:20:42-03,UFV,VIC,30585,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,heteromallum,,Pleroma heteromallum,(D.Don) D.Don,,,,,,"Paula, C.C. de; et al.",189,,,,,,,Brasil,Minas Gerais,Ouro Branco,"Serra do Ouro Branco, Área 2",-43.662222,-20.500833,-43.662222,-20.500833,,,,,,,,,,,,,"Saxícola; afloramento rochoso; arbusto de 2,00 m frequência de 2 indivíduos num raio de aprox. 5m; folhas verdes com nervuras principais avermelhadas; sépalas avermelhadas; pétalas roxa.",VIC030585,VIC030585,
