MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:25-03,UFES,SAMES,8187,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.","PintoJunior,H.V.",2019,01,15,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",365,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, flores com pétalas azul- esbranquiçada, anteras amarelas, sombra, rara.",SAMES08187,,auto
2021-03-24 17:09:25-03,UFES,SAMES,1709,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.","PintoJunior,H.V.",2019,01,15,,"Pinto Junior, H.V.; Covre, C.",258,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Herbácea com 30 centímetros habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas; abundante; sol.,SAMES01709,,auto
2021-02-11 17:20:17-03,UFPR,UPCB,92788,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R. Goldenb.","Meyer, F.S.",2018,05,,Holotype,"Azevedo, L.O. | Paula, L.F.A. | Forzza, R.C.",441,,2016,03,16,,,Brasil,Espírito Santo,Nova Venécia,"APA da Pedra do Elefant,. Pedra do Elefante",-40.456667,-18.769167,-40.456667,-18.769167,,,620,620,,,,,,,,,"Habitat: em ilha de vegetação, depressão rasa. Inselberg granítico com entorno florestado. . Flores com corola roxa. Folhas levemente discolores. Hábito:/forma de vida: subarbusto.",UPCB0035219,UPCB0035219,
2021-02-11 17:20:17-03,UFPR,UPCB,86715,PreservedSpecimen,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",,,,,Paratype,"Pinto Junior, H.V. | Covre, C.",258,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,"Pedra do Elefante, Vertente leste da Pedra do Elefante.",-40.768611,-19.290833,-40.768611,-19.290833,,,,,,,,,,,,,Herbácea com 30cm habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas; abundante; sol..,UPCB0035214,UPCB0035214,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,27394,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",L. Kollmann/12-04-2018,,,,,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2924,,2006,10,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, prop.: Ciro Ferreira",-40.665556,-18.977778,40W39'56,18S58'40,,,170,170,,,,,,,,,"Arbusto 1m, botões florais, flores roxas, frutos verdes. Vegetação rupestre.",MBML027394,MBML027394,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,27663,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",L. Kollmann/12-04-2018,,,,,"L. F. S. Magnago; V. Demuner, T. Cruz, Elias Bausen",1608,,2006,11,29,,,Brasil,Espírito Santo,Águia Branca,"Rochedo, área de afloramento rochoso, propr.: Ailton Corteleti.",-40.798611,-18.944167,40W47'55,18S56'39,,,300,300,,,,,,,,,"Arbusto 1,5m de alt. Flores e botões florais roxos. Frutos rosas. Vegetação Rupestre.",MBML027663,MBML027663,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,28714,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",L. Kollmann/12-04-2018,,,,,"L. F. S. Magnago; V. Demuner, T. Cruz, Elias Bausen",1340,,2006,09,06,,,Brasil,Espírito Santo,Águia Branca,"Rochedo, área de afloramento rochoso, propr.: Ailton Corteleti.",-40.798611,-18.944167,40W47'55,18S56'39,,,300,300,,,,,,,,,Arbusto 2m de alt. Flores roxas. Vegetação rupestre.,MBML028714,MBML028714,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,34319,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",,,,,PARATIPO,A. P. Fontana; et al,4845,,2008,02,18,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.446389,-18.782778,40W26'47,18S46'58,,,,,,,,,,,,,,MBML034319,MBML034319_1 MBML034319_2,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,39062,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",,,,,PARATIPO,"L. Kollmann; B.Schwartsburd, A.P.Fontana & P.Labiak Evangelista.",11397,,2009,01,14,,,Brasil,Espírito Santo,Nova Venécia,"APA da Pedra do Elefante. Serra de Baixo, morro lado direito na estrada para a Pedra do Elefante, afloramento rochoso. Inselbergue.",-40.4475,-18.77,40W26'51,18S46'12,,,300,300,,,,,,,,,"Arbusto 60 cm rupícola no sol, flores lilas, estames brancos, tricomas glandulares os estames lilás.",MBML039062,MBML039062,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,47036,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",L. Kollmann/12-04-2018,,,,,A. M. Assis; M.D.S. Demuner & M. B. Redighieri,2481,,2010,04,26,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante - Pedra do Elefante,-40.457611,-18.767,"40W27'27,4","18S46'1,2",,,630,630,,,,,,,,,"Arbusto rupícola; flores roxas, frutos vinaceos",MBML047036,MBML047036,
2021-01-19 14:30:51-03,MBML,MBML-HERBARIO,54419,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S. Mey, L.Kollmann & R.Goldenb.","Gonella, P.M., 2020",,,,,"P.M. Gonella; T.H. Condez, C.N. Fraga & D.R. Couto",1119,,2019,10,17,,,Brasil,Espírito Santo,Nova Venécia,"APA Pedra do Elefante. Pedra do Elefante, no topo do afloramento.",-40.456806,-18.768306,"40W27'24,5","18S46'5,9",,,600,600,,,,,,,,,Inselberg. Ilhas de vegetação sobre o afloramento rochoso. Arbusto c. 1 m alt. Flores com corola roxa.,MBML054419,MBML054419,
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,50087,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",L. Kollmann/12-04-2018,,,,,L. Kollmann; A.P. Fontana. E. Leme & M. Zanoni,10934,,2008,04,26,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, Pedra da Bandeira",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Arbusto 1m, rupestre. Flores lilás. Inflorescência vermelha",MBML050087,,auto
2020-07-10 09:47:35-03,MBML,MBML-HERBARIO,39505,,Plantae,,,,Melastomataceae,Pleroma,venetiense,,Pleroma venetiense,"F.S.Mey., L.Kollmann & R.Goldenb.",,,,,PARATIPO,L. Kollmann,11412,,2009,01,15,,,Brasil,Espírito Santo,Nova Venécia,,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,MBML039505,MBML039505,auto
