MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 08:56:42-03,NBC,NL-BOTANY,U.1524715,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,Harley RM; et al.,,,1974,02,04,,Southern America,Brazil,,,"Estado de Bahia. Serra do Sincorá. By Rio Cumbuca ca. 3km S. of Mucugé, near site of small dam on road to Cascaval.",-41.35,-13.016667,-41.35,-13.016667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1524715,NL-U1524715,
2020-02-08 08:56:42-03,NBC,NL-BOTANY,U.1524716,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,Harley RM; et al.,,,1974,01,15,,Southern America,Brazil,,,Estado de Bahia. Serra do Rio de Contas. Ca. 1km S. of Rio de Contas on side road to W. of the road to Livramento do Brumado.,-41.816667,-13.583333,-41.816667,-13.583333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1524716,NL-U1524716,
2020-02-08 08:56:42-03,NBC,NL-BOTANY,U.1524717,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,Harley RM; et al.,,,1974,01,24,,Southern America,Brazil,,,"Estado de Bahia. Serra do Rio de Contas. Near Junco, by track to Pico das Almas, ca. 15km W.N.W. of the town of Rio de Contas.",-41.916667,-13.533333,-41.916667,-13.533333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1524717,NL-U1524717,
2020-02-08 08:56:42-03,NBC,NL-BOTANY,U.1524718,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,Harley RM; et al.,,,1974,02,18,,Southern America,Brazil,,,Estado de Bahia. 6km from Filadelfia on the BA 385 to Itiuba.,-40.066667,-10.75,-40.066667,-10.75,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1524718,NL-U1524718,
2020-02-08 08:56:42-03,NBC,NL-BOTANY,U.1524719,PreservedSpecimen,Plantae,,Magnoliopsidae,Caryophyllales,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,Harley RM; et al.,,,1974,03,06,,Southern America,Brazil,,,Estado de Bahia. Serra do Curral Feio. 22km North-west of Lagoinha (which is 5.5km S.W. of Delfino) on side road to Minas do Mimoso.,-41.333333,-10.333333,-41.333333,-10.333333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1524719,NL-U1524719,
2021-03-24 17:09:50-03,UFES,SAMES,8241,PreservedSpecimen,Plantae,,,,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,"Pinto Junior,H.V.",419,,2018,03,23,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, flores amarelas, sol, habitando ilha de vegetação inselberg.",SAMES08241,,auto
2021-03-24 17:09:50-03,UFES,SAMES,8224,PreservedSpecimen,Plantae,,,,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",402,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, flores amarelas, sol abundante, habitando ilha de vegetação inselberg.",SAMES08224,,auto
2016-08-17 22:55:23-03,ASU,ASU-PLANTS,ASU0029897,PreservedSpecimen,Plantae,Magnoliophyta,,Caryophyllales,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,M. I. de A. Rodrigues,,,,,G. Hatschbach; R. Kummrow,47875,,1984,6,14,,,Brazil,Bahia,Ituaçu,"Ituaçu, 10km N.",-41.31203,-13.73472,,,,,,,,,,,,,,,Lajeados; flor amarela.,,,
2021-05-17 16:06:34-03,UNICAMP,UEC,114525,S,Plantae,Magnoliopsida,,,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,"Oliveira, A",2003,11,03,,"Aona, LYS; Belinello, R",713,,2000,08,17,,,Brazil,Minas Gerais,Grão Mogol,"28,4 Km de Caveira em direção a Salinas, BR 251, afloramento ao lado de uma torre de rádio.",-42.873333,-16.616667,-42.873333,-16.616667,,,850,850,,,,,,,,,"Erva de 20 cm comp., pétalas amarelas.",UEC157193,UEC157193,
2021-05-17 16:06:34-03,UNICAMP,UEC,122864,S,Plantae,Magnoliopsida,,,Portulacaceae,Portulaca,hirsutissima,,Portulaca hirsutissima,Cambess.,"Oliveira, A",2003,11,03,,"Tozzi, AMGA; Vilhalva, DAA",419,,2001,11,13,,,Brazil,Minas Gerais,Itacambira,,-43.345,-17.000444,-43.345,-17.000444,,,,,,,,,,,,,"Flores amarelas, crescendo em solos arenosos.",UEC157205,UEC157205,
