MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:42-03,UFES,SAMES,9687,PreservedSpecimen,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",9292,,2019,09,05,,,Brasil,Espírito Santo,Conceição da Barra,,-39.7322006225586,-18.5932998657227,-397375000.0,-186252778.0,41644,,,,,,,,,,,,Terrestre. Folha discolor. Face abaxial clara. Inflorescência esverdeada.,SAMES09687,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9068,PreservedSpecimen,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,,,,,,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.",8295,,2018,10,01,,,Brasil,Espírito Santo,Conceição da Barra,APA de Conceição da Barra. Restinga holocênica. APA de Conceição da Barra,-39.7322006225586,-18.5932998657227,-397350000.0,-186269445.0,41644,,,,,,,,,,,,"Terrestre, flor creme",SAMES09068,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4450,PreservedSpecimen,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Freitas,J.",2013,12,06,,"Ribeiro,M.; Monteiro,M.M.;Giaretta,A.O.",2,,2009,08,21,,,Brasil,Espírito Santo,Conceição da Barra,"Itaúnas. Parque Estadual de Itaúnas. Mata de restinga sobre influência de lençol freático, alagável. Trilha das borboletas.",-39.7322006225586,-18.5932998657227,,,41644,,,,,,,,,,,,"Com altura da inflorescência de 50 cm, flores verde claro, sob área sombreada. Habito: Erva terrestre",SAMES04450,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4448,PreservedSpecimen,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Freitas,J.",2013,12,06,,"Martins,R.F.A.; Faria,M.B.;Araújo-Filho,P.B.",1,,2007,08,25,,,Brasil,Espírito Santo,São Mateus,"Guriri. Vegetação de restinga, próximo ao #?#Ao Mar#?#.",-39.8588981628418,-18.716100692749,-397597222.0,-187438889.0,56510,,,,,,,,,,,,Com inflorescências. Habito: Arbusto,SAMES04448,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9686,PreservedSpecimen,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",9277,,2019,09,04,,,Brasil,Espírito Santo,São Mateus,Barra Nova.,-39.8588981628418,-18.716100692749,-397380555.0,-189586111.0,56510,,,,,,,,,,,,Terrestre. Folha discolor. Abaxial verde claro. Fruto verde.,SAMES09686,,auto
2021-05-17 15:38:43-03,UNICAMP,UEC,178879,S,Plantae,Liliopsida,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Azevedo, C",2009,02,,,"Davis, PH; Lima, A",D.61116,,1976,09,25,,,Brazil,Pernambuco,Cupira,Alt.: 450m.&nf;Wfacing granite outcrop &nf;In Bromeliad clumps.,-35.9500007629395,-8.61666965484619,0,0,11621,,,,,,,,,,,,"Flowers with pale greenish yellow tepals and darker 'lip'. Rootsfleshy, cylindrical. Leaves green.; Campo rupestre.",UEC001618,UEC001618,auto
2021-05-17 15:38:43-03,UNICAMP,UEC,94344,S,Plantae,Liliopsida,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Azevedo, C",2009,02,,,"Pansarin, ER",209,,1998,07,10,,,Brazil,São Paulo,Ubatuba,"Picinguaba, BR 101; sentido Picinguaba-Ubatuba; km 13",-45.0699996948242,-23.4300003051758,0,0,34265,,,,,,,,,,,,,UEC001616,UEC001616,auto
2021-06-30 13:23:12-03,MBM,MBM,84807,S,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Azevedo, C.",2009,02,,,"Carvalho, A.M. de; et al.; et al.",762,,1981,07,23,,Southern America,Brazil,Bahia,Camamu,"Estrada Travessão - Camamu, km 25",-39.1039009094238,-13.9447002410889,0,0,33730,,,,,,,,,,,,Crescendo em tronco dendezeiro na estrada Acaraí-Camamu. Flores esverdeadas. Região da Mata Higrófila Baiana,MBM084807,MBM084807,auto
2021-06-30 13:23:12-03,MBM,MBM,299804,S,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Azevedo, C.",2009,02,,,"Carneiro, J.",1538,,2004,07,10,,Southern America,Brazil,Bahia,Itamaraju,,-39.5311012268066,-17.0391998291016,0,0,55932,,,,,,,,,,,,"Cultivada em Jundiaí do Sul, Paraná. Unicata",MBM299804,MBM299804,auto
2021-06-30 13:23:12-03,MBM,MBM,201667,S,Plantae,,,,Orchidaceae,Prescottia,plantaginifolia,,Prescottia plantaginifolia,Lindl. ex Hook.,"Azevedo, C.",2009,02,,,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.",65227,,1996,07,07,,Southern America,Brazil,Espírito Santo,Alfredo Chaves,estrada São Bento de Urânia a Castelinho,-40.749698638916,-20.6350002288818,0,0,32447,,900,1000,,,,,,,,,"Flor verde-pálidio, labelo creme. Terrícola. Floresta atlântica. Unicata",MBM201667,MBM201667,auto
