MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:25:23-03,PUCPR,HUCP,23712,S,Plantae,Eudicotiledonea,,,Malvaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,"(Cav.) Robyns, A.","Dunaiski, A",,,,,"Dunaiski, A",3397,,2007,06,20,,,Brasil,Paraná,Curitiba,Bosque Papa João Paulo 2°,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,,,auto
2019-12-04 15:25:23-03,PUCPR,HUCP,17921,S,Plantae,Eudicotiledonea,,,Malvaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,"(Cav.) Robyns, A.","Bonaldi, R",,,,,"Bonaldi, R",223,,2007,07,14,,,Brasil,Paraná,Paranaguá,Tinguçu,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,,,auto
2020-02-08 09:59:09-03,NBC,NL-BOTANY,U 0043873,PreservedSpecimen,Plantae,,Magnoliopsidae,Malvales,Bombacaceae,Pseudobombax,grandiflorum,majus,Pseudobombax grandiflorum majus,A.Robyns,Carvalho-Sobrinho JG de,2015,12,01,,Mexia YEJ,,,1930,10,16,,Southern America,Brazil,Minas Gerais,,"Viçosa. Upper Chacha road, just outside Agriculture College.",-42.876638,-20.756822,-42.876638,-20.756822,,,,,,,,,,,,,"In remnant of forest, now cleared land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200043873 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NL-U0043873,,
2020-02-08 09:59:09-03,NBC,NL-BOTANY,U 0043879,PreservedSpecimen,Plantae,,Magnoliopsidae,Malvales,Bombacaceae,Pseudobombax,grandiflorum,majus,Pseudobombax grandiflorum majus,A.Robyns,Carvalho-Sobrinho JG de,2015,12,01,,Lindeman JC; Haas JH de,,,1967,07,05,,Southern America,Brazil,São Paulo,,"Est. São Paulo. Via Dutra to São Paulo, c. 100 km NE of the city.",-46.633333,-23.55,-46.633333,-23.55,,,,,,,,,,,,,Swampy pasture.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200043879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U0043879,,
2019-08-27 13:30:51-03,IAP,PACA-AGP,92489,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Malvales,Bombacaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,A. Robyns,,,,,,V. F. Nunes,,,1991,06,22,,,Brasil,RS,Sapiranga,Picada Verão,-51.0069007873535,-29.6380996704102,,,11711,,,,,,,,,,,,HASU 2360.,PACA092489,,auto
2021-03-24 17:09:22-03,UFES,SAMES,9635,PreservedSpecimen,Plantae,,,,Malvaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,(Cav.) A.Robyns,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.",9236,,2019,08,22,,,Brasil,Espírito Santo,Aracruz,,-40.2733001708984,-19.8202991485596,-397408333.0,-196980555.0,37987,,,,,,,,,,,,Planta com 7m de altura. Base da flor com glândulas vermelhas. Pétala na parte externa esverdeada e interna alba.,SAMES09635,,auto
2021-03-24 17:09:22-03,UFES,SAMES,9634,PreservedSpecimen,Plantae,,,,Malvaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,(Cav.) A.Robyns,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",9208,,2019,08,20,,,Brasil,Espírito Santo,Linhares,Praia de Cacimbas.,-40.0722007751465,-19.3910999298096,-397372222.0,-194797223.0,48094,,,,,,,,,,,,"Planta com 7m de altura. Flor em botão, na base anel glandular avermelhado. Cálice e corola verde-vinoso. Presença de formiga nas glândulas.",SAMES09634,,auto
2021-03-24 17:09:22-03,UFES,SAMES,3172,PreservedSpecimen,Plantae,,,,Malvaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,(Cav.) A.Robyns,"Ribeiro,M.",2010,12,01,,"Ribeiro,M.; Fanticelle,B.S.;Broggio,I.S.",346,,2010,11,01,,,Brasil,Espírito Santo,Pinheiros,Reserva Biológica Córrego do Veado. Estrada a direita da sede da reserva (aprox. 5 km).,-40.2132987976074,-18.3703002929688,,,28525,,,,,,,,,,,,"Árvore de 10 metros de alt., fruto passado (na carpoteca).",SAMES03172,,auto
2021-03-24 17:09:22-03,UFES,SAMES,3171,PreservedSpecimen,Plantae,,,,Malvaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,(Cav.) A.Robyns,"Ribeiro,M.",2011,11,17,,"Ribeiro,M.; Oliveira,I.R.;Santiago,I.B.;Rocha,T.L.",233,,2010,08,14,,,Brasil,Espírito Santo,Pinheiros,"Reserva Biológica Córrego do Veado. Floresta Alta de Tabuleiro, Trilha da Anta.",-40.2132987976074,-18.3703002929688,,,28525,,,,,,,,,,,,"Árvore de 15 m, desfolhada. Flores com a base da cálice (verde) apresentando pontos (como uma linha pontilhada) de cor vermelho escuro, corola branco-amarelado, anteras marrons.",SAMES03171,,auto
2021-03-24 17:08:44-03,UFES,SAMES,7402,PreservedSpecimen,Plantae,,,,Bombacaceae,Pseudobombax,grandiflorum,,Pseudobombax grandiflorum,(Cav.) A.Robyns,"Verdi,M.",2009,11,05,,"Verdi,M.; Tomazi,A.L.;Klemz,G.",2936,,2009,11,05,,,Brasil,Santa Catarina,Siderópolis,Barragem do Rio São Bento,-49.4244003295898,-28.5977993011475,-495900000.0,-286200000.0,23427,,479,479,,,,,,,,,Habitat: Floresta Ombrófila Densa Habito: Árvore,SAMES07402,,auto
