MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-02-20 13:41:54-03,INPA,INPA-CARPOTECA,53065,Carpo,Plantae,Dicotyledon Com-Clade,,Malvales,Malvaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG de",2011,06,,,"Lisbôa, PLB",479,,1975,09,29,,Southern America,Brasil,Mato Grosso,Aripuanã,"Dardanelos, mata que cerca o salto das Andorinhas.",-59.459400177002,-10.1667003631592,0,0,273871,,,,,,,,,,,,,INPA0053065,INPA0053065 INPA0053065_e INPA0053065_nd INPA0053065_num,auto
2019-02-20 13:41:54-03,INPA,INPA-CARPOTECA,138048,Carpo,Plantae,Dicotyledon Com-Clade,,Malvales,Malvaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG de",2015,12,,,"Ferreira, CAC",6412,,1985,10,10,,Southern America,Brasil,Mato Grosso,Santa Terezinha,"Fazenda Codeara, Serra da Viúva, 12 km S da cidade, Faz. Codeara Serra da Viúva, a 12 km S da cidade.",-50.583333,-10.666667,-50.583333,-10.666667,,,,,,,,,,,,,,INPA0138048,INPA0138048 INPA0138048_1 INPA0138048_1e INPA0138048_e INPA0138048_e1,
2021-03-18 16:26:57-03,UFPI,TEPB,18306,PreservedSpecimen,Plantae,,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,,,,,,,L. EMPERAIRE,2676,,1985,01,05,,,Brasil,Piauí,São Raimundo Nonato,,-42.6994018554688,-9.01527976989746,,,45407,,,,,,,,,,,,Ambiente: Cerrado,,,auto
2019-10-18 16:49:48-03,IAP,PACA-AGP,105245,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Malvales,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart.) A. Robyns,,,,,,,,,1998,08,25,,,Brasil,RS,Aratiba,,-52.3003005981445,-27.3941993713379,,,18075,,,,,,,,,,,,"Xiloteca nº 883&nf;Altura: 10,60m; Circunferência: 91cm; Fuste: 2,30m.",PACA105245,,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,85179,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Duarte, MC",2006,05,,,"Grecco, MDN; et al.",19,,1995,08,22,,,Brazil,São Paulo,Onda Verde,Fazenda São João.&nf;20] 31' 34''S e 20º 37' 06''S ; 11º 29' e 48º 19' 10''W.,-48.191389,-20.526111,-48.191389,-20.526111,,,,,,,,,,,,,Árvore de 10m.; flor grande branca e com fruto.; Mata de Planalto.,UEC002304,UEC002304,
2021-05-17 15:48:02-03,UNICAMP,UEC,127219,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,,,,,,"Salis, SM; et al.",880,,1995,05,05,,,Brazil,Mato Grosso,Cáceres,Morro na Glera Facão.,-58.292056,-16.36875,-58.292056,-16.36875,,,,,,,,,,,,,"Árvore, 6m alt.&nf;; Cerrado - substrato regossolo, relevo ondulado.",UEC002295,UEC002295,
2021-05-17 15:48:02-03,UNICAMP,UEC,165303,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Walter, BMT",2000,08,,,"Guarino, ESG; Pereira, JB; Souza, SP",356,,2000,08,02,,,Brazil,Distrito Federal,Brasília,"Borda da Mata do Córrego do Bananal, abaixo do CENARGEN.",-48,-15.866667,-48,-15.866667,,,,,,,,,,,,,"Árvore de cerca de 7m, flor alva.; Borda da mata. Latossolo vermelho-escuro.",UEC036421,UEC036421,
2021-05-17 15:48:02-03,UNICAMP,UEC,913,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2004,09,,,"Heringer, EP",12803,,1973,06,15,,,Brazil,Distrito Federal,Brasília,"Jardim Zoológico de Brasília, Nátiva do zoológico de Brasília.",-47.9296989440918,-15.7797002792358,0,0,70570,,,,,,,,,,,,"Árvore com 5m de altura, flores com estamos numerosos, brancas; pétalas enroladas após a antese.; Solos Úmidos",UEC099010,UEC099010,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,916,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2004,09,,,"Heringer, EP",12808,,1973,06,20,,,Brazil,Distrito Federal,Brasília,Perto da pone norte do lago do Paranóa.,-47.9296989440918,-15.7797002792358,0,0,70570,,,,,,,,,,,,"Árvore com 10m de altura, flores vitosas, com estamos brancos, pétalas brancas por dentro e marrom escuro por fora, visitadas por beija-flores.; Em cerrado.",UEC002303,UEC002303,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,910,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,,,,,,"Ratter, JA; et al.",R.3740,,1976,10,08,,,Brazil,Distrito Federal,Brasília,"Vargem Bonita, Fazenda Água Limpa - 18km SSW of Brasilia TV tower.",-47.9296989440918,-15.7797002792358,0,0,70570,,,,,,,,,,,,"Tree, 5m tall, 20cm in diameter at breask.. ??; Margem do rio, Floresta de Galeria.",UEC002297,UEC002297,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,93489,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2004,09,,,"Cavalcanti, TB; et al.",998,,1991,10,11,,,Brazil,Goiás,Minaçu,Estrada Nova Minaçu - Serra da Mesa. 24km do Asfalto.&nf;Área de influência direta.,-48.2200012207031,-13.5331001281738,0,0,54065,,,,,,,,,,,,"Arbóreo.&nf;Frutos imaturos verdes, 4,5m de altura, frutos maduros paleaceos.; Campo sujo - próximo mata galerei - substrato areno-pedregoso.&nf;Relevo ondulado.&nf;900m alt.",UEC099007,UEC099007,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,93563,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2006,03,,,"Silva, GP; et al.",1202,,1992,07,08,,,Brazil,Goiás,Niquelândia,"6.7km ao sul da GO-237; a 2km da Serra da Fazenda ou RO fino, área de influência da UHE Serra da Mesa.",-48.4597015380859,-14.4738998413086,0,0,74171,,,,,,,,,,,,"Árvore de 8,5m - 15DAp.&nf;Filetes e estiletes brancos; cálice vináceo e avermelhado no ápice; pétalas internamente branca; internamente uma lateral branca; com centro dourado com tons degrade até o outro bordo; anters extramineas.; Cer",UEC099008,UEC099008,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,44625,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Bocage, AL",1995,08,20,,"Oliveira Filho, AT",340,,1985,06,26,,,Brazil,Mato Grosso,Cuiabá,km 14 da rod. MT 305.,-56.0966987609863,-15.5960998535156,0,0,74875,,,,,,,,,,,,Árvore ca. de 5m alt. Flores ferrugíneas.; Cerrado.,,,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,44625,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Bocage, AL",1995,08,20,,?,340,,1985,06,26,,,Brazil,Mato Grosso,Cuiabá,km 14 Rod.-305.,-56.0966987609863,-15.5960998535156,0,0,74875,,,,,,,,,,,,Árvore ca. 5m alt.&nf;Flores ferugíneas.; Cerrado.,UEC099006,UEC099006,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,145852,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2011,07,28,,"Furtado, E",s.n.,,,,,,,Brazil,Mato Grosso,Diamantino,,-56.4460983276367,-14.4085998535156,0,0,134442,,,,,,,,,,,,Frutos na carpoteca.,UEC002300,UEC002300,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,123725,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2011,07,28,,"Bortolotto, IM; et al.",B.569,,1998,05,27,,,Brazil,Mato Grosso do Sul,Corumbá,Logradouro - Distrito de albuquerque.&nf;107alt.&nf;19º 23' 43''S ; 57º 23' 23''W.,-57.6533012390137,-19.0091991424561,0,0,295160,,,,,,,,,,,,"Árvore, cerca de3m; flor; fruto;; Mata no fundo do quintal.",UEC099004,UEC099004,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,102853,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2004,09,,,"Kinoshita, LS; Simões, AO; Forster, W",98272,,1998,10,06,,,Brazil,Minas Gerais,Carrancas,Fazenda Grão Mogol,-44.6425018310547,-21.4874992370605,0,0,21143,,,,,,,,,,,,Árvore ca. 3 metros.; Campo Rupestre.,UEC099003,UEC099003,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,135763,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,,,,,,"Simões, AO; Jannini, AW",221,,1998,08,16,,,Brazil,Minas Gerais,Carrancas,"Serra de bicas, propriedade do Sr. Toninho.",-44.6425018310547,-21.4874992370605,0,0,21143,,,,,,,,,,,,"Árvore, cerca de 8m, flores brancas, cálice vináceo, botões atro-purpúreos. Em beira de estrada.",UEC099001,UEC099001,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,953,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2004,09,,,"Rosário, CS",70,,1978,06,12,,,Brazil,Pará,São Félix Do Xingu,"Ponto 8, folha 22 VD.",-51.9949989318848,-6.64472007751465,0,0,354043,,,,,,,,,,,,Árvore de 5m de altura; frutos imaturos verdes. Campo de cerrado.,UEC099002,UEC099002,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,87421,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2015,12,,,"Souza, VC; Miyagi, PH; Moncaio, E",6161,,1994,06,03,,,Brazil,Paraná,Sengés,Ca. de 6 km da divisa com o Estado de São Paulo.,-49.4636001586914,-24.1128005981445,0,0,55682,,,,,,,,,,,,Árvore ca. de 10m alt. SEm folhas. Cálice vinho -escuro; pétalas no botão negras; quando abertas alvas; filetes alvos.; Campo Rupestre;.,UEC136092,UEC136092,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,108651,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Duarte, MC",2006,05,,,"Christianini, SR; Christianini, AC",726,,1997,12,02,,,Brazil,São Paulo,Agudos,Fazenda da Cia. Cervejaria Brahma.,-48.9799995422363,-22.4599990844727,0,0,52219,,,,,,,,,,,,"Árvore, 11m de altura, caule com fissura retangulares, folhas cartáceas.; Borda da mata;",UEC002298,UEC002298,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,75618,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2015,12,,,"Bernacci, LC; Andrade, PRP",10a,,1994,09,06,,,Brazil,São Paulo,Campinas,Parque do IAC. Av. Barão de Itapura,-47.060001373291,-22.8999996185303,0,0,23900,,,,,,,,,,,,"Árvore ca. de 8-10m alt. Flores brancas, frutos com paina ferrugínea. Folhas coletadas a 10/11/1994",UEC136094,UEC136094,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,946,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Carvalho-Sobrinho, JG",2011,07,28,,"Toledo, DV; Gianotti, E",5525,,1977,07,13,,,Brazil,São Paulo,Itirapina,Estação Experimental de Itirapina.,-47.8199996948242,-22.25,0,0,22843,,,,,,,,,,,,Árvore de 7m; pétalas internamente branca e externamente marrom.,UEC002299,UEC002299,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,88934,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,"Duarte, MC",2006,09,,,"Barreto, KD; et al.",01304,,1993,09,23,,,Brazil,São Paulo,Itirapina,"Rodovia Washington Luiz.&nf;22º10' 9,3''S&nf;47º 47' 1,4'''W",-47.8199996948242,-22.25,0,0,22843,,,,,,,,,,,,"Árvore, 2m alt.; borda de mata, frutificação, sadia, tronco suberoso, sem latex, flor ausente, fruto verde imaturo.; Cerrado.",UEC099005,UEC099005,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,068841,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,,,,,,"Souza, WS; Britez, RM",25339,,1987,07,13,,,Brazil,São Paulo,Itu,Área de Proteção ambiental.,-47.2900009155273,-23.2600002288818,0,0,22309,,,,,,,,,,,,,UEC002301,UEC002301,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,171152,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,,,,,,"Campos-Rocha, A",932,,2012,07,24,,,Brazil,São Paulo,Nova Odessa,Coletado em cultivo no Jardim Botânico Plantarum; canteiro C12. Originário do habitat natual em Frutal - MG.,-47.2900009155273,-22.7700004577637,0,0,8440,,,,,,,,,,,,"Árvore, caduca, flores de pétalas (internamente), filete e estilete brancos, botões florais cinéreos, ca. 6m alt. Flores cálice verde-vináceo (com glândulas). Frutos ausentes.",UEC045578,UEC045578,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,109801,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A.Robyns,,,,,,"Marcondes-Ferreira, W; Semir, J; Hind, DJN; et al.",1580,,1997,11,06,,,Brazil,São Paulo,Pedregulho,Estreito,-47.4700012207031,-20.25,0,0,27552,,,,,,,,,,,,"Árvore até 6m, estéril, pecíolos avermelhados, ramos jovens glaucos.; Cerrado - campo rupestre, perto do Rio Grande.",UEC002302,UEC002302,auto
2021-06-30 13:19:06-03,MBM,MBM,387407,S,Plantae,,,,Malvaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A. Robyns,"Michelon, C.",,,,,"Michelon, C.",1440,,2012,07,03,,Southern America,Brazil,Paraná,Telêmaco Borba,UHE Mauá,-50.706944,-24.100556,-50.706944,-24.100556,,,520,750,,,,,,,,,"Árvore decídua, flores brancas.",MBM387407,MBM387407,
2021-06-30 13:19:06-03,MBM,MBM,389697,S,Plantae,,,,Malvaceae,Pseudobombax,longiflorum,,Pseudobombax longiflorum,(Mart. & Zucc.) A. Robyns,"Selusniaki, M.",2012,07,10,,"Perret, L.",29,,2012,07,10,,Southern America,Brazil,Paraná,Telêmaco Borba,UHE Mauá,-50.706944,-24.100556,-50.706944,-24.100556,,,520,750,,,,,,,,,,MBM389697,MBM389697,
