MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 15:48:02-03,UNICAMP,UEC,949,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,"Carvalho-Sobrinho, JG",2015,12,,,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V",5867,,1977,09,08,,,Brazil,Espírito Santo,Colatina,"Vale do Pancas, Ca. de 60 km noroeste de Colatina.",-40.6305999755859,-19.539400100708,0,0,57036,,,,,,,,,,,,Arbusto de 2m; estames brancos.; Em encosta de rochas graníticas.,UEC136090,UEC136090,auto
2021-05-17 15:48:02-03,UNICAMP,UEC,88808,S,Plantae,Magnoliopsida,,,Bombacaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,"Carvalho-Sobrinho, JG",2016,09,,,"Lombardi, JA",1422,,1996,10,17,,,Brazil,Minas Gerais,Carangola,Estrada Realeza/Carangola - Lado direito,-42.0293998718262,-20.7331008911133,0,0,21913,,,,,,,,,,,,"Árvore com aproximadamente 3 metros, folhas jovens carnosas, frutos imaturos verdes.; Entre pedras, na encosta de morro.",UEC136091,UEC136091,auto
2021-06-17 11:43:58-03,CVRD,CVRD,11648,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,Geovane S. Siqueira,2020,01,30,,"Siqueira, G.S.",434,,2008,09,08,,América do Sul,BRASIL,ES,Jaguaré,Próx. A Cachoeira do Bereco,-40.200343,-18.886159,"-40,200343","-18,886159",,,120,120,,,,,,,,,Col.Adicional: Robson Lopes & Marcos Del Piero <ll>dwc_commonname:</ll> Paineira da pedra,CVRD011648,,
2021-06-17 11:43:58-03,CVRD,CVRD,14977,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,Geovane S. Siqueira,2020,01,30,,"Siqueira, G.S.",979,,2014,08,20,,América do Sul,BRASIL,ES,Jaguaré,,-40.200583,-18.886667,"40°12'02,1W","18°53'12,0S",,,125,125,,,,,,,,,<ll>dwc_commonname:</ll> Paineira da pedra,CVRD014977,CVRD014977,
2021-06-17 11:43:58-03,CVRD,CVRD,15307,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,Geovane S. Siqueira,2020,01,30,,"Folli, D.A.",7372,,2015,06,03,,América do Sul,BRASIL,ES,Jaguaré,,-40.076099395752,-18.9055995941162,,,43085,,73,73,,,,,,,,,<ll>dwc_commonname:</ll> Paineira da pedra,CVRD015307,,auto
2021-06-17 11:43:58-03,CVRD,CVRD,8844,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,Geovane S. Siqueira,2020,01,30,,"Luz, A.A. da",216,,2004,08,17,,América do Sul,BRASIL,MG,Aimorés,Inst. Terra.,-41.0638999938965,-19.4958000183105,,,54161,,,,,,,,,,,,<ll>dwc_commonname:</ll> Paineira da pedra,CVRD008844,,auto
2020-01-15 17:59:28-03,USP,SPF,181867,PreservedSpecimen,Plantae,,,,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,"Carvalho-Sobrinho, JG",2016,09,,,"El Ottra, JHL",17,,2007,05,23,,,Brasil,Minas Gerais,Santana do Riacho,,-43.61525,-19.306472,-43.61525,-19.306472,,,959,959,,,,,,,,,,SPF00181867,,
2021-05-18 11:17:32-03,UEFS,HUEFS,176663,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,,,,,,"Queiroz, L.P.de",15293,,2011,05,30,,,Brasil,Espírito Santo,Teófilo Otoni,"42 Km E de Teófilo Otoni na rodovia Br-418, 15 km a leste do entroncamento para Pedro Versiani.",-41.191667,-17.9125,41W11'30'',17S54'45'',,,280,280,,,,,,,,,Mata atlântica. Floresta estacional semidecidual e afloramento de gnaiss.,HUEFS0176663,HUEFS0176663,
2021-05-18 11:17:32-03,UEFS,HUEFS,166695,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,J.G.Carvalho-Sobrinho,2016,,,,"Fernandes, H.Q.B.",2801,,1989,09,07,,,Brasil,Espírito Santo,Nova Venécia,Serra de Baixo.Vale do Corrégo Boa Esperança.À 14 Km SW de N.,-40.466667,-18.8,40W28',18S48',,,,,,,,,,,,,Rupestre com formação de moitas de arbustos em meio a pedra nua. Local pouco íngreme.,HUEFS0166695,HUEFS0166695 HUEFS0166695_e1,
2021-05-18 11:17:32-03,UEFS,HUEFS,166703,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,C.D.M.Ferreira,2018,08,,,"Demuner, V.",2968,,2006,10,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, propr. Ciro Ferreira.",-40.665556,-18.977778,40W39'56'',18S58'40'',,,170,600,,,,,,,,,,HUEFS0166703,HUEFS0166703,
2021-05-18 11:17:32-03,UEFS,HUEFS,166710,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,C.D.M.Ferreira,2018,08,,,"Magnago, L.F.S.",1132,,2006,07,26,,,Brasil,Espírito Santo,Águia Branca,"Pedra da Bandeira, Santa Luzia,prop. Ciro Ferreira.",-40.665556,-18.977778,40W39'56'',18S58'40'',,,170,600,,,,,,,,,,HUEFS0166710,HUEFS0166710,
2021-05-18 11:17:32-03,UEFS,HUEFS,214560,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malvales,Malvaceae,Pseudobombax,petropolitanum,,Pseudobombax petropolitanum,A.Robyns,G.S.Siqueira,2020,01,,,"Siqueira, G.S.",979,,2014,08,20,,,Brasil,Espírito Santo,Jaguaré,Cachoeira do Bereco. Estrada sentido para Fatima.,-40.200556,-18.886667,40W12'2'',18S53'12'',,,,,,,,,,,,,,HUEFS0214560,HUEFS0214560 HUEFS0214560_01 HUEFS0214560_e1,
