MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-07-23 12:17:27-03,CEPLAC,CEPEC,125666,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,,SpeciesLink/lacunas,,,,,L. Kollmann,10694,,2008,02,19,,,Brasil,Espírito Santo,NOVA VENÉCIA,Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo. Pedra do Elefante.,0,-18.766944,,18S46'1,,,,,,,,,,,,30/12/2008,,,,
2020-07-23 12:17:27-03,CEPLAC,CEPEC,125922,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,,SpeciesLink/lacunas,,,,,A. P. Fontana,4831,,2008,02,18,,,Brasil,Espírito Santo,NOVA VENÉCIA,Serra de Baixo. Pedra da Torre.,-40.446389,-18.782778,40W26'47,18S46'58,,,,,,,,,,,,18/02/2008,,,,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,34940,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,L.Menini Neto/10-08-2010,,,,,A. P. Fontana; et al,4831,,2008,02,18,,,Brasil,Espírito Santo,Nova Venécia,"Serra de Baixo, Pedra da Torre",-40.446389,-18.782778,40W26'47,18S46'58,,,,,,,,,,,,,,MBML034940,MBML034940,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,43202,,Plantae,,,,Orchidaceae,Pseudolaelia,aff. citrina,,Pseudolaelia aff. citrina,Pabst,A.P. Fontana/III-2009,,,,,"A. P. Fontana; F. Fadini, C. Esgario & L.N. Lima",1379,,2005,04,23,,,Brasil,Espírito Santo,Itaguaçu,"(divisa com Baixo Guandú) Serra do Sobreiro, Pedra do Caparaó, vegetação herbácea arbustiva",-40.980556,-19.741389,40W58'50,19S44'29,,,1000,1000,,,,,,,,,"Rupestre, heliófila. Floresceu em cultivo. Flores com sépalas e pétalas rosadas e labelo lilás com calosidade branca",MBML043202,MBML043202,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,23691,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,A.P.Fontana & L.Kollmann/2004,,,,,A. P. Fontana; et al,883,,2004,04,10,,,Brasil,Espírito Santo,Itaguaçu,Pedra do Caparaó,-40.981111,-19.741389,40W58'52,19S44'29,,,,,,,,,,,,,"Heliófila, rupestre, pseudobulbosa, lilás, folhas verdes c/ margens lilás, inflorescência vináceo, ovário lilás. Sépala dorsal c/ parte vende c/ base c/ três nervuras vináceo e ápice com cinco nervuras vináceo e ventre verde amarelado",MBML023691,MBML023691,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,24005,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,,,,,,M. Frey; et al,514,,2003,06,13,,,Brasil,Minas Gerais,Mutum,"Imbiruçu, Pedra Santa",-41.439444,-19.814722,41W26'22,19S48'53,,,,,,,,,,,,,"Folhas arroxeadas e flores amarelas com dorso roxo. Ocorre num inselberg granítico de altitude aproximada de 1200 metros, evitando áreas muito vegetalizadas, consorciado com vellozias e bromélias que crescem no litosolo.",MBML024005,MBML024005,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,24344,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,L. Menini Neto/10-VIII-2010,,,,,A. P. Fontana; et al,1243,,2005,03,09,,,Brasil,Espírito Santo,Santa Leopoldina,"Luxemburgo, Pedra Preta",-40.614444,-20.173056,40W36'52,20S10'23,,,,,,,,,,,,,"Rupestre, heliófila. Folhas verdes com base roxa; pseudobulbos verdes c/ bainha paleáceas, multisulcados; inflorescência marrom com bainhas paleáceas, 3 nós, flores c/ sépalas amarelas carenadas no dorso, pétalas amarelas c/ carena na",MBML024344,MBML024344,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,25454,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,L. Menini Neto/10-VIII-2010,,,,,A. P. Fontana; et al,1557,,2005,07,16,,,Brasil,Espírito Santo,São Roque do Canaã,Alto Misterioso,-40.775278,-19.796944,40W46'31,19S47'49,,,,,,,,,,,,,"Herbácea, heliófila, rupestre, flores amarelas esverdeadas com dorso avermelhado.",MBML025454,MBML025454,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,26772,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,L. Menini Neto/10-VIII-2010,,,,,"V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen",1623,,2006,01,18,,,Brasil,Espírito Santo,Marilândia,"Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini",-40.551111,-19.348333,40W33'4,19S20'54,,,150,150,,,,,,,,,"Rupícola, botões florais, flores com pétalas amarelas e labelo rosa, (CULTIVO). Solo raso, sobre rocha, (Cruzeiro a gruta).",MBML026772,MBML026772,
2020-07-10 09:48:34-03,MBML,MBML-HERBARIO,27402,,Plantae,,,,Orchidaceae,Pseudolaelia,citrina,,Pseudolaelia citrina,Pabst,L. Menini Neto/10-VIII-2010,,,,,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2940,,2006,10,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, prop.: Ciro Ferreira",-40.665556,-18.977778,40W39'56,18S58'40,,,170,170,,,,,,,,,"Herbácea, botões florais, pétalas amarelas, labelo lilás. Vegetação rupestre.",MBML027402,MBML027402,
