MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:42-03,UFES,SAMES,1164,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.",169,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; bulbo marrom; fruto roxo-esverdeado; flores rosa; abundante; sol pleno.,SAMES01164,,auto
2021-03-24 17:09:42-03,UFES,SAMES,1159,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Pinto Junior, H.V.; Covre, C.",145,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando afloramento rochoso; folhas verdes; flores rosa-arroxeado; sol pleno.,SAMES01159,,auto
2021-06-30 13:23:12-03,MBM,MBM,398237,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Neto, L.M.; Forzza, R.C.; Saavedra, M.M.; Silva, J.C.; Forzza, R.C.; Saavedra, M.M.; Silva, J.C.",755,,2009,05,28,,Southern America,Brazil,Minas Gerais,Ataléia,"Estrada vicinal na entrada da cidade, em direção à Roncamento, a 10 Km de Ataléia, próximo ao Rio do Norte, após o Córrego dos Macados.",-41.153889,-18.013889,-41.153889,-18.013889,,,282,282,,,,,,,,,"Erva epífita, sobre Vellozia plicata, grande população. Pseudobolbos verde-claros, coberto por bainha estremíneas, os mais antihos avermelhados. Flores rósea-claro e rósea-escuro, coluna roxa, base do labelo com lamelas lilases.; Ins",MBM398237,MBM398237,
2021-04-30 16:33:06-03,JBB,HEPH,21174,S,Plantae,Monocotyledon,,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(W.Hoehne) Porto & Brade,"Salles, AEH",2004,11,15,,"Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Jesus, FPR de",3375,,2004,11,15,,Southern America,Brasil,Minas Gerais,Datas,,-49.691111,-26.440833,-49.691111,-26.440833,,,,,,,,,,,,,ORQ 2081,,,
2019-11-01 15:15:33-03,UnB,UB,31051,PreservedSpecimen,Plantae,Monocotyledonae,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,"Braga, PIS",1982,07,,,"Krieger, L; Renato",6923,,1982,06,06,,Southern America,Brasil,Espírito Santo,Guarapari,"No serrão, em paredão de granito, junto as moitas de Velloziaceae",-40.5110015869141,-20.6580009460449,0,0,28401,,,,,,,,,,,,"Labelo com veias arroxeadas escuras, com parte central para cima branco leitoso.; Flor roxa; .",UB0019049,UB0019049,auto
2021-06-13 16:41:00-03,NY,NYBG,533776,PreservedSpecimen,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,G. F. J. Pabst,,,,,A. P. Duarte,13977,,1971,05,19,,South America,Brazil,Espírito Santo,Baixo Guandu,"N, 3 km antes do B. Guandu",-41.0158,-19.5189,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386178' target='other'> <mi>dwc_moreinfo</mi></a>,NY00533776,NY00533776_01,
2021-06-13 16:41:00-03,NY,NYBG,533777,PreservedSpecimen,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,G. F. J. Pabst,,,,,A. P. Duarte,13977,,1971,05,19,,South America,Brazil,Espírito Santo,Baixo Guandu,"Norte, 3 km antes de Barra do Guandu",-41.0158,-19.5189,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386179' target='other'> <mi>dwc_moreinfo</mi></a>,NY00533777,NY00533777_01,
2021-06-13 16:41:00-03,NY,NYBG,533778,PreservedSpecimen,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,G. F. J. Pabst,,,,,H. S. Irwin,22541,,1969,01,24,,South America,Brazil,Minas Gerais,,Vicinity of Datas,-43.6556,-18.44535,,,,,1300,1300,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386177' target='other'> <mi>dwc_moreinfo</mi></a>,NY00533778,NY00533778_01,
2020-04-27 16:10:58-03,UFES,VIES,22469,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,"Dal col, A.C.S.",2013,06,01,,"Dal col, A.C.S.; Rodrigues Filho, J.",63,,2013,06,01,,,Brasil,Espírito Santo,Guarapari,Parque Natural Municipal Morro da Pescaria.,-40.5110015869141,-20.6580009460449,,,28401,,,,,,,,,,,,,VIES022469,VIES022469,auto
2021-06-10 16:18:19-03,UFES,VIES,12571,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,s.col.,,,,,,,,Brasil,Espírito Santo,Vila Velha,João Goulart.,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,,VIES012571,VIES012571,auto
2020-04-27 16:10:58-03,UFES,VIES,26055,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,"Gomes, J.M.L.",2007,04,01,,"Gomes, J.M.L.",3009,,2007,04,01,,,Brasil,Espírito Santo,Vila Velha,Morro do Penedo.,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,,VIES026055,VIES026055,auto
2019-06-27 10:26:07-03,UFES,VIES,4636,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,"Fraga, C.N.",,,,,"Pereira, O.J.; Gomes, J.M.L. & Passamani, J.A.",2043,,1989,06,20,,,Brasil,Espírito Santo,Vitória,Campus da UFES.,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,,,,,,VIES004636,VIES004636 VIES004636_1,auto
2019-06-27 10:26:07-03,UFES,VIES,26405,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,"Cardoso, W.C.",2011,,,,"Cardoso, W.C.; Silva, L.A.; Tavares, D.J. & Barros, P.H.D.",9,,2011,08,15,,,Brasil,Espírito Santo,Vitória,Morro da Gamela.,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,,,,,,VIES026405,VIES026405,auto
2020-04-27 16:10:58-03,UFES,VIES,16258,S,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,L. Menini Neto,2011,05,13,,"Assis, A.M.",578,,1998,09,02,,,Brasil,Espírito Santo,Vitória,Reserva Biológica de Camburi.,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,,,,,,VIES016258,VIES016258,auto
2021-05-18 10:51:16-03,UEFS,HUEFS,212831,PreservedSpecimen,Plantae,Angiospermae,Lilianae,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Menini Neto, L.",755,,2009,05,28,,,Brasil,Minas Gerais,Ataléia,"Estrada vicinal na entrada da cidade, em direção à Roncamento, a 10 Km de Ataléia, próximo ao Rio do Norte, após o Córrego dos Macados.",-41.153889,-18.013889,41W9'14'',18S0'50'',,,282,282,,,,,,,,,Inselberg.,HUEFS0212831,HUEFS0212831,
2021-05-18 10:51:16-03,UEFS,HUEFS,185751,PreservedSpecimen,Plantae,Angiospermae,Lilianae,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Menini Neto, L.",520,,2008,05,27,,,Brasil,Rio de Janeiro,Campos,Morro do Itaoca. Afloramento de granito próximo a uma pedreira.,-41.4575,-21.788611,41W27'27'',21S47'19'',,,,,,,,,,,,,,HUEFS0185751,HUEFS0185751,
2021-05-18 10:51:16-03,UEFS,HUEFS,238547,PreservedSpecimen,Plantae,Angiospermae,Lilianae,Asparagales,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Vieira, T.L.",278,,2017,08,12,,,Brasil,Bahia,Boa Nova,Antenas próximas ao aterro sanitário de Boa Nova.,-40.2075004577637,-14.3625001907349,,,31265,,,,,,,,,,,,Caatinga sobre afloramento.,HUEFS0238547,HUEFS0238547,auto
2020-11-04 12:17:39-03,ESALQ,ESA,21583,PreservedSpecimen,Plantae,Magnoliophyta,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Barde,"Forster, W.",,,,,"Sakuragui, C.M. et al.",,,1994,03,17,,,Brasil,Minas Gerais,Mato Verde,,-42.8664016723633,-15.3971996307373,,,24219,,,,,,,,,,,,,ESA021583,,auto
2020-07-02 18:55:45-03,UFJF,CESJ,66135,PreservedSpecimen,Plantae,Angiosperma,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,L. Menini Neto,2011,,,,L. Menini Neto; C. van den Berg,768,,2009,12,01,,América do Sul,Brasil,Bahia,Maracás,,-40.4308013916016,-13.4411001205444,0,0,50558,,,,,,,,,,,,"Erva epífita, sobre Velloziaceae, no campo rupestre, formando grande população. Pseudobulbos verdes, matizados de vináceo, folhas verde-escuras, frutos imaturos verdes. Apenas um indivíduo florido, flores com sépalas e pétalas róseas, labelo róseo com má",CESJ066135,,auto
2019-11-21 14:40:58-03,UFJF,CESJ,72380,PreservedSpecimen,Plantae,Angiosperma,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,L.F.A. de Paula,2018,04,10,,L.F.A. de Paula; L.O. Azevedo; S. Porembski; L. Bondi Macedo; L. Gillerot,1165,,2018,03,23,,América do Sul,Brasil,Minas Gerais,Nanuque,Pedra do Fritz,-40.366667,-17.656944,-40.366667,-17.656944,,,406,406,,,,,,,,,Epífita em Vellozia plicata. Flores róseas. Habitat: ilha de vegetação em afloramento rochoso.,CESJ072380,,
2020-12-11 11:44:51-03,UFMG,BHCB,105491,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,2014,04,29,,"Salino, A; Almeida, TE; Heringer, G; Viana, MM",11701,,2007,03,12,,Southern America,Brasil,Minas Gerais,Rio Pardo de Minas,"Parque Estadual da Serra Nova, Distrito de Serra Nova. Cadeia do Espinhaço",-42.735833,-15.615472,-42.735833,-15.615472,,,810,810,,,,,,,,,"Epífita em Vellozia (canela-de-ema), no Cerrado. Flores liláses e labelos com listras amarelas.; Área com predomínio de Campos Rupestres e Matas de Galeria.",BHCB014461,,
2020-12-11 11:44:51-03,UFMG,BHCB,106285,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Mota, NFO; Viana, PL; Souza, D",636,,2007,02,23,,Southern America,Brasil,Minas Gerais,São Gonçalo do Rio Preto,Parque Estadual do Rio Preto,-43.322111,-18.165111,-43.322111,-18.165111,,,1100,1100,,,,,,,,,"Erva epífita em Vellozia. Flores rosa, com calo do labelo branco",,,
2020-12-11 11:44:51-03,UFMG,BHCB,128088,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,2014,04,29,,"Mendes, MS; Brina, AE; Ranieri, BD; et al.",552,,2008,08,,,Southern America,Brasil,Bahia,Caetité,"Região de Brejinho das Ametistas, Area da Bahia mineração",-42.537222,-14.358889,-42.537222,-14.358889,,,970,970,,,,,,,,,Herbáceo; Campo rupestre sobre canga,BHCB001501,BHCB001501,
2020-12-11 11:44:51-03,UFMG,BHCB,131297,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,2014,04,29,,"Viana, PL; Mota, NFO; Perillo, LN; Carmo, FF; Freitas, GHS; Jorge, TB; Leopoldo, BF",4285,,2009,06,13,,Southern America,Brasil,Minas Gerais,Monte Azul,base do pico da Formosa,-42.816111,-15.231389,-42.816111,-15.231389,,,1388,1388,,,,,,,,,Epífita em Vellozia sp. Flores roxas; Campo rupestre sobre quartzito,BHCB014459,,
2020-12-11 11:44:51-03,UFMG,BHCB,159483,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,2012,04,01,,"Paula, LFA de; Augsten, M",245,,2011,04,16,,Southern America,Brasil,Minas Gerais,Teófilo Otoni,"Afloramento rochoso lado esquerdo da MG 418, cerca de 30 km norte de Teófilo Otoni",-41.260944,-17.855972,-41.260944,-17.855972,,,560,560,,,,,,,,,,BHCB005938,,
2021-06-08 16:23:11-03,UFMG,BHCB,203062,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Junqueira, PA; Meyer, PB",411,,2019,11,07,,Southern America,Brasil,Minas Gerais,Porteirinha,Parque Estadual de Serra Nova e Talhado,-42.771667,-15.803056,-42.771667,-15.803056,,,0,0,,,,,,,,,Fruto; Erva; Epífita de Vellozia,BHCB203062,,
2020-12-11 11:44:51-03,UFMG,BHCB,179518,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,2015,10,27,,"Carmo, FF",5570,,2011,05,03,,Southern America,Brasil,Minas Gerais,Rio Pardo Minas,Nova Aurora,-42.703056,-15.957778,-42.703056,-15.957778,,,970,970,,,,,,,,,Coletada em afloramento de canga.,BHCB036818,BHCB036818,
2020-12-11 11:44:51-03,UFMG,BHCB,80254,PreservedSpecimen,Plantae,Monocotyledon,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,2014,04,29,,"Viana, PL; Lombardi, JA; Sobral, M",834,,2003,04,05,,Southern America,Brasil,Minas Gerais,São Gonçalo do Rio Preto,P.E. do Rio Preto,-43.3908004760742,-18.0041999816895,0,0,26697,,1100,1300,,,,,,,,,Erva epífita em Vellozia. Flores lilases; Em campo rupestre,BHCB001502,BHCB001502,auto
2021-02-09 10:13:43-03,UENF,HUENF,3083,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Nascimento, M.T.; Pessanha, A.S.",17,,2008,04,12,,,Brasil,Rio de Janeiro,Campos dos Goytacazes,Morro do Itaoca,-41.448056,-21.797222,41º26'53''W,21º47'50''S,,,201,201,,,,,,,,,,HUENF00003085,,
2021-02-09 10:13:43-03,UENF,HUENF,3084,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Nascimento, M.T.; Pessanha, A.S.",18,,2008,04,12,,,Brasil,Rio de Janeiro,Campos dos Goytacazes,Morro do Itaoca,-41.448056,-21.797222,41º26'53''W,21º47'50''S,,,201,201,,,,,,,,,Epífita sobre arbustos de Vellozia sp. em afloramentos rochosos a sol pleno,HUENF00003086,,
2021-02-09 10:13:43-03,UENF,HUENF,3094,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Nascimento, M.T.; Pessanha, A.S.",5,,2007,08,18,,,Brasil,Rio de Janeiro,Campos dos Goytacazes,Morro do Itaoca,-41.448056,-21.797222,41º26'53''W,21º47'50''S,,,201,201,,,,,,,,,Epífita sobre arbustos de Vellozia sp. em afloramentos rochosos a sol pleno,HUENF00003096,,
2021-02-09 10:13:43-03,UENF,HUENF,3095,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Nascimento, M.T.; Pessanha, A.S.",20,,2008,04,12,,,Brasil,Rio de Janeiro,Campos dos Goytacazes,Morro do Itaoca,-41.448056,-21.797222,41º26'53''W,21º47'50''S,,,201,201,,,,,,,,,Epífita sobre arbustos de Vellozia sp. em afloramentos rochosos a sol pleno,HUENF00003097,,
2021-02-09 10:13:43-03,UENF,HUENF,3085,PreservedSpecimen,Plantae,,,,Orchidaceae,Pseudolaelia,vellozicola,,Pseudolaelia vellozicola,(Hoehne) Porto & Brade,,,,,,"Nascimento, M.T.; Pessanha, A.S.",19,,2008,04,12,,,Brasil,Rio de Janeiro,Campos dos Goytacazes,Morro do Itaoca,-41.448056,-21.797222,41º26'53''W,21º47'50''S,,,201,201,,,,,,,,,Epífita sobre arbustos de Vellozia sp. em afloramentos rochosos a sol pleno,HUENF00003087,,
