MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-09-10 21:42:40-03,UNEMAT,TANG,4684,S,Plantae,,,,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"Schwartsburg, PB",2017,06,07,,"Engels, ME; Freitas, JAO; Silva, LS",5567,,2017,04,26,,,Brasil,Mato Grosso,Itaúba,"Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado.",-55.439122,-11.0916,-55.439122,-11.0916,,,272,272,,,,,,,,,,TANG000004684,,
2019-12-04 15:26:12-03,PUCPR,HUCP,16047,S,Plantae,Monilofita,,,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon.,"Kersten, RA",2007,04,27,,"Valle, AO",010,,2002,03,30,,,Brasil,Paraná,Tijucas do Sul,,-49.1988983154297,-25.9281005859375,0,0,25228,,,,,,,,,,,,,HUCP00000598,HUCP00000598,auto
2020-02-08 10:43:38-03,NBC,NL-BOTANY,U.1012389,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,Smith AR,,,,,Ek RC; Jansen-Jacobs MJ,,,1994,12,03,,Southern America,Guyana,,,,-58.166667,5.333333,-58.166667,5.333333,,,,,,,,,,,,U 0086578,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1012389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1012389,NL-U1012389,
2019-08-27 13:35:05-03,IAP,PACA-AGP,114336,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"Kieling- Rubio, M. A.",2012,06,11,,"Kieling-Rubio, M.A.",,,2012,05,27,,,Brasil,RS,Caraá,Vila Nova.,-50.365278,-29.730833,50°21'55W,29°43'51S,,,,,,,,,,,,,"Habitat: borda florestal, terrícola",PACA114336,,
2019-08-27 13:35:05-03,IAP,PACA-AGP,114748,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"V. Graeff, T. Padoin, V. Leão",2013,12,20,,V. Graeff,68,,2013,07,23,,,Brasil,RS,Caraá,Nascente do Rio dos Sinos,-50.241056,-29.706944,"50°14'27,8W","29°42'25,0S",,,,,,,,,,,,,Habitat: Geófita Rizomatosa,PACA114748,,
2019-08-27 13:35:05-03,IAP,PACA-AGP,115414,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"Paz, M.L., Quevedo, T.C.",2014,10,09,,"Graeff, V.",016,,2013,09,25,,,Brasil,RS,Rolante,Rio Rolante,-50.433333,-29.55,50º26'W,29º33'S,,,,,,,,,,,,,Habitat: terrícola,PACA115414,,
2019-11-22 13:44:41-03,IAP,PACA-AGP,117087,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"Silva, V. L.",2016,05,,,"Silva, V. L.",,,2016,05,,,,México,,,"Tlalnelhuayocan, Veracruz",-97.01,19.524444,97º00'36''W,19º31'28''N,,,,,,,,,,,,,Chiviscoio Habitat: borda florestal Hábito: terrícola,PACA117087,,
2019-08-27 13:35:05-03,IAP,PACA-AGP,112405,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"Nervo, M. H.",2010,03,04,,"Nervo, M. H.",643,,2010,03,04,,,Brasil,RS,Campo Bom,bairro Mônaco,-50.018056,-29.678889,50°01'05W,29°40'44S,,,,,,,,,,,,,Habitat: fragmento florestal,PACA112405,,
2019-08-27 13:35:05-03,IAP,PACA-AGP,118821,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"Silva, V. L.",,,,,"Pohlmann, J.",,,2018,01,04,,,Brasil,RS,Canela,Floresta Nacional de Canela,-50.810139,-29.32125,50º48'36.5W,29º19'16.5S,,,,,,,,,,,,,Hábito: terrícola,PACA118821,,
2019-10-25 11:38:14-03,IECOS,HBRA,6318,S,Plantae,,,,Dennstaedtiaceae,Pteridium,arachnoideum,,Pteridium arachnoideum,(Kaulf.) Maxon,"D. P. O. Lima, M. R. Pietrobom",2011,10,12,,D. P. O. Lima,244,,2011,10,12,,América do Sul,Brasil,Pará,Bragança,ramal para a vila do Montenegro,-46.72122222,-1.36291667,-46.72122222,-1.36291667,,,,,,,,exsicata,,,,,Terrestre na margem do ramal próxima a mata de capoeira,HBRA0007948,,
