MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-10-31 11:12:04-03,UNEMAT,TANG,6920,S,Plantae,,,,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,"Abdo, MSA",2018,10,10,,"Abdo, MSA",897,,2018,10,10,,,Brasil,Mato Grosso,Aripuanã,"Estrada MT420, terreno sobre serra com altimetria de 460 metros.",-59.275278,-10.304167,-59.275278,-10.304167,,,332,332,,,,,,,,,,TANG000006920,,
2019-12-04 15:26:29-03,PUCPR,HUCP,22419,S,Plantae,Monocotiledonea,,,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Clarke C.B.,"Lozano, E; Felitto, G",,,,,"Felitto, G; Lozano, E; Bochorny, T; Tokigane, DN",067,,2011,07,10,,,Brasil,Paraná,Campina Grande do Sul,,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00003607,HUCP00003607,auto
2019-12-04 15:26:29-03,PUCPR,HUCP,22323,S,Plantae,Monocotiledonea,,,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Clarke C.B.,"Cordeiro, J; Lozano, E",,,,,"Lozano, E; Cardoso, GBX; Kersten, RA",283,,2010,07,21,,,Brasil,Paraná,Campina Grande do Sul,,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00003555,HUCP00003555,auto
2020-02-08 10:14:33-03,NBC,NL-BOTANY,L.1396440,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,,,,,,Irwin HS; et al.,,,1966,03,07,,Southern America,Brazil,,,"Plants of the Planalto do Brasil. Serra dos Cristais, Estado de Goiás. Cerrado, ca. 20 km N. of Cristalina, Goiás.",-48,-17,-48.0,-17.0,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1396440 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L1396440,NL-L1396440,
2020-02-08 10:14:33-03,NBC,NL-BOTANY,U.1229044,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,,,,,,Harley RM; et al.,,,1974,03,08,,Southern America,Brazil,,,Estado de Bahia. Serra do Curral Feio. 16 km N.W. of Lagoinha (which is 5.5 km S.W. of Belfino) on side road to Minas do Mimoso.,-41.333333,-10.366667,-41.333333,-10.366667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229044 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1229044,NL-U1229044,
2020-02-08 10:14:33-03,NBC,NL-BOTANY,U.1229045,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,,,,,,Harley RM; et al.,,,1974,01,28,,Southern America,Brazil,,,Estado de Bahia. Serra do Sincora. ca. 6 km N of Barra da Estiva on Ibicoara road.,-41.3,-13.583333,-41.3,-13.583333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1229045,NL-U1229045,
2020-02-08 10:14:33-03,NBC,NL-BOTANY,U.1229047,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,,,,,,Irwin HS; Grear JW; Souza R; Santos RR dos,,,1966,04,05,,Southern America,Brazil,,,"Planalto do Brasil. Cerrado, Rio da Prata, ca. 6 km S. of Possem, Goias.",-46,-14,-46.0,-14.0,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229047 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1229047,NL-U1229047,
2020-02-08 10:14:33-03,NBC,NL-BOTANY,U.1229053,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,Strong MT,,,,,Clarke HD; Williams (Guyana) R; Perry C,,,1998,08,26,,Southern America,Guyana,Upper Takutu-Upper Essequibo,,,-58.933333,1.366667,-58.933333,1.366667,,,,,,,,,,,,U 0048510,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1229053,NL-U1229053,
2020-02-08 10:14:33-03,NBC,NL-BOTANY,U.1229055,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,,,,,,Argent GCG; Ramos J; Richards PW; Souza R,,,1967,10,02,,Southern America,Brazil,,,"Brazilian Plateau. State of Mato Grosso, Expedition Base Camp. Base Camp.",-51.766667,-12.816667,-51.766667,-12.816667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1229055,NL-U1229055,
2020-02-08 10:14:33-03,NBC,NL-BOTANY,U.1229057,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Rhynchospora,exaltata,,Rhynchospora exaltata,Kunth,,,,,,Argent GCG; Ramos J; Richards PW; Souza R,,,1967,09,25,,Southern America,Brazil,,,"Central Brazilian Plateau. State of Mato Grosso, Xavantina. Cerrado.",-52.233333,-14.633333,-52.233333,-14.633333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1229057,NL-U1229057,
