MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-01-11 10:01:16-03,UNIVASF,HVASFW,224,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,D.G. Oliveira,2012,10,03,,F. Socolowski,107,,2012,05,29,,América do Sul,Brasil,Pernambuco,Salgueiro,"Sítio Mulungu, área de supressão próximo a Lagoa Azul",-39.219167,-8.121583,-39.219167,-8.121583,,,,,,,U,,,,,,#,HVASFW000224,,
2021-01-11 10:01:16-03,UNIVASF,HVASFW,350,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,A.C.P. Oliveira,2013,03,20,,A.C.P. Oliveira,2381,,2013,01,31,,América do Sul,Brasil,Pernambuco,Salgueiro,VPR Uri,-39.200139,-8.110667,-39.200139,-8.110667,,,459,459,,,U,,,,,,#,HVASFW000350,,
2021-01-11 10:01:16-03,UNIVASF,HVASFW,148,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,J.R. Fabricante,2011,06,03,,J.R. Fabricante,15,,2011,05,18,,América do Sul,Brasil,Pernambuco,Custódia,"Lote 10, Reservatório Copiti",-37.728111,-8.259083,-37.728111,-8.259083,,,550,550,,,U,,,,,,#,HVASFW000148,,
2021-01-11 10:01:16-03,UNIVASF,HVASFW,312,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,F. Socolowski,2013,01,24,,F. Socolowski,212,,2013,01,24,,América do Sul,Brasil,Pernambuco,Salgueiro,VPR Negreiros,-39.190278,-8.103333,-39.190278,-8.103333,,,468,468,,,U,,,,,,#,HVASFW000312,,
2021-01-11 10:01:16-03,UNIVASF,HVASFW,111,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,A.P. Fontana,2011,01,27,,F.F.S. Silva,11,,2010,11,30,,América do Sul,Brasil,Pernambuco,Salgueiro,"Reservatório Negreiros, lote 3",-39.202278,-8.105778,-39.202278,-8.105778,,,444,444,,,U,,,,,,#,HVASFW000111,,
2021-01-11 10:01:16-03,UNIVASF,HVASFW,340,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,A.C.P. Oliveira,2013,01,29,,A.C.P. Oliveira,2371,,2013,01,29,,América do Sul,Brasil,Pernambuco,Salgueiro,VPR Negreiros,-39.189222,-8.105194,-39.189222,-8.105194,,,459,459,,,U,,,,,,#,HVASFW000340,,
2021-01-11 10:01:15-03,UNIVASF,HVASFW,27,S,Plantae,,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,A.P. Fontana,2010,08,13,,J.A. Siqueira Filho,,,2009,10,15,,América do Sul,Brasil,Ceará,Brejo Santo,Lote 3 PISF,-39.103611,-7.472222,-39.103611,-7.472222,,,,,,,U,,,,,,#,HVASFW000027,,
2021-04-30 07:50:33-03,PUCPR,HUCP,23392,S,Plantae,Eudicotiledonea,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong.,"Pscheidt, AC",,,,,"Carneiro, J",1559,,2004,10,18,,,Brasil,Paraná,Jundiaí do Sul,Rio Conta Seca,-50.247501373291,-23.4367008209229,0,0,17300,,,,,,,,,,,,,HUCP00011170,HUCP00011170,auto
2021-04-30 07:50:33-03,PUCPR,HUCP,23964,S,Plantae,Eudicotiledonea,,,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong.,"Selusniaki, M",,,,,"Bonaldi, R",498,,2011,12,08,,,Brasil,Paraná,Ortigueira,,-50.9494018554688,-24.2082996368408,0,0,46016,,,,,,,,,,,,,HUCP00011312,HUCP00011312,auto
2020-02-08 09:50:12-03,NBC,NL-BOTANY,U.1261250,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Euphorbiaceae,Sapium,glandulosum,,Sapium glandulosum,(L.) Morong,,,,,,Gomes JC,,,1964,10,17,,Southern America,Brazil,Mato Grosso do Sul,,,-40.483333,-12.5,-40.483333,-12.5,,,,,,,,,,,,U 0098272,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1261250 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1261250,NL-U1261250,
