MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:29-03,PUCPR,HUCP,11002,S,Plantae,Monocotiledonea,,,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,"Cervi, AC",,,,,"Cervi, AC",6117,,1996,04,19,,,Brasil,Paraná,Morretes,,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,,HUCP00004778,HUCP00004778,auto
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1281929,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,Strong MT,,,,,Jansen-Jacobs MJ; Behari-Ramdas J; et al.,,,2003,01,28,,Southern America,Surinam,Marowijne Distr.,,"Plateau C, lateritic rocky soil.",-54.6,4.816667,-54.6,4.816667,,,,,,,,,,,,U 0110518,Along trail in forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1281929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1281929,NL-U1281929,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1281937,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,Strong MT,,,,,Henkel TW; Chin M; Williams L,,,1994,07,13,,Southern America,Guyana,Potaro-Siparuni,,Potario-Siparuni. Pakaraima Mountains; Upper Ireng watershed; Malakwalai-Tipu. summit on narrow ridge to SE escarpment.,-60.3,4.8,-60.3,4.8,,,,,,,,,,,,U 0158754,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1281937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1281937,NL-U1281937,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1281932,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,Strong MT,,,,,Redden KM; et al.,,,2004,02,15,,Southern America,Guyana,Cuyuni-Mazaruni,,"Guyana. Cuyuni-Mazaruni River. Pakaraima Mts., Mazaruni River above ABC Falls. Along stream and extended line between Mazaruni River and Ayangaik Mtn.",-60.616667,6.066667,-60.616667,6.066667,,,,,,,,,,,,U 0182353,"Gallery forest. Rich, humid forest with large trees, abundant in mosses and epiphytes. Reddish brown clayey soils and white sand.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1281932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NL-U1281932,NL-U1281932,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,L.3777017,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,,,,,,Bordenave BG; Granville J-J de; Troon F van; Behari-Ramdas J,,,2006,10,04,,Southern America,Surinam,,,"Mts Bakhuis, concession BMS: Zone 4 Sud-Quest.",-56.733333,4.716667,-56.733333,4.716667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3777017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3777017,NL-L3777017,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,L.3777018,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,,,,,,Bordenave BG; Granville J-J de; Troon F van; Behari-Ramdas J,,,2006,10,04,,Southern America,Surinam,,,"Mts Bakhuis, concession BMS: Zone 4 Sud-Quest.",-56.733333,4.716667,-56.733333,4.716667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3777018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3777018,NL-L3777018,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1281930,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,Crozier F,,,,,Granville J-J de; Crozier F,,,2004,06,27,,Southern America,French Guiana,,,Guyane Francaise. Inselbergs du haut Marouini. Grande savane-roche du Marouini.,-54.066667,2.605556,-54.066667,2.605556,,,,,,,,,,,,U 0251789,Forêt haute de terre ferme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1281930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1281930,NL-U1281930,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1281931,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,,,,,,Plotkin MJ; Troon F van,,,1984,07,27,,Southern America,Surinam,,,Surinam. Kwamala.,-55.783333,2.333333,-55.783333,2.333333,,,,,,,,,,,,U 0228275,High forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1281931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1281931,NL-U1281931,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1281940,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,Strong MT,,,,,Clarke HD; Hollowell T; David K; Chin C; Perry C,,,1997,07,06,,Southern America,Guyana,Cuyuni-Mazaruni,,,-61.133333,5.816667,-61.133333,5.816667,,,,,,,,,,,,U 0047285,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1281940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1281940,NL-U1281940,
2020-02-08 10:14:57-03,NBC,NL-BOTANY,U.1286761,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Scleria,latifolia,,Scleria latifolia,Sw.,,,,,,Cremers GA; Escobar L; Feuillet CPGA,,,1991,10,29,,Southern America,French Guiana,,,Crique Florian - Bassin de l'Organabo.,-53.433333,5.416667,-53.433333,5.416667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1286761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1286761,NL-U1286761,
