MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 08:42:00-03,NBC,NL-BOTANY,U.1603182,PreservedSpecimen,Plantae,,Lycopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,Weststrand S; Korall P,2015,04,01,,Harley RM,,,1974,02,19,,Southern America,Brazil,Bahia,,"Serro de Itiuba, about 6km E of Itiuba.",-39.8,-10.683333,-39.8,-10.683333,,,,,,,,,,,,U 0283103,On granitic hillside with coating vegetation and small river with gallery forest. This plant growing in dry soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1603182 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1603182,NL-U1603182,
2020-02-08 08:42:00-03,NBC,NL-BOTANY,WAG.1877418,PreservedSpecimen,Plantae,,Lycopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,,,,,,Killeen TJ,,,1985,05,16,,Southern America,Bolivia,,,"Santa Cruz, Nuflo de Chavez, Rancho Zapocoz, 80km SE of Concepcion, rolling plain of precambrian shield.",-61.633333,-16.483333,-61.633333,-16.483333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1877418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-WAG1877418,NL-WAG1877418,
2021-03-22 17:46:40-03,UFPI,TEPB,6319,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,Spring,,,,,,"Figueiredo, M.A",,,1991,03,21,,,Brasil,Ceará,Aiuaba,,-40.1236000061035,-6.57360982894897,,,68662,,,,,,,,,,,,,,,auto
2021-04-23 10:33:06-03,UFPI,TEPB,21678,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,,,,,,"Lopes, M. S.",,,,,,,,Brasil,Piauí,Bom Jesus,,-44.3586006164551,-9.07444000244141,,,107707,,,,,,,,,,,,Ambiente: Cerrado,,,auto
2021-03-20 01:41:48-03,UFPI,TEPB,28462,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,"Willkomm, Heinrich Moritz",,2012,12,05,,"Silva, J.A.R",753,,2011,12,03,,,Brasil,Piauí,Bom Jesus,Riacho das éguas,-44.3586006164551,-9.07444000244141,,,107707,,,,,,,,,,,,Ambiente: Mata de galeria,,,auto
2021-03-12 01:36:27-03,UFPI,TEPB,21684,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,E. L. M. Assis,2016,02,26,,"LOPES, M.S.",685,,2007,01,16,,,Brasil,Piauí,Bom Jesus,Riacho Palmeira,-44.3586006164551,-9.07444000244141,,,107707,,,,,,,,,,,,"mesofilia, formando tapetes em baico de arvores, a margem do riacho e barrancos Ambiente: Mata ciliar",,,auto
2019-08-27 13:36:46-03,IAP,PACA-AGP,89859,PreservedSpecimen,Plantae,Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,,,,,,"Windisch, P. G.",7147,,1992,10,23,,,Brasil,MT,Cocalinho,"Bacia do Rio Araguaia, ca. de 56 Km W da balsa, rodovia MT 326.",-51.5,-14.3,51°30'W,14°18'S,,,290,290,,,,,,,,,HASU 7958. Habitat: Formação de rochas calcárea. Sobre pedras. Hábito: rupícola,PACA089859,,
2019-08-27 13:36:46-03,IAP,PACA-AGP,75967,PreservedSpecimen,Plantae,Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,A. Sehnem SJ,1980,,,,"Sehnem, A.",,,1980,01,26,,,Brasil,BA,Jequié,rumo a Maracas,-40.0835990905762,-13.8575000762939,,,49443,,,,,,,,,,,,Det. idem E. D. Castellani 1992 Habitat: herba in caatinga,PACA075967,,auto
2019-08-27 13:36:46-03,IAP,PACA-AGP,75964,PreservedSpecimen,Plantae,Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,A. Sehnem SJ,,,,,J. P. P. Carauta,2455,,1977,05,01,,,Brasil,RJ,Rio de Janeiro,Pedra da Gavea,-43.2075004577637,-22.9027996063232,,,57442,,,,,,,,,,,,em associacao com Velloziaceae - Det. idem E. D. Castellani 1992 Habitat: Heliofito Hábito: rupícola,PACA075964,,auto
2019-08-27 13:36:46-03,IAP,PACA-AGP,75965,PreservedSpecimen,Plantae,Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,A. Sehnem SJ,1978,,,,J. P. P. Carauta,1656,,1977,05,29,,,Brasil,RJ,Rio de Janeiro,Pedra da Gavea - caminho das furnas,-43.2075004577637,-22.9027996063232,,,57442,,,,,,,,,,,,Det. idem E. D. Castellani 1992 - FEEMA 9654&nf;Mesmo material com data de coleta diferente (05.08.1973) mesmo número do GUA. Hábito: rupícola,PACA075965,,auto
2021-03-24 17:10:04-03,UFES,SAMES,5960,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,,,,,,"Coelho,R.; PintoJunior,H.V.;Covre,C.",448,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Inselberg, área de coleta do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,,SAMES05960,,auto
2021-03-24 17:10:04-03,UFES,SAMES,5958,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,,,,,,"Coelho,R.; PintoJunior,H.V.;Covre,C.",445,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Inselberg, área de coleta do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,,SAMES05958,,auto
2021-03-24 17:10:04-03,UFES,SAMES,1698,PreservedSpecimen,Plantae,,,,Selaginellaceae,Selaginella,convoluta,,Selaginella convoluta,(Arn.) Spring,,,,,,"Pinto Junior, H.V.; Luber, J.",225,,2016,03,16,,,Brasil,Espírito Santo,Águia Branca,Santa Luzia. Antiga propriedade do Sr. Ciro Ferreira; afloramento próximo a cachoeira do Arco-íris.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; sol pleno; abundante.,SAMES01698,,auto
