MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-08-27 13:29:19-03,IAP,PACA-AGP,90046,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. L. C. Bortoluzzi,2002,,,,R. L. C. Bortoluzzi,1070,,2002,01,22,,,Brasil,SC,Joinville,Fazenda de Preservação do Alto Quiriri - CISER .,-49.079333,-26.026167,49°04.76'W,26°01.57'S,,,1450,1450,,,,,,,,,"ICN 122282; ca. 1,5 m de altura. Flores amarelas. Fenofase: flor Hábito: arbusto",PACA090046,,
2019-08-27 13:29:19-03,IAP,PACA-AGP,66694,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,R. B. Lange,140,,1956,03,05,,,Brasil,PR,Curitiba,Encontrados em terenos baldios.,-49.2731018066406,-25.4277992248535,,,25180,,,,,,,,,,,,"De 1,6 m de altura e flores amarelas; Hábito: arbusto",PACA066694,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,37673,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,"Hatschbach, G.",881,,1948,02,22,,,Brasil,PR,Piraquara,Florestal,-49.0633010864258,-25.4416999816895,,,12577,,,,,,,,,,,,Flor amarela. Habitat: In dumetosis secundariis. Fenofase: flor Hábito: arbusto,PACA037673,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,68706,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R.L.C. Bortoluzzi,2003,09,,,J. M. Silva,84,,1986,01,24,,,Brasil,PR,Rio Branco do Sul,Bromado,-49.3142013549805,-25.1900005340576,,,37352,,,,,,,,,,,,De 2m de altura e flores amarelas. Fenofase: flor Hábito: arbusto,PACA068706,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,36185,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,"Rambo, B.",,,1948,02,,,,Brasil,RS,Cambará do Sul,,-50.1446990966797,-29.0478000640869,,,30776,,,,,,,,,,,,Habitat: Ad viam in dumetosis. Fenofase: flor,PACA036185,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,28089,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,P. Buck SJ,,,1945,02,,,,Brasil,RS,Caxias do Sul,Vila Oliva,-51.1794013977051,-29.1681003570557,,,49662,,,,,,,,,,,,Habitat: In incultis dumetosis. Fenofase: flor,PACA028089,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,31349,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,"Rambo, B.",,,1946,02,25,,,Brasil,RS,Caxias do Sul,Vila Oliva,-51.1794013977051,-29.1681003570557,,,49662,,,,,,,,,,,,Habitat: In incultis dumetosis. Fenofase: flor e fruto submaturo,PACA031349,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,56705,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,"Rambo, B.",,,1955,02,08,,,Brasil,RS,Caxias do Sul,Vila Oliva,-51.1794013977051,-29.1681003570557,,,49662,,,,,,,,,,,,Habitat: In araucarieto aperto. Fenofase: flor,PACA056705,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,56794,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,"Rambo, B.",,,1955,02,08,,,Brasil,RS,Caxias do Sul,Vila Oliva,-51.1794013977051,-29.1681003570557,,,49662,,,,,,,,,,,,Habitat: In dumetosis. Fenofase: flor,PACA056794,,auto
2019-08-27 13:29:19-03,IAP,PACA-AGP,59928,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Fagales,Caesalpinaceae,Senna,neglecta,,Senna neglecta,(Vogel) H. S. Irwin & Barneby,R. S. Rodrigues e A. S. Flores,2001,,,,"Camargo, O. R.",1326,,1957,04,16,,,Brasil,RS,Farroupilha,,-51.3478012084961,-29.2250003814697,,,19545,,,,,,,,,,,,Habitat: Ad viam in dumetosis. Fenofase: flor,PACA059928,,auto
