MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-10-27 11:22:07-03,PUCPR,HUCP,25300,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,,,,,,"G. Cardoso; E. D. Lozano; Kersten, RA",6,,2010,07,21,,,Brasil,Parana,Campina Grande do Sul,Morro Getúlio,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,"Rupícula, 25 cm, campo.",HUCP00025300,HUCP00025300,auto
2021-04-30 07:50:52-03,PUCPR,HUCP,25627,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Canestraro, BK",2021,03,,,"Lago, GB",53,,2016,06,10,,,Brasil,Parana,Curitiba,Parque Barigui,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,Terrícola.,HUCP00025627,,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,23658,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Michelon, C",,,,,"Michelon, C",1762,,2013,02,19,,,Brasil,Paraná,Adrianópolis,Parque Estadual das Lauráceas,-48.9911003112793,-24.6571998596191,0,0,49901,,,,,,,,,,,,,HUCP00001781,HUCP00001781,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,1815,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Acra, LA",1982,09,18,,"Mendes, ML",s.n.,,,,,,,Brasil,Paraná,Antonina,,-48.7118988037109,-25.4286003112793,0,0,38300,,,,,,,,,,,,,HUCP00001724,HUCP00001724,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,1814,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Acra, LA",1982,09,18,,"Mendes, ML",s.n.,,,,,,,Brasil,Paraná,Antonina,,-48.7118988037109,-25.4286003112793,0,0,38300,,,,,,,,,,,,,HUCP00001664,HUCP00001664,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,12495,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Vodonis, C",,,,,"Jablonski, EFA",003,,,,,,,Brasil,Paraná,Araucária,Tomás Coelho,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00001727,HUCP00001727,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,19666,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Selusniaki, M",,,,,"Selusniaki, M; Beltrami, L",1848,,2007,12,09,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00001623,HUCP00001623,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,17661,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Jaszczerski, JC",2006,11,08,,"Beltramin, AS",005,,2006,10,22,,,Brasil,Paraná,Bocaiúva do Sul,Palmital,-49.1150016784668,-25.2061004638672,0,0,61623,,,,,,,,,,,,,HUCP00001673,HUCP00001673,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,1811,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Acra, LA",1982,10,23,,"Eder, CR",013,,,,,,,Brasil,Paraná,Campina Grande do Sul,Km 56.,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00001670,HUCP00001670,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,20717,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Ariati, V",,,,,"Ariati, V; Cardoso, O",242,,2009,08,06,,,Brasil,Paraná,Campina Grande do Sul,Morro Caratuva,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00001872,HUCP00001872,auto
2019-12-04 15:26:19-03,PUCPR,HUCP,17493,S,Plantae,Monilofita,,,Polypodiaceae,Serpocaulon,catharinae,,Serpocaulon catharinae,(Langsd. & L. Fisch.) A.R. Sm.,"Jaszczerski, JC",2006,03,14,,"Lima, G",002,,2005,10,07,,,Brasil,Paraná,Curitiba,,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00001618,HUCP00001618,auto
